corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Anuvaad	v1	Samanantar	v0.2	4958522	10043539	1865915	37.63	18.57
Anuvaad	v1	IITB	v2.0	4958522	1324353	24996	.50	1.88
Anuvaad	v1	CCMatrix	v1	4958522	14907613	20390	.41	.13
Anuvaad	v1	pmindia	v1	4958522	56819	18032	.36	31.73
Anuvaad	v1	XLEnt	v1.1	4958522	1931465	4946	.09	.25
Anuvaad	v1	XLEnt	v1.2	4958522	1931465	4946	.09	.25
Anuvaad	v1	XLEnt	v1	4958522	1931465	4946	.09	.25
Anuvaad	v1	HPLT	v1	4958522	12043070	2708	.05	.02
Anuvaad	v1	MultiCCAligned	v1	4958522	8071736	2039	.04	.02
Anuvaad	v1	CCAligned	v1	4958522	8071579	2039	.04	.02
Anuvaad	v1	NLLB	v1	4958522	33107118	1931	.03	0
Anuvaad	v1	WikiMatrix	v1	4958522	231460	9	0	0
Anuvaad	v1	Tanzil	v1	4958522	185208	0	0	0
Anuvaad	v1	KDE4	v2	4958522	85155	189	0	.22
Anuvaad	v1	OpenSubtitles	v2018	4958522	80878	33	0	.04
Anuvaad	v1	bible-uedin	v1	4958522	61541	0	0	0
Anuvaad	v1	OpenSubtitles	v2016	4958522	49493	21	0	.04
Anuvaad	v1	wikimedia	v20230407	4958522	46541	57	0	.12
Anuvaad	v1	TED2020	v1	4958522	46369	11	0	.02
Anuvaad	v1	Joshua-IPC	v1	4958522	36063	64	0	.17
Anuvaad	v1	GNOME	v1	4958522	29075	92	0	.31
Anuvaad	v1	wikimedia	v20210402	4958522	24769	38	0	.15
Anuvaad	v1	NeuLab-TedTalks	v1	4958522	19310	6	0	.03
Anuvaad	v1	QED	v2.0a	4958522	11137	1	0	0
Anuvaad	v1	Tatoeba	v2023-04-12	4958522	11070	7	0	.06
Anuvaad	v1	Tatoeba	v2022-03-03	4958522	10969	7	0	.06
Anuvaad	v1	Tatoeba	v2021-07-22	4958522	10942	7	0	.06
Anuvaad	v1	Tatoeba	v2021-03-10	4958522	10894	7	0	.06
Anuvaad	v1	Ubuntu	v14.10	4958522	10892	48	0	.44
Anuvaad	v1	Tatoeba	v2020-11-09	4958522	10853	7	0	.06
Anuvaad	v1	Tatoeba	v2020-05-31	4958522	10818	6	0	.05
Anuvaad	v1	Tatoeba	v20190709	4958522	10813	6	0	.05
Anuvaad	v1	Tatoeba	v2	4958522	4696	3	0	.06
Anuvaad	v1	tico-19	v2020-10-28	4958522	3070	0	0	0
Anuvaad	v1	WMT-News	v2014	4958522	3026	1	0	.03
Anuvaad	v1	WMT-News	v2019	4958522	3026	1	0	.03
Anuvaad	v1	News-Commentary	v14	4958522	2574	1	0	.03
Anuvaad	v1	News-Commentary	v16	4958522	2574	1	0	.03
Anuvaad	v1	GlobalVoices	v2018q4	4958522	2385	4	0	.16
Anuvaad	v1	GlobalVoices	v2017q3	4958522	2284	3	0	.13
Anuvaad	v1	GlobalVoices	v2015	4958522	1839	2	0	.10
Anuvaad	v1	tldr-pages	v2023-08-29	4958522	485	1	0	.20
Anuvaad	v1	ELRC-3061-wikipedia_health	v1	4958522	246	1	0	.40
Anuvaad	v1	ELRC-wikipedia_health	v1	4958522	246	1	0	.40
Anuvaad	v1	ELRC_2922	v1	4958522	245	0	0	0
