corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
Bianet	v1	ParaCrawl	v9	43553	877766608	1890	4.33	0
Bianet	v1	CCAligned	v1	43553	405094222	1761	4.04	0
Bianet	v1	XLEnt	v1.1	43553	53628082	1628	3.73	0
Bianet	v1	XLEnt	v1	43553	53628082	1628	3.73	0
Bianet	v1	WikiTitles	v3	43553	2348300	1247	2.86	.05
Bianet	v1	OpenSubtitles	v2018	43553	102548132	938	2.15	0
Bianet	v1	ELRC-4239-NTEU_TierA	v1	43553	11906559	917	2.10	0
Bianet	v1	ELRC-4270-NTEU_TierA	v1	43553	7252413	851	1.95	.01
Bianet	v1	ELRC-4268-NTEU_TierA	v1	43553	11782507	846	1.94	0
Bianet	v1	ELRC-4248-NTEU_TierA	v1	43553	12854274	806	1.85	0
Bianet	v1	ELRC-4269-NTEU_TierA	v1	43553	7234848	806	1.85	.01
Bianet	v1	ELRC-4271-NTEU_TierA	v1	43553	7211577	772	1.77	.01
Bianet	v1	ELRC-4154-NTEU_TierA	v1	43553	7119873	767	1.76	.01
Bianet	v1	wikimedia	v20210402	43553	11389460	748	1.71	0
Bianet	v1	TildeMODEL	v2018	43553	5686357	744	1.70	.01
Bianet	v1	CCMatrix	v1	43553	1341614085	721	1.65	0
Bianet	v1	ELRC-4142-NTEU_TierA	v1	43553	2152367	597	1.37	.02
Bianet	v1	JRC-Acquis	v3.0	43553	1923776	601	1.37	.03
Bianet	v1	memat	v1	43553	145098	592	1.35	.40
Bianet	v1	WikiMatrix	v1	43553	47707259	550	1.26	0
Bianet	v1	giga-fren	v2	43553	20786998	548	1.25	0
Bianet	v1	IITB	v2.0	43553	1105433	537	1.23	.04
Bianet	v1	UNPC	v1.0	43553	23776005	495	1.13	0
Bianet	v1	QED	v2.0a	43553	7299297	487	1.11	0
Bianet	v1	EMEA	v3	43553	316149	448	1.02	.14
Bianet	v1	EUbookshop	v2	43553	46038769	441	1.01	0
Bianet	v1	ELRA-W0243	v1	43553	12537	431	.98	3.43
Bianet	v1	ELRC-842-Quarterly_Reports_Pa	v1	43553	12537	431	.98	3.43
Bianet	v1	ELRA-W0170	v1	43553	6563	425	.97	6.47
Bianet	v1	ELRC-435-Romanian_New_Crimina	v1	43553	6563	425	.97	6.47
Bianet	v1	ELRC-5214-A_Lexicon_Named	v1	43553	488887	365	.83	.07
Bianet	v1	TED2013	v1.1	43553	192310	348	.79	.18
Bianet	v1	ELRC-563-Statoil_energy_compa	v1	43553	54342	330	.75	.60
Bianet	v1	EuroPat	v3	43553	79873063	300	.68	0
Bianet	v1	EuroPat	v2	43553	70531170	288	.66	0
Bianet	v1	ELRC-396-Foreign_Affairs_Norw	v1	43553	669717	263	.60	.03
Bianet	v1	KDE4	v2	43553	190475	242	.55	.12
Bianet	v1	SPC	v1	43553	59926	231	.53	.38
Bianet	v1	ELRC-427-Electronic_Exchange_	v1	43553	9513	232	.53	2.43
Bianet	v1	wikimedia	v20190628	43553	352711	221	.50	.06
Bianet	v1	GlobalVoices	v2018q4	43553	1154583	211	.48	.01
Bianet	v1	Wikipedia	v1.0	43553	7646905	208	.47	0
Bianet	v1	OpenSubtitles	v1	43553	1598451	205	.47	.01
Bianet	v1	GoURMET	v1	43553	1541708	192	.44	.01
Bianet	v1	Joshua-IPC	v1	43553	198174	189	.43	.09
Bianet	v1	EhuHac	v1	43553	596213	184	.42	.03
Bianet	v1	EuroPat	v1	43553	22132306	180	.41	0
Bianet	v1	SciELO	v1	43553	3061142	181	.41	0
Bianet	v1	GlobalVoices	v2017q3	43553	1091521	182	.41	.01
Bianet	v1	EUconst	v1	43553	6683	175	.40	2.61
Bianet	v1	MIZAN	v1	43553	1016854	164	.37	.01
Bianet	v1	GlobalVoices	v2015	43553	954153	164	.37	.01
Bianet	v1	ELRC-518-www.regjeringen.no	v1	43553	142770	162	.37	.11
Bianet	v1	ELRC-534-www.norges_bank.no	v1	43553	71682	159	.36	.22
Bianet	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	43553	279832	155	.35	.05
Bianet	v1	ELRC-904-uk.fm.dk	v1	43553	6700	147	.33	2.19
Bianet	v1	ELRC-EUIPO_law	v1	43553	485617	138	.31	.02
Bianet	v1	Mozilla-I10n	v1	43553	66158	135	.30	.20
Bianet	v1	ELRC-5123-2020_Annual_Report	v1	43553	894	133	.30	14.87
Bianet	v1	ELRC-5067-SciPar	v1	43553	9198848	127	.29	0
Bianet	v1	ELRC-1077-EUIPO_law	v1	43553	249932	127	.29	.05
Bianet	v1	ELITR-ECA	v1	43553	11446	129	.29	1.12
Bianet	v1	ELRC-2410-Portal_oficial_turis	v1	43553	185841	118	.27	.06
Bianet	v1	ELRC-816-ANR_containing_major	v1	43553	10302	120	.27	1.16
Bianet	v1	ELRC-EMEA	v1	43553	806234	114	.26	.01
Bianet	v1	ELRC-425-Lithuanian_legislati	v1	43553	126666	117	.26	.09
Bianet	v1	Europarl	v8	43553	2375417	110	.25	0
Bianet	v1	News-Commentary	v16	43553	633326	112	.25	.01
Bianet	v1	News-Commentary	v14	43553	530397	111	.25	.02
Bianet	v1	News-Commentary	v11	43553	362778	110	.25	.03
Bianet	v1	ELRC-Government_Offices	v1	43553	56387	110	.25	.19
Bianet	v1	XhosaNavy	v1	43553	49263	111	.25	.22
Bianet	v1	ELRA-W0234	v1	43553	7172	110	.25	1.53
Bianet	v1	ELRC-2497-Tuarascil_Bhliantil_	v1	43553	2822	112	.25	3.96
Bianet	v1	ELRC_2682	v1	43553	779183	108	.24	.01
Bianet	v1	News-Commentary	v9.0	43553	328698	108	.24	.03
Bianet	v1	News-Commentary	v9.1	43553	328698	108	.24	.03
Bianet	v1	ELRC-Polish_Foreign	v1	43553	13183	107	.24	.81
Bianet	v1	ELRA-W0183	v1	43553	2406	106	.24	4.40
Bianet	v1	ELRC-482-Polish_Foreign_Affai	v1	43553	2406	106	.24	4.40
Bianet	v1	pmindia	v1	43553	80655	104	.23	.12
Bianet	v1	ELRC-2721-EMEA	v1	43553	693450	99	.22	.01
Bianet	v1	ELRC-1805-Norwegian_Bokml_Ames	v1	43553	47595	97	.22	.20
Bianet	v1	ELRC-2713-EMEA	v1	43553	688615	92	.21	.01
Bianet	v1	ELRC-2715-EMEA	v1	43553	682522	94	.21	.01
Bianet	v1	ELRC-2717-EMEA	v1	43553	670422	94	.21	.01
Bianet	v1	ELRC-768-corpora_State_Admini	v1	43553	49864	93	.21	.18
Bianet	v1	ELRC-2720-EMEA	v1	43553	696997	88	.20	.01
Bianet	v1	ELRC-2716-EMEA	v1	43553	690532	89	.20	.01
Bianet	v1	ELRC-2714-EMEA	v1	43553	689853	91	.20	.01
Bianet	v1	ELRC-2729-EMEA	v1	43553	688511	88	.20	.01
