corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
CAPES	v1	ParaCrawl	v9	1158123	877766608	199	.01	0
CAPES	v1	CCAligned	v1	1158123	405094222	129	.01	0
CAPES	v1	ELRC-5067-SciPar	v1	1158123	9198848	120	.01	0
CAPES	v1	CCMatrix	v1	1158123	1341614085	6	0	0
CAPES	v1	OpenSubtitles	v2018	1158123	102548132	35	0	0
CAPES	v1	EuroPat	v3	1158123	79873063	93	0	0
CAPES	v1	EuroPat	v2	1158123	70531170	94	0	0
CAPES	v1	XLEnt	v1.1	1158123	53628082	0	0	0
CAPES	v1	XLEnt	v1	1158123	53628082	0	0	0
CAPES	v1	WikiMatrix	v1	1158123	47707259	22	0	0
CAPES	v1	EUbookshop	v2	1158123	46038769	10	0	0
CAPES	v1	UNPC	v1.0	1158123	23776005	23	0	0
CAPES	v1	EuroPat	v1	1158123	22132306	74	0	0
CAPES	v1	giga-fren	v2	1158123	20786998	68	0	0
CAPES	v1	ELRC-4248-NTEU_TierA	v1	1158123	12854274	76	0	0
CAPES	v1	MultiUN	v1	1158123	12514685	0	0	0
CAPES	v1	ELRC-4239-NTEU_TierA	v1	1158123	11906559	64	0	0
CAPES	v1	ELRC-4268-NTEU_TierA	v1	1158123	11782507	68	0	0
CAPES	v1	wikimedia	v20210402	1158123	11389460	75	0	0
CAPES	v1	Wikipedia	v1.0	1158123	7646905	77	0	0
CAPES	v1	QED	v2.0a	1158123	7299297	27	0	0
CAPES	v1	ELRC-4270-NTEU_TierA	v1	1158123	7252413	65	0	0
CAPES	v1	ELRC-4269-NTEU_TierA	v1	1158123	7234848	63	0	0
CAPES	v1	ELRC-4271-NTEU_TierA	v1	1158123	7211577	68	0	0
CAPES	v1	ELRC-4154-NTEU_TierA	v1	1158123	7119873	65	0	0
CAPES	v1	TildeMODEL	v2018	1158123	5686357	56	0	0
CAPES	v1	SciELO	v1	1158123	3061142	28	0	0
CAPES	v1	Europarl	v8	1158123	2375417	17	0	0
CAPES	v1	WikiTitles	v3	1158123	2348300	2	0	0
CAPES	v1	ELRC-4142-NTEU_TierA	v1	1158123	2152367	59	0	0
CAPES	v1	JRC-Acquis	v3.0	1158123	1923776	51	0	0
CAPES	v1	Tatoeba	v2022-03-03	1158123	1605560	5	0	0
CAPES	v1	OpenSubtitles	v1	1158123	1598451	14	0	0
CAPES	v1	GoURMET	v1	1158123	1541708	35	0	0
CAPES	v1	Tatoeba	v2021-07-22	1158123	1497594	5	0	0
CAPES	v1	Tatoeba	v2021-03-10	1158123	1470935	5	0	0
CAPES	v1	Tatoeba	v2020-11-09	1158123	1406533	5	0	0
CAPES	v1	Tatoeba	v2020-05-31	1158123	1346260	5	0	0
CAPES	v1	Tatoeba	v20190709	1158123	1212697	5	0	0
CAPES	v1	GlobalVoices	v2018q4	1158123	1154583	21	0	0
CAPES	v1	IITB	v2.0	1158123	1105433	30	0	0
CAPES	v1	GlobalVoices	v2017q3	1158123	1091521	21	0	0
CAPES	v1	MIZAN	v1	1158123	1016854	14	0	0
CAPES	v1	GlobalVoices	v2015	1158123	954153	18	0	0
CAPES	v1	ELRC-EMEA	v1	1158123	806234	25	0	0
CAPES	v1	ELRC_2682	v1	1158123	779183	24	0	0
CAPES	v1	ELRC-2722-EMEA	v1	1158123	701635	21	0	0
CAPES	v1	ELRC-2710-EMEA	v1	1158123	699854	20	0	0
CAPES	v1	ELRC-2724-EMEA	v1	1158123	698758	20	0	0
CAPES	v1	ELRC-2720-EMEA	v1	1158123	696997	21	0	0
CAPES	v1	ELRC-2721-EMEA	v1	1158123	693450	22	0	0
CAPES	v1	ELRC-2725-EMEA	v1	1158123	691471	22	0	0
CAPES	v1	ELRC-2716-EMEA	v1	1158123	690532	21	0	0
CAPES	v1	ELRC-2714-EMEA	v1	1158123	689853	23	0	0
CAPES	v1	ELRC-2713-EMEA	v1	1158123	688615	20	0	0
CAPES	v1	ELRC-2729-EMEA	v1	1158123	688511	20	0	0
CAPES	v1	ELRC-2711-EMEA	v1	1158123	686300	22	0	0
CAPES	v1	ELRC-2707-EMEA	v1	1158123	685365	23	0	0
CAPES	v1	ELRC-2723-EMEA	v1	1158123	684988	21	0	0
CAPES	v1	ELRC-2715-EMEA	v1	1158123	682522	21	0	0
CAPES	v1	ELRC-2728-EMEA	v1	1158123	680926	20	0	0
CAPES	v1	ELRC-2727-EMEA	v1	1158123	680290	21	0	0
CAPES	v1	ELRC-2708-EMEA	v1	1158123	679647	19	0	0
CAPES	v1	ELRC-2712-EMEA	v1	1158123	679015	21	0	0
CAPES	v1	ELRC-2726-EMEA	v1	1158123	672813	21	0	0
CAPES	v1	ELRC-2717-EMEA	v1	1158123	670422	21	0	0
CAPES	v1	ELRC-396-Foreign_Affairs_Norw	v1	1158123	669717	40	0	0
CAPES	v1	News-Commentary	v16	1158123	633326	9	0	0
CAPES	v1	EhuHac	v1	1158123	596213	27	0	0
CAPES	v1	ELRC-2706-EMEA	v1	1158123	577401	21	0	0
CAPES	v1	News-Commentary	v14	1158123	530397	9	0	0
CAPES	v1	TEP	v1	1158123	521471	1	0	0
CAPES	v1	ELRC-2719-EMEA	v1	1158123	516124	15	0	0
CAPES	v1	ELRC-5214-A_Lexicon_Named	v1	1158123	488887	2	0	0
CAPES	v1	ELRC-EUIPO_law	v1	1158123	485617	42	0	0
CAPES	v1	ELRC-2718-EMEA	v1	1158123	484237	17	0	0
CAPES	v1	TED2020	v1	1158123	436417	3	0	0
CAPES	v1	Tatoeba	v2	1158123	407821	2	0	0
CAPES	v1	ECB	v1	1158123	376581	3	0	0
CAPES	v1	News-Commentary	v11	1158123	362778	10	0	0
CAPES	v1	ELRC-2709-EMEA	v1	1158123	360888	20	0	0
CAPES	v1	wikimedia	v20190628	1158123	352711	38	0	.01
CAPES	v1	News-Commentary	v9.0	1158123	328698	9	0	0
CAPES	v1	News-Commentary	v9.1	1158123	328698	9	0	0
CAPES	v1	ELRC-5183-SciPar_Ukraine	v1	1158123	320840	7	0	0
CAPES	v1	EMEA	v3	1158123	316149	21	0	0
