corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
CCAligned	v1	ParaCrawl	v9	13523846	84925921	960631	7.10	1.13
CCAligned	v1	CCMatrix	v1	13523846	172208300	534578	3.95	.31
CCAligned	v1	XLEnt	v1.1	13523846	5417987	19299	.14	.35
CCAligned	v1	XLEnt	v1	13523846	5417987	19299	.14	.35
CCAligned	v1	TildeMODEL	v2018	13523846	1114245	15393	.11	1.38
CCAligned	v1	ELRC-2724-EMEA	v1	13523846	768690	13242	.09	1.72
CCAligned	v1	ELRC-EMEA	v1	13523846	768690	13242	.09	1.72
CCAligned	v1	bible-uedin	v1	13523846	61621	10413	.07	16.89
CCAligned	v1	OpenSubtitles	v2018	13523846	26685270	5510	.04	.02
CCAligned	v1	DGT	v2019	13523846	3617153	6216	.04	.17
CCAligned	v1	Tanzil	v1	13523846	120741	6626	.04	5.48
CCAligned	v1	EUbookshop	v2	13523846	3772762	2896	.02	.07
CCAligned	v1	EMEA	v3	13523846	356528	2928	.02	.82
CCAligned	v1	SciELO	v1	13523846	2746160	1517	.01	.05
CCAligned	v1	JRC-Acquis	v3.0	13523846	1040014	1485	.01	.14
CCAligned	v1	KDE4	v2	13523846	186890	2571	.01	1.37
CCAligned	v1	WikiMatrix	v1	13523846	2461553	389	0	.01
CCAligned	v1	Europarl	v8	13523846	1957999	363	0	.01
CCAligned	v1	Wikipedia	v1.0	13523846	1694174	47	0	0
CCAligned	v1	CAPES	v1	13523846	1155914	0	0	0
CCAligned	v1	ELRC-5067-SciPar	v1	13523846	974168	18	0	0
CCAligned	v1	wikimedia	v20210402	13523846	485721	1052	0	.21
CCAligned	v1	QED	v2.0a	13523846	414174	1259	0	.30
CCAligned	v1	ELITR-ECA	v1	13523846	342089	10	0	0
CCAligned	v1	TED2020	v1	13523846	320285	1014	0	.31
CCAligned	v1	OpenSubtitles	v1	13523846	317261	700	0	.22
CCAligned	v1	Tatoeba	v2022-03-03	13523846	219187	793	0	.36
CCAligned	v1	Tatoeba	v2021-07-22	13523846	217627	791	0	.36
CCAligned	v1	Tatoeba	v2021-03-10	13523846	215977	789	0	.36
CCAligned	v1	Tatoeba	v2020-11-09	13523846	214401	788	0	.36
CCAligned	v1	Tatoeba	v2020-05-31	13523846	208565	784	0	.37
CCAligned	v1	ECB	v1	13523846	201655	427	0	.21
CCAligned	v1	Tatoeba	v20190709	13523846	196551	776	0	.39
CCAligned	v1	TED2013	v1.1	13523846	154841	281	0	.18
CCAligned	v1	GlobalVoices	v2018q4	13523846	85532	162	0	.18
CCAligned	v1	GlobalVoices	v2017q3	13523846	70584	149	0	.21
CCAligned	v1	Tatoeba	v2	13523846	60618	344	0	.56
CCAligned	v1	GlobalVoices	v2015	13523846	58384	141	0	.24
CCAligned	v1	News-Commentary	v14	13523846	53135	14	0	.02
CCAligned	v1	News-Commentary	v16	13523846	53135	14	0	.02
CCAligned	v1	News-Commentary	v11	13523846	25918	6	0	.02
CCAligned	v1	ELRC-3573-EUR_LEX_covid	v1	13523846	20988	14	0	.06
CCAligned	v1	ELRC-EUR_LEX	v1	13523846	20988	14	0	.06
CCAligned	v1	ELRC-2025-EUIPO_2017	v1	13523846	17108	138	0	.80
CCAligned	v1	ELRC-EUIPO_2017	v1	13523846	17108	138	0	.80
CCAligned	v1	ELRC-2883-EU_publications_medi	v1	13523846	13138	102	0	.77
CCAligned	v1	ELRC-EU_publications	v1	13523846	13138	102	0	.77
CCAligned	v1	ELRC-3080-wikipedia_health	v1	13523846	7293	1	0	.01
CCAligned	v1	ELRC-wikipedia_health	v1	13523846	7293	1	0	.01
CCAligned	v1	ELRC_2922	v1	13523846	7292	0	0	0
CCAligned	v1	News-Commentary	v9.0	13523846	7231	2	0	.02
CCAligned	v1	News-Commentary	v9.1	13523846	7231	2	0	.02
CCAligned	v1	Ubuntu	v14.10	13523846	6943	100	0	1.44
CCAligned	v1	EUconst	v1	13523846	6785	72	0	1.06
CCAligned	v1	ELRC-3614-presscorner_covid	v1	13523846	6318	3	0	.04
CCAligned	v1	ELRC-presscorner_covid	v1	13523846	6318	3	0	.04
CCAligned	v1	GNOME	v1	13523846	5874	216	0	3.67
CCAligned	v1	ELRC_3382	v1	13523846	3513	1	0	.02
CCAligned	v1	tico-19	v2020-10-28	13523846	3070	0	0	0
CCAligned	v1	ELRC-2481-Constituio_da_Repbli	v1	13523846	2891	9	0	.31
CCAligned	v1	ELRC-3472-EC_EUROPA_covid	v1	13523846	2659	8	0	.30
CCAligned	v1	ELRC-EC_EUROPA	v1	13523846	2659	8	0	.30
CCAligned	v1	ELRC-2638-monumentos_2007	v1	13523846	2530	2	0	.07
CCAligned	v1	ELRC-438-Legislation_PT	v1	13523846	2324	20	0	.86
CCAligned	v1	ELRC-846-Legislation_Portugue	v1	13523846	1518	18	0	1.18
CCAligned	v1	ELRC-853-Portuguese_Constitut	v1	13523846	1486	3	0	.20
CCAligned	v1	ELRA-W0246	v1	13523846	1485	2	0	.13
CCAligned	v1	ELRC-2614-Localidades_2007	v1	13523846	1416	7	0	.49
CCAligned	v1	ELRC-Localidades_2007	v1	13523846	1416	7	0	.49
CCAligned	v1	Books	v1	13523846	1398	222	0	15.87
CCAligned	v1	ELRC-2612-Artigos_visitportuga	v1	13523846	1250	3	0	.24
CCAligned	v1	ELRC-Artigos_visitportuga	v1	13523846	1250	3	0	.24
CCAligned	v1	ELRC-3301-EUROPARL_covid	v1	13523846	863	4	0	.46
CCAligned	v1	ELRC-EUROPARL_covid	v1	13523846	863	4	0	.46
CCAligned	v1	ELRC-2560-government_websites_	v1	13523846	844	8	0	.94
CCAligned	v1	ELRC-government_websites	v1	13523846	844	8	0	.94
CCAligned	v1	ELRC-3212-antibiotic	v1	13523846	837	4	0	.47
CCAligned	v1	ELRC-antibiotic	v1	13523846	837	4	0	.47
CCAligned	v1	ELRC-Museus_2007	v1	13523846	832	1	0	.12
CCAligned	v1	ELRC-2616-Museus_2007	v1	13523846	830	1	0	.12
CCAligned	v1	ELRC-2641-Praias_2007	v1	13523846	595	1	0	.16
CCAligned	v1	ELRC-Praias_2007	v1	13523846	595	1	0	.16
CCAligned	v1	ELRC_2923	v1	13523846	559	2	0	.35
CCAligned	v1	ELRC-2747-vaccination	v1	13523846	474	1	0	.21
CCAligned	v1	ELRC-vaccination	v1	13523846	474	1	0	.21
CCAligned	v1	ELRC-2480-Estatuto_dos_Deputad	v1	13523846	397	1	0	.25
CCAligned	v1	ELRC-2478-Glossrio_PT_EN	v1	13523846	204	2	0	.98
CCAligned	v1	ELRC-2484-legislao	v1	13523846	190	2	0	1.05
CCAligned	v1	ELRC-2538-Lei_25_2009	v1	13523846	136	1	0	.73
CCAligned	v1	ELRC-2479-Lei_orgnica_2	v1	13523846	134	1	0	.74
CCAligned	v1	ELRC-2639-Parques_e_reservas	v1	13523846	133	1	0	.75
CCAligned	v1	ELRC-Parques_e	v1	13523846	133	1	0	.75
CCAligned	v1	ELRC-2536-Estatuto_da_Vtima	v1	13523846	115	1	0	.86
CCAligned	v1	ELRC-2622-Arquitectura_2007	v1	13523846	106	3	0	2.83
CCAligned	v1	ELRC-Arquitectura_2007	v1	13523846	106	3	0	2.83
CCAligned	v1	ELRC-2474-Marketing_Influncia	v1	13523846	87	1	0	1.14
CCAligned	v1	ELRC-2623-Patrimnio_Aores_2006	v1	13523846	57	1	0	1.75
CCAligned	v1	ELRC-Patrimnio_Aores	v1	13523846	57	1	0	1.75
CCAligned	v1	ELRC-2537-Lei_20_2008	v1	13523846	40	1	0	2.50
CCAligned	v1	ELRC-2410-Portal_oficial_turis	v1	13523846	33	6	0	18.18
CCAligned	v1	ELRC-2473-do_Consumidor	v1	13523846	10	1	0	10.00
CCAligned	v1	ELRC-2617-Museus_2007_Part2	v1	13523846	7	1	0	14.28
