corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
CCAligned	v1	MultiCCAligned	v1	2299214	2299252	2299214	100.00	99.99
CCAligned	v1	CCMatrix	v1	2299214	22191703	62607	2.72	.28
CCAligned	v1	NLLB	v1	2299214	68801691	45284	1.96	.06
CCAligned	v1	HPLT	v1.1	2299214	1655959	39238	1.70	2.36
CCAligned	v1	HPLT	v1	2299271	1655959	39238	1.70	2.36
CCAligned	v1	MultiHPLT	v1.1	2299214	1655959	39238	1.70	2.36
CCAligned	v1	HPLT	v2	2299214	4166536	37530	1.63	.90
CCAligned	v1	MaCoCu	v2	2299214	507538	8300	.36	1.63
CCAligned	v1	MultiMaCoCu	v2	2299214	507538	8300	.36	1.63
CCAligned	v1	XLEnt	v1.1	2299214	1290636	3318	.14	.25
CCAligned	v1	XLEnt	v1.2	2299214	1290636	3318	.14	.25
CCAligned	v1	XLEnt	v1	2299214	1290636	3318	.14	.25
CCAligned	v1	Tanzil	v1	2299214	361781	2563	.11	.70
CCAligned	v1	TED2020	v1	2299214	68240	704	.03	1.03
CCAligned	v1	QED	v2.0a	2299214	110939	621	.02	.55
CCAligned	v1	OpenSubtitles	v2018	2299214	1626927	268	.01	.01
CCAligned	v1	OpenSubtitles	v2016	2299214	1537760	234	.01	.01
CCAligned	v1	wikimedia	v20230407	2299214	114235	390	.01	.34
CCAligned	v1	wikimedia	v20210402	2299214	65960	335	.01	.50
CCAligned	v1	NeuLab-TedTalks	v1	2299214	46025	393	.01	.85
CCAligned	v1	GNOME	v1	2299214	29403	294	.01	.99
CCAligned	v1	SETIMES	v2	2299214	225161	21	0	0
CCAligned	v1	WikiMatrix	v1	2299214	180110	27	0	.01
CCAligned	v1	SETIMES	v1	2299214	171007	0	0	0
CCAligned	v1	bible-uedin	v1	2299214	61713	3	0	0
CCAligned	v1	ELRC-5067-SciPar	v1	2299214	7780	1	0	.01
CCAligned	v1	Ubuntu	v14.10	2299214	6791	55	0	.80
CCAligned	v1	GlobalVoices	v2018q4	2299214	5745	5	0	.08
CCAligned	v1	GlobalVoices	v2017q3	2299214	5738	4	0	.06
CCAligned	v1	TildeMODEL	v2018	2299214	3056	12	0	.39
CCAligned	v1	EUbookshop	v2	2299214	2013	14	0	.69
CCAligned	v1	Tatoeba	v2023-04-12	2299214	1088	8	0	.73
CCAligned	v1	Tatoeba	v2021-07-22	2299214	1085	8	0	.73
CCAligned	v1	Tatoeba	v2022-03-03	2299214	1085	8	0	.73
CCAligned	v1	Tatoeba	v2020-11-09	2299214	1041	8	0	.76
CCAligned	v1	Tatoeba	v2021-03-10	2299214	1041	8	0	.76
CCAligned	v1	Tatoeba	v2020-05-31	2299214	1038	7	0	.67
CCAligned	v1	Tatoeba	v20190709	2299214	1030	7	0	.67
CCAligned	v1	ELRC-3052-wikipedia_health	v1	2299214	389	1	0	.25
CCAligned	v1	ELRC-wikipedia_health	v1	2299214	389	1	0	.25
CCAligned	v1	ELRC_2922	v1	2299214	388	0	0	0
CCAligned	v1	Tatoeba	v2	2299214	233	3	0	1.28
