corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
CCAligned	v1	CCMatrix	v1	12229912	49682115	143921	1.17	.28
CCAligned	v1	wikimedia	v20210402	12229912	549683	1483	.01	.26
CCAligned	v1	TED2020	v1	12229912	319120	1416	.01	.44
CCAligned	v1	QED	v2.0a	12229912	315775	1327	.01	.42
CCAligned	v1	OpenSubtitles	v2018	12229912	3046635	891	0	.02
CCAligned	v1	WikiMatrix	v1	12229912	1073752	65	0	0
CCAligned	v1	bible-uedin	v1	12229912	119297	2	0	0
CCAligned	v1	KDE4	v2	12229912	39809	743	0	1.86
CCAligned	v1	Wikipedia	v1.0	12229912	36186	0	0	0
CCAligned	v1	Tatoeba	v2022-03-03	12229912	5689	50	0	.87
CCAligned	v1	Tatoeba	v2021-07-22	12229912	5633	50	0	.88
CCAligned	v1	Tatoeba	v2021-03-10	12229912	5630	50	0	.88
CCAligned	v1	Tatoeba	v2020-11-09	12229912	5517	50	0	.90
CCAligned	v1	Tatoeba	v2020-05-31	12229912	5324	49	0	.92
CCAligned	v1	Tatoeba	v20190709	12229912	5318	49	0	.92
CCAligned	v1	Ubuntu	v14.10	12229912	5036	89	0	1.76
CCAligned	v1	ELRC-3086-wikipedia_health	v1	12229912	4274	1	0	.02
CCAligned	v1	ELRC-wikipedia_health	v1	12229912	4274	1	0	.02
CCAligned	v1	ELRC_2922	v1	12229912	4273	0	0	0
CCAligned	v1	Tatoeba	v2	12229912	2166	25	0	1.15
CCAligned	v1	GNOME	v1	12229912	148	13	0	8.78
CCAligned	v1	XLEnt	v1.1	12229912	3	1	0	33.33
CCAligned	v1	XLEnt	v1	12229912	3	1	0	33.33
