corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
CCMatrix	v1	NLLB	v1	138875110	138865867	138850539	99.98	99.98
CCMatrix	v1	MultiCCAligned	v1	138875110	68711166	716324	.51	1.04
CCMatrix	v1	CCAligned	v1	138875110	13738750	338965	.24	2.46
CCMatrix	v1	WikiMatrix	v1	138875110	1661904	289710	.20	17.43
CCMatrix	v1	ParaCrawl	v1	138875110	12015289	169655	.12	1.41
CCMatrix	v1	MultiParaCrawl	v7.1	138875110	5364010	138818	.09	2.58
CCMatrix	v1	ParaCrawl	v8	138875110	5364010	138818	.09	2.58
CCMatrix	v1	ParaCrawl	v9	138875110	5364010	138818	.09	2.58
CCMatrix	v1	ParaCrawl	v7.1	138875110	5364009	138367	.09	2.57
CCMatrix	v1	News-Commentary	v16	138875110	257993	65333	.04	25.32
CCMatrix	v1	News-Commentary	v14	138875110	257991	66946	.04	25.94
CCMatrix	v1	UNPC	v1.0	138875110	19744553	46711	.03	.23
CCMatrix	v1	Wikipedia	v1.0	138875110	541331	51644	.03	9.54
CCMatrix	v1	News-Commentary	v11	138875110	189831	31302	.02	16.48
CCMatrix	v1	MultiUN	v1	138875110	9466296	21370	.01	.22
CCMatrix	v1	TED2020	v1	138875110	380258	18174	.01	4.77
CCMatrix	v1	News-Commentary	v9.0	138875110	163747	20844	.01	12.72
CCMatrix	v1	News-Commentary	v9.1	138875110	163747	20844	.01	12.72
CCMatrix	v1	OpenSubtitles	v2018	138875110	21152745	5947	0	.02
CCMatrix	v1	OpenSubtitles	v2016	138875110	15393688	4536	0	.02
CCMatrix	v1	LinguaTools-WikiTitles	v2014	138875110	13046006	4087	0	.03
CCMatrix	v1	XLEnt	v1.1	138875110	7479613	1493	0	.01
CCMatrix	v1	XLEnt	v1	138875110	7479613	1493	0	.01
CCMatrix	v1	XLEnt	v1.2	138875110	7479613	1493	0	.01
CCMatrix	v1	WikiTitles	v3	138875110	1123821	0	0	0
CCMatrix	v1	Tanzil	v1	138875110	1011655	4897	0	.48
CCMatrix	v1	Tatoeba	v2023-04-12	138875110	540539	1906	0	.35
CCMatrix	v1	Tatoeba	v2022-03-03	138875110	529043	1884	0	.35
CCMatrix	v1	Tatoeba	v2021-07-22	138875110	523544	1865	0	.35
CCMatrix	v1	QED	v2.0a	138875110	522751	10417	0	1.99
CCMatrix	v1	Tatoeba	v2021-03-10	138875110	519222	1858	0	.35
CCMatrix	v1	Tatoeba	v2020-11-09	138875110	514093	1846	0	.35
CCMatrix	v1	wikimedia	v20230407	138875110	506264	6970	0	1.37
CCMatrix	v1	Tatoeba	v2020-05-31	138875110	501391	1814	0	.36
CCMatrix	v1	Tatoeba	v20190709	138875110	487111	1775	0	.36
CCMatrix	v1	wikimedia	v20210402	138875110	316871	6933	0	2.18
CCMatrix	v1	NeuLab-TedTalks	v1	138875110	216889	11191	0	5.15
CCMatrix	v1	GlobalVoices	v2018q4	138875110	162192	13376	0	8.24
CCMatrix	v1	KDE4	v2	138875110	159404	11	0	0
CCMatrix	v1	TED2013	v1.1	138875110	132726	8827	0	6.65
CCMatrix	v1	GlobalVoices	v2017q3	138875110	126524	8829	0	6.97
CCMatrix	v1	ELRC-5183-SciPar_Ukraine	v1	138875110	126237	319	0	.25
CCMatrix	v1	Tatoeba	v2	138875110	97202	637	0	.65
CCMatrix	v1	GlobalVoices	v2015	138875110	80717	4881	0	6.04
CCMatrix	v1	bible-uedin	v1	138875110	61559	593	0	.96
CCMatrix	v1	UN	v20090831	138875110	58729	962	0	1.63
CCMatrix	v1	EUbookshop	v2	138875110	44969	48	0	.10
CCMatrix	v1	WMT-News	v2019	138875110	24817	3	0	.01
CCMatrix	v1	OpenSubtitles	v1	138875110	22333	22	0	.09
CCMatrix	v1	infopankki	v1	138875110	20627	1758	0	8.52
CCMatrix	v1	Books	v1	138875110	17255	24	0	.13
CCMatrix	v1	TildeMODEL	v2018	138875110	10974	136	0	1.23
CCMatrix	v1	WMT-News	v2014	138875110	9003	0	0	0
CCMatrix	v1	Ubuntu	v14.10	138875110	6981	1	0	.01
CCMatrix	v1	ELRC-3075-wikipedia_health	v1	138875110	4073	111	0	2.72
CCMatrix	v1	ELRC-wikipedia_health	v1	138875110	4073	111	0	2.72
CCMatrix	v1	ELRC_2922	v1	138875110	4072	108	0	2.65
CCMatrix	v1	ada83	v1	138875110	3966	13	0	.32
CCMatrix	v1	PHP	v1	138875110	3689	5	0	.13
CCMatrix	v1	tico-19	v2020-10-28	138875110	3070	0	0	0
CCMatrix	v1	ELRC-5067-SciPar	v1	138875110	3064	0	0	0
CCMatrix	v1	GNOME	v1	138875110	149	0	0	0
CCMatrix	v1	ELRC-3855-SWPS_University_Soci	v1	138875110	109	0	0	0
