corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
CCMatrix	v1	CCAligned	v1	3100965	6516255	15510	.50	.23
CCMatrix	v1	WikiMatrix	v1	3100965	75447	5866	.18	7.77
CCMatrix	v1	ParaCrawl	v9	3100965	243178	2895	.09	1.19
CCMatrix	v1	wikimedia	v20210402	3100965	40716	1289	.04	3.16
CCMatrix	v1	XLEnt	v1.1	3100965	1062507	18	0	0
CCMatrix	v1	XLEnt	v1.2	3100965	1062507	18	0	0
CCMatrix	v1	XLEnt	v1	3100965	1062507	18	0	0
CCMatrix	v1	bible-uedin	v1	3100965	61599	67	0	.10
CCMatrix	v1	OpenSubtitles	v2018	3100965	14704	6	0	.04
CCMatrix	v1	Tatoeba	v2022-03-03	3100965	7347	6	0	.08
CCMatrix	v1	Tatoeba	v2021-07-22	3100965	7297	6	0	.08
CCMatrix	v1	Tatoeba	v2021-03-10	3100965	7277	6	0	.08
CCMatrix	v1	Tatoeba	v2020-11-09	3100965	7259	6	0	.08
CCMatrix	v1	Tatoeba	v2020-05-31	3100965	7253	6	0	.08
CCMatrix	v1	Tatoeba	v20190709	3100965	6787	6	0	.08
CCMatrix	v1	Ubuntu	v14.10	3100965	5043	0	0	0
CCMatrix	v1	Tatoeba	v2	3100965	4912	6	0	.12
CCMatrix	v1	tico-19	v2020-10-28	3100965	3070	0	0	0
CCMatrix	v1	QED	v2.0a	3100965	2815	4	0	.14
CCMatrix	v1	TED2020	v1	3100965	1167	2	0	.17
CCMatrix	v1	GNOME	v1	3100965	468	0	0	0
CCMatrix	v1	ELRC-3067-wikipedia_health	v1	3100965	358	5	0	1.39
CCMatrix	v1	ELRC-wikipedia_health	v1	3100965	358	5	0	1.39
CCMatrix	v1	ELRC_2922	v1	3100965	357	5	0	1.40
