corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
DGT	v4	DGT	v2019	1967340	3648865	1967230	99.99	53.91
DGT	v4	ELRC-4270-NTEU_TierA	v1	1967340	7890285	1961521	99.70	24.85
DGT	v4	CCMatrix	v1	1967340	23162636	146564	7.44	.63
DGT	v4	NLLB	v1	1967340	23162019	146564	7.44	.63
DGT	v4	ParaCrawl	v9	1967340	13191974	74878	3.80	.56
DGT	v4	TildeMODEL	v2018	1967340	2053491	63058	3.20	3.07
DGT	v4	HPLT	v2	1967340	12881345	61490	3.12	.47
DGT	v4	MultiHPLT	v2	1967340	12881345	61490	3.12	.47
DGT	v4	JRC-Acquis	v3.0	1967340	500372	53640	2.72	10.72
DGT	v4	ParaCrawl	v8	1967340	8043262	53122	2.70	.66
DGT	v4	EUbookshop	v2	1967340	373431	8287	.42	2.21
DGT	v4	MultiParaCrawl	v7.1	1967340	4433563	5952	.30	.13
DGT	v4	ParaCrawl	v7.1	1967340	4433562	5813	.29	.13
DGT	v4	MultiCCAligned	v1	1967340	5183742	5667	.28	.10
DGT	v4	CCAligned	v1	1967340	5183648	5667	.28	.10
DGT	v4	ECB	v1	1967340	69759	5086	.25	7.29
DGT	v4	XLEnt	v1.1	1967340	1562418	1986	.10	.12
DGT	v4	XLEnt	v1	1967340	1562418	1986	.10	.12
DGT	v4	XLEnt	v1.2	1967340	1562418	1986	.10	.12
DGT	v4	ELRC-2717-EMEA	v1	1967340	757666	1160	.05	.15
DGT	v4	ELRC-EMEA	v1	1967340	757666	1160	.05	.15
DGT	v4	KDE4	v2	1967340	89827	1002	.05	1.11
DGT	v4	ELRC-425-Lithuanian_legislati	v1	1967340	129128	672	.03	.52
DGT	v4	ParaCrawl	v4	1967340	841635	505	.02	.06
DGT	v4	EMEA	v3	1967340	335483	576	.02	.17
DGT	v4	ParaCrawl	v5	1967340	1263838	283	.01	.02
DGT	v4	ELRC-2021-EUIPO_2017	v1	1967340	17133	225	.01	1.31
DGT	v4	ELRC-EUIPO_2017	v1	1967340	17133	225	.01	1.31
DGT	v4	GNOME	v1	1967340	15800	333	.01	2.10
DGT	v4	ELRC-2878-EU_publications_medi	v1	1967340	12573	233	.01	1.85
DGT	v4	ELRC-EU_publications	v1	1967340	12573	233	.01	1.85
DGT	v4	EUconst	v1	1967340	6692	301	.01	4.49
DGT	v4	OpenSubtitles	v2018	1967340	1212456	41	0	0
DGT	v4	OpenSubtitles	v2016	1967340	1023613	33	0	0
DGT	v4	Europarl	v8	1967340	616663	42	0	0
DGT	v4	Europarl	v7	1967340	616275	42	0	0
DGT	v4	ELRC-5067-SciPar	v1	1967340	177437	3	0	0
DGT	v4	WikiMatrix	v1	1967340	157526	18	0	.01
DGT	v4	ELITR-ECA	v1	1967340	128135	78	0	.06
DGT	v4	QED	v2.0a	1967340	79727	12	0	.01
DGT	v4	TED2020	v1	1967340	73635	3	0	0
DGT	v4	bible-uedin	v1	1967340	61544	0	0	0
DGT	v4	NeuLab-TedTalks	v1	1967340	44740	3	0	0
DGT	v4	ELRC-591-www.lb.lt	v1	1967340	33241	99	0	.29
DGT	v4	ELRC-3568-EUR_LEX_covid	v1	1967340	21385	108	0	.50
DGT	v4	ELRC-EUR_LEX	v1	1967340	21385	108	0	.50
DGT	v4	wikimedia	v20230407	1967340	13796	102	0	.73
DGT	v4	ELRC-405-President_Lithuania	v1	1967340	12704	7	0	.05
DGT	v4	ELRA-W0160	v1	1967340	12703	7	0	.05
DGT	v4	Tatoeba	v2023-04-12	1967340	8229	1	0	.01
DGT	v4	Tatoeba	v2022-03-03	1967340	8176	1	0	.01
DGT	v4	Tatoeba	v2021-07-22	1967340	8172	1	0	.01
DGT	v4	Tatoeba	v2021-03-10	1967340	8167	1	0	.01
DGT	v4	Tatoeba	v2020-11-09	1967340	8160	1	0	.01
DGT	v4	Tatoeba	v2020-05-31	1967340	8143	1	0	.01
DGT	v4	Tatoeba	v20190709	1967340	8129	1	0	.01
DGT	v4	ELRC-592-kam.lt	v1	1967340	8028	0	0	0
DGT	v4	OpenSubtitles	v1	1967340	7991	2	0	.02
DGT	v4	wikimedia	v20210402	1967340	7387	66	0	.89
DGT	v4	ELRC-3609-presscorner_covid	v1	1967340	6454	1	0	.01
DGT	v4	ELRC-presscorner_covid	v1	1967340	6454	1	0	.01
DGT	v4	Tatoeba	v2	1967340	6300	1	0	.01
DGT	v4	WMT-News	v2019	1967340	3998	0	0	0
DGT	v4	Ubuntu	v14.10	1967340	3827	35	0	.91
DGT	v4	ELRC_3382	v1	1967340	3583	1	0	.02
DGT	v4	ECDC	v2016-03-16	1967340	2457	68	0	2.76
DGT	v4	ELRC-3467-EC_EUROPA_covid	v1	1967340	2438	6	0	.24
DGT	v4	ELRC-EC_EUROPA	v1	1967340	2438	6	0	.24
DGT	v4	wikimedia	v20190628	1967340	2402	37	0	1.54
DGT	v4	ELRC-590-www.lrs.lt	v1	1967340	1771	1	0	.05
DGT	v4	ELRC-3205-antibiotic	v1	1967340	822	2	0	.24
DGT	v4	ELRC-antibiotic	v1	1967340	822	2	0	.24
DGT	v4	ELRC-3296-EUROPARL_covid	v1	1967340	552	0	0	0
DGT	v4	ELRC-EUROPARL_covid	v1	1967340	552	0	0	0
DGT	v4	ELRC-2740-vaccination	v1	1967340	546	2	0	.36
DGT	v4	ELRC-vaccination	v1	1967340	546	2	0	.36
DGT	v4	ELRC_2923	v1	1967340	383	0	0	0
DGT	v4	ELRC-3069-wikipedia_health	v1	1967340	136	0	0	0
DGT	v4	ELRC-wikipedia_health	v1	1967340	136	0	0	0
DGT	v4	ELRC_2922	v1	1967340	135	0	0	0
