corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ECDC	v2016-03-16	ELRC-4159-NTEU_TierA	v1	2532	11724160	2312	91.31	.01
ECDC	v2016-03-16	ELRC-4212-NTEU_TierA	v1	2532	6955376	2273	89.77	.03
ECDC	v2016-03-16	ELRC-4227-NTEU_TierA	v1	2532	7414675	2269	89.61	.03
ECDC	v2016-03-16	ELRC-4163-NTEU_TierA	v1	2532	6278278	2257	89.13	.03
ECDC	v2016-03-16	ELRC-4250-NTEU_TierA	v1	2532	7092287	2229	88.03	.03
ECDC	v2016-03-16	ELRC-4144-NTEU_TierA	v1	2532	12470878	2182	86.17	.01
ECDC	v2016-03-16	ELRC-4166-NTEU_TierA	v1	2532	9514731	2066	81.59	.02
ECDC	v2016-03-16	MultiCCAligned	v1.1	2532	102410788	221	8.72	0
ECDC	v2016-03-16	MultiCCAligned	v1	2532	102410788	221	8.72	0
ECDC	v2016-03-16	CCAligned	v1	2532	102410685	221	8.72	0
ECDC	v2016-03-16	MultiParaCrawl	v8	2532	199141573	193	7.62	0
ECDC	v2016-03-16	ParaCrawl	v8	2532	199141573	193	7.62	0
ECDC	v2016-03-16	MultiParaCrawl	v9	2532	187085885	186	7.34	0
ECDC	v2016-03-16	MultiParaCrawl	v9b	2532	187085885	186	7.34	0
ECDC	v2016-03-16	ParaCrawl	v9	2532	187085885	186	7.34	0
ECDC	v2016-03-16	MultiParaCrawl	v7.1	2532	102000359	170	6.71	0
ECDC	v2016-03-16	ParaCrawl	v7.1	2532	102000359	170	6.71	0
ECDC	v2016-03-16	ParaCrawl	v1	2532	27422308	162	6.39	0
ECDC	v2016-03-16	UNPC	v1.0	2532	24410320	159	6.27	0
ECDC	v2016-03-16	TildeMODEL	v2018	2532	5592948	125	4.93	0
ECDC	v2016-03-16	LinguaTools-WikiTitles	v2014	2532	2720213	112	4.42	0
ECDC	v2016-03-16	DGT	v4	2532	1884522	99	3.90	0
ECDC	v2016-03-16	giga-fren	v2	2532	21270622	97	3.83	0
ECDC	v2016-03-16	CCMatrix	v1	2532	798656090	94	3.71	0
ECDC	v2016-03-16	JRC-Acquis	v3.0	2532	1956392	89	3.51	0
ECDC	v2016-03-16	XLEnt	v1.1	2532	6760567	86	3.39	0
ECDC	v2016-03-16	XLEnt	v1.2	2532	6760567	86	3.39	0
ECDC	v2016-03-16	XLEnt	v1	2532	6760567	86	3.39	0
ECDC	v2016-03-16	WikiTitles	v3	2532	895267	84	3.31	0
ECDC	v2016-03-16	ELRC-4241-NTEU_TierA	v1	2532	1665033	80	3.15	0
ECDC	v2016-03-16	EUbookshop	v2	2532	13922861	78	3.08	0
ECDC	v2016-03-16	ParaCrawl	v4	2532	35218228	73	2.88	0
ECDC	v2016-03-16	MultiParaCrawl	v5	2532	52742733	70	2.76	0
ECDC	v2016-03-16	ParaCrawl	v5	2532	52742733	70	2.76	0
ECDC	v2016-03-16	MBS	v1	2532	2281253	55	2.17	0
ECDC	v2016-03-16	wikimedia	v20230407	2532	2676731	44	1.73	0
ECDC	v2016-03-16	wikimedia	v20210402	2532	1749281	43	1.69	0
ECDC	v2016-03-16	Mozilla-I10n	v1	2532	55750	36	1.42	.06
ECDC	v2016-03-16	OpenSubtitles	v2018	2532	42876478	32	1.26	0
ECDC	v2016-03-16	ELRC-2720-EMEA	v1	2532	732816	30	1.18	0
ECDC	v2016-03-16	ELRC-EMEA	v1	2532	732816	30	1.18	0
ECDC	v2016-03-16	OpenSubtitles	v2016	2532	36854261	29	1.14	0
ECDC	v2016-03-16	KDE4	v2	2532	166905	29	1.14	.01
ECDC	v2016-03-16	ELRC-2410-Portal_oficial_turis	v1	2532	147965	28	1.10	.01
ECDC	v2016-03-16	EMEA	v3	2532	352316	26	1.02	0
ECDC	v2016-03-16	OpenSubtitles	v2012	2532	18177724	22	.86	0
ECDC	v2016-03-16	OpenSubtitles	v2013	2532	17694776	21	.82	0
ECDC	v2016-03-16	ELRC-5179-acts_Ukrainian	v1	2532	126028	20	.78	.01
ECDC	v2016-03-16	ECB	v1	2532	341341	19	.75	0
ECDC	v2016-03-16	NLLB	v1	2532	179281453	18	.71	0
ECDC	v2016-03-16	OfisPublik	v1	2532	61478	18	.71	.02
ECDC	v2016-03-16	QED	v2.0a	2532	1265895	17	.67	0
ECDC	v2016-03-16	OpenOffice	v3	2532	47166	15	.59	.03
ECDC	v2016-03-16	OpenOffice	v2	2532	31830	13	.51	.04
ECDC	v2016-03-16	GlobalVoices	v2018q4	2532	457118	11	.43	0
ECDC	v2016-03-16	ELRA-W0201	v1	2532	36287	10	.39	.02
ECDC	v2016-03-16	ELRC-638-Luxembourg.lu	v1	2532	36287	10	.39	.02
ECDC	v2016-03-16	GlobalVoices	v2017q3	2532	416159	9	.35	0
ECDC	v2016-03-16	GlobalVoices	v2015	2532	364202	9	.35	0
ECDC	v2016-03-16	EuroPat	v3	2532	10716853	7	.27	0
ECDC	v2016-03-16	EuroPat	v1	2532	8944736	7	.27	0
ECDC	v2016-03-16	KDEdoc	v1	2532	21222	7	.27	.03
ECDC	v2016-03-16	EuroPat	v2	2532	11489429	6	.23	0
ECDC	v2016-03-16	ELRC-2879-EU_publications_medi	v1	2532	13092	6	.23	.04
ECDC	v2016-03-16	ELRC-EU_publications	v1	2532	13092	6	.23	.04
ECDC	v2016-03-16	WikiMatrix	v1	2532	18783887	5	.19	0
ECDC	v2016-03-16	wikimedia	v20190628	2532	16205	5	.19	.03
ECDC	v2016-03-16	ELRC-1256-government_websites_	v1	2532	15684	5	.19	.03
ECDC	v2016-03-16	ELRC-government_websites	v1	2532	15684	5	.19	.03
ECDC	v2016-03-16	Europarl	v8	2532	2180255	4	.15	0
ECDC	v2016-03-16	Europarl	v7	2532	2179933	4	.15	0
ECDC	v2016-03-16	Europarl	v3	2532	1444898	4	.15	0
ECDC	v2016-03-16	ELRC-1087-German_Foreign_Offic	v1	2532	25215	4	.15	.01
