corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELITR-ECA	v1	JRC-Acquis	v3.0	14535	1976740	658	4.52	.03
ELITR-ECA	v1	ELRC-4217-NTEU_TierA	v1	14535	13590557	511	3.51	0
ELITR-ECA	v1	ELRC-4240-NTEU_TierA	v1	14535	6832723	495	3.40	0
ELITR-ECA	v1	ELRC-4189-NTEU_TierA	v1	14535	6722009	484	3.32	0
ELITR-ECA	v1	MultiCCAligned	v1.1	14535	94632804	405	2.78	0
ELITR-ECA	v1	MultiCCAligned	v1	14535	94632804	405	2.78	0
ELITR-ECA	v1	CCAligned	v1	14535	94632717	405	2.78	0
ELITR-ECA	v1	ELRC-4244-NTEU_TierA	v1	14535	11895609	373	2.56	0
ELITR-ECA	v1	ELRC-4258-NTEU_TierA	v1	14535	10898481	295	2.02	0
ELITR-ECA	v1	ELRC-4149-NTEU_TierA	v1	14535	6376442	267	1.83	0
ELITR-ECA	v1	MultiParaCrawl	v9	14535	220525299	262	1.80	0
ELITR-ECA	v1	MultiParaCrawl	v9b	14535	220525299	262	1.80	0
ELITR-ECA	v1	ParaCrawl	v9	14535	220525299	262	1.80	0
ELITR-ECA	v1	MultiParaCrawl	v8	14535	181982536	262	1.80	0
ELITR-ECA	v1	ParaCrawl	v8	14535	181982536	262	1.80	0
ELITR-ECA	v1	ELRC-4171-NTEU_TierA	v1	14535	6156952	240	1.65	0
ELITR-ECA	v1	ParaCrawl	v1	14535	30276960	228	1.56	0
ELITR-ECA	v1	MultiParaCrawl	v7.1	14535	79923441	223	1.53	0
ELITR-ECA	v1	ParaCrawl	v7.1	14535	79923441	223	1.53	0
ELITR-ECA	v1	MultiParaCrawl	v5	14535	38590372	184	1.26	0
ELITR-ECA	v1	ParaCrawl	v5	14535	38590372	184	1.26	0
ELITR-ECA	v1	ParaCrawl	v4	14535	18478509	179	1.23	0
ELITR-ECA	v1	TildeMODEL	v2018	14535	5010796	172	1.18	0
ELITR-ECA	v1	ELRC-4198-NTEU_TierA	v1	14535	1697490	156	1.07	0
ELITR-ECA	v1	EUbookshop	v2	14535	13496826	107	.73	0
ELITR-ECA	v1	NLLB	v1	14535	533037982	75	.51	0
ELITR-ECA	v1	CCMatrix	v1	14535	533454428	73	.50	0
ELITR-ECA	v1	EOPC	v2022	14535	388284	72	.49	.01
ELITR-ECA	v1	OpenSubtitles	v2018	14535	21077886	69	.47	0
ELITR-ECA	v1	EMEA	v3	14535	344800	68	.46	.01
ELITR-ECA	v1	StanfordNLP-NMT	v1.0	14535	4760969	60	.41	0
ELITR-ECA	v1	OpenSubtitles	v2016	14535	13567334	59	.40	0
ELITR-ECA	v1	EuroPat	v3	14535	19352179	52	.35	0
ELITR-ECA	v1	EuroPat	v1	14535	12552876	52	.35	0
ELITR-ECA	v1	EuroPat	v2	14535	15393512	50	.34	0
ELITR-ECA	v1	LinguaTools-WikiTitles	v2014	14535	2438842	42	.28	0
