corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELITR-ECA	v1	EUbookshop	v2	363233	4770208	3515	.96	.07
ELITR-ECA	v1	CCMatrix	v1	363233	405034797	1119	.30	0
ELITR-ECA	v1	UNPC	v1.0	363233	20006701	414	.11	0
ELITR-ECA	v1	OpenSubtitles	v2018	363233	48038535	333	.09	0
ELITR-ECA	v1	JRC-Acquis	v3.0	363233	503055	320	.08	.06
ELITR-ECA	v1	DGT	v2019	363233	3633928	221	.06	0
ELITR-ECA	v1	ParaCrawl	v9	363233	269394943	205	.05	0
ELITR-ECA	v1	TildeMODEL	v2018	363233	3715959	201	.05	0
ELITR-ECA	v1	Wikipedia	v1.0	363233	1739907	213	.05	.01
ELITR-ECA	v1	EMEA	v3	363233	360247	184	.05	.05
ELITR-ECA	v1	MultiUN	v1	363233	9269979	135	.03	0
ELITR-ECA	v1	EUconst	v1	363233	6641	79	.02	1.18
ELITR-ECA	v1	XLEnt	v1.1	363233	8642368	39	.01	0
ELITR-ECA	v1	XLEnt	v1	363233	8642368	39	.01	0
ELITR-ECA	v1	Europarl	v8	363233	1961895	67	.01	0
ELITR-ECA	v1	QED	v2.0a	363233	1051812	55	.01	0
ELITR-ECA	v1	GlobalVoices	v2017q3	363233	683652	54	.01	0
ELITR-ECA	v1	GlobalVoices	v2015	363233	559380	44	.01	0
ELITR-ECA	v1	GlobalVoices	v2018q4	363233	355113	41	.01	.01
ELITR-ECA	v1	ECB	v1	363233	116023	59	.01	.05
ELITR-ECA	v1	ELRC-1076-EUIPO_law	v1	363233	90177	56	.01	.06
ELITR-ECA	v1	ELRC-EUIPO_law	v1	363233	90177	56	.01	.06
ELITR-ECA	v1	EuroPat	v3	363233	51352280	2	0	0
ELITR-ECA	v1	EuroPat	v2	363233	44063941	3	0	0
ELITR-ECA	v1	CCAligned	v1	363233	15124311	26	0	0
ELITR-ECA	v1	WikiMatrix	v1	363233	3377894	21	0	0
ELITR-ECA	v1	wikimedia	v20210402	363233	1207773	12	0	0
ELITR-ECA	v1	ELRC-2722-EMEA	v1	363233	770571	11	0	0
ELITR-ECA	v1	ELRC-EMEA	v1	363233	770571	11	0	0
ELITR-ECA	v1	OpenSubtitles	v1	363233	463361	27	0	0
ELITR-ECA	v1	SciELO	v1	363233	416293	10	0	0
ELITR-ECA	v1	TED2020	v1	363233	405946	6	0	0
ELITR-ECA	v1	ELRC-5067-SciPar	v1	363233	354460	1	0	0
ELITR-ECA	v1	ELRC_2682	v1	363233	243570	6	0	0
ELITR-ECA	v1	ELRC-1126-CORDIS_Results_Brief	v1	363233	242561	1	0	0
ELITR-ECA	v1	ELRC-CORDIS_Results	v1	363233	242561	1	0	0
ELITR-ECA	v1	News-Commentary	v11	363233	238511	36	0	.01
ELITR-ECA	v1	Tatoeba	v2022-03-03	363233	217865	3	0	0
ELITR-ECA	v1	Tatoeba	v2021-07-22	363233	214069	3	0	0
