corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELITR-ECA	v1	JRC-Acquis	v3.0	5534	1957180	439	7.93	.02
ELITR-ECA	v1	ELRC-4151-NTEU_TierA	v1	5534	11357274	392	7.08	0
ELITR-ECA	v1	ELRC-4138-NTEU_TierA	v1	5534	6090190	386	6.97	0
ELITR-ECA	v1	ELRC-4215-NTEU_TierA	v1	5534	6019620	373	6.74	0
ELITR-ECA	v1	MultiCCAligned	v1.1	5534	39109883	293	5.29	0
ELITR-ECA	v1	MultiCCAligned	v1	5534	39109883	293	5.29	0
ELITR-ECA	v1	CCAligned	v1	5534	39109849	293	5.29	0
ELITR-ECA	v1	ELRC-4136-NTEU_TierA	v1	5534	9335815	292	5.27	0
ELITR-ECA	v1	ELRC-4273-NTEU_TierA	v1	5534	5642382	260	4.69	0
ELITR-ECA	v1	ELRC-4196-NTEU_TierA	v1	5534	8820185	239	4.31	0
ELITR-ECA	v1	MultiParaCrawl	v7.1	5534	29681586	234	4.22	0
ELITR-ECA	v1	ParaCrawl	v7.1	5534	29681586	234	4.22	0
ELITR-ECA	v1	ParaCrawl	v4	5534	8384028	234	4.22	0
ELITR-ECA	v1	MultiParaCrawl	v5	5534	13485151	228	4.11	0
ELITR-ECA	v1	ParaCrawl	v5	5534	13485151	228	4.11	0
ELITR-ECA	v1	MultiParaCrawl	v9	5534	69939929	222	4.01	0
ELITR-ECA	v1	MultiParaCrawl	v9b	5534	69939929	222	4.01	0
ELITR-ECA	v1	ParaCrawl	v9	5534	69939929	222	4.01	0
ELITR-ECA	v1	MultiParaCrawl	v8	5534	70437155	216	3.90	0
ELITR-ECA	v1	ParaCrawl	v8	5534	70437155	216	3.90	0
ELITR-ECA	v1	ParaCrawl	v1	5534	2928319	176	3.18	0
ELITR-ECA	v1	ELRC-4245-NTEU_TierA	v1	5534	5388024	164	2.96	0
ELITR-ECA	v1	OpenSubtitles	v2018	5534	36905183	160	2.89	0
ELITR-ECA	v1	OpenSubtitles	v2012	5534	20272373	155	2.80	0
ELITR-ECA	v1	OpenSubtitles	v2016	5534	28810972	154	2.78	0
ELITR-ECA	v1	TildeMODEL	v2018	5534	3805106	141	2.54	0
ELITR-ECA	v1	OpenSubtitles	v2013	5534	12095430	133	2.40	0
ELITR-ECA	v1	EMEA	v3	5534	332926	120	2.16	.03
ELITR-ECA	v1	wikimedia	v20230407	5534	1278521	104	1.87	0
ELITR-ECA	v1	wikimedia	v20210402	5534	795121	101	1.82	.01
ELITR-ECA	v1	SciELO	v1	5534	2776559	93	1.68	0
ELITR-ECA	v1	EUbookshop	v2	5534	5416280	80	1.44	0
ELITR-ECA	v1	Wikipedia	v1.0	5534	1759286	77	1.39	0
ELITR-ECA	v1	EUconst	v1	5534	7344	76	1.37	1.03
ELITR-ECA	v1	NLLB	v1	5534	415019611	73	1.31	0
ELITR-ECA	v1	OpenSubtitles	v1	5534	1176075	64	1.15	0
ELITR-ECA	v1	Europarl	v8	5534	2108483	55	.99	0
ELITR-ECA	v1	Europarl	v7	5534	2108380	55	.99	0
ELITR-ECA	v1	LinguaTools-WikiTitles	v2014	5534	1305308	53	.95	0
ELITR-ECA	v1	QED	v2.0a	5534	555792	52	.93	0
ELITR-ECA	v1	WikiTitles	v3	5534	678745	42	.75	0
ELITR-ECA	v1	CCMatrix	v1	5534	102664744	41	.74	0
ELITR-ECA	v1	ELRC-4219-NTEU_TierA	v1	5534	1381637	34	.61	0
ELITR-ECA	v1	XLEnt	v1.1	5534	4722835	29	.52	0
ELITR-ECA	v1	XLEnt	v1.2	5534	4722835	29	.52	0
ELITR-ECA	v1	XLEnt	v1	5534	4722835	29	.52	0
ELITR-ECA	v1	KDE4	v2	5534	182488	27	.48	.01
ELITR-ECA	v1	TED2013	v1.1	5534	154533	26	.46	.01
ELITR-ECA	v1	Mozilla-I10n	v1	5534	48013	24	.43	.04
ELITR-ECA	v1	GlobalVoices	v2018q4	5534	136822	20	.36	.01
ELITR-ECA	v1	ELRC-2724-EMEA	v1	5534	734866	18	.32	0
ELITR-ECA	v1	ELRC-EMEA	v1	5534	734866	18	.32	0
ELITR-ECA	v1	TED2020	v1	5534	355896	17	.30	0
ELITR-ECA	v1	GlobalVoices	v2017q3	5534	118900	14	.25	.01
ELITR-ECA	v1	GlobalVoices	v2015	5534	101099	14	.25	.01
ELITR-ECA	v1	Europarl	v3	5534	1405473	12	.21	0
ELITR-ECA	v1	ELRC-2481-Constituio_da_Repbli	v1	5534	3822	12	.21	.31
ELITR-ECA	v1	ELRA-W0246	v1	5534	1498	12	.21	.80
ELITR-ECA	v1	ELRC-853-Portuguese_Constitut	v1	5534	1498	12	.21	.80
ELITR-ECA	v1	WikiMatrix	v1	5534	9154347	8	.14	0
ELITR-ECA	v1	ELRC-Museus_2007	v1	5534	1208	6	.10	.49
ELITR-ECA	v1	ELRC-2616-Museus_2007	v1	5534	1183	6	.10	.50
ELITR-ECA	v1	ELRC-2617-Museus_2007_Part2	v1	5534	1130	6	.10	.53
ELITR-ECA	v1	Tatoeba	v2023-04-12	5534	426015	5	.09	0
ELITR-ECA	v1	Tatoeba	v2022-03-03	5534	404012	5	.09	0
ELITR-ECA	v1	Tatoeba	v2021-03-10	5534	388758	5	.09	0
ELITR-ECA	v1	Tatoeba	v2020-11-09	5534	382932	5	.09	0
ELITR-ECA	v1	Tatoeba	v2021-07-22	5534	378616	5	.09	0
ELITR-ECA	v1	Tatoeba	v2020-05-31	5534	370272	5	.09	0
ELITR-ECA	v1	ECB	v1	5534	352506	5	.09	0
ELITR-ECA	v1	Tatoeba	v20190709	5534	332245	5	.09	0
ELITR-ECA	v1	Tatoeba	v2	5534	135730	5	.09	0
ELITR-ECA	v1	ELRC-2480-Estatuto_dos_Deputad	v1	5534	677	5	.09	.73
ELITR-ECA	v1	DGT	v4	5534	1864600	4	.07	0
ELITR-ECA	v1	News-Commentary	v16	5534	84239	4	.07	0
ELITR-ECA	v1	News-Commentary	v14	5534	57964	4	.07	0
ELITR-ECA	v1	News-Commentary	v11	5534	33096	4	.07	.01
ELITR-ECA	v1	News-Commentary	v9.0	5534	27176	4	.07	.01
ELITR-ECA	v1	News-Commentary	v9.1	5534	27176	4	.07	.01
ELITR-ECA	v1	ELRC-5067-SciPar	v1	5534	979953	3	.05	0
ELITR-ECA	v1	wikimedia	v20190628	5534	14672	3	.05	.02
ELITR-ECA	v1	ELRC-2883-EU_publications_medi	v1	5534	13127	3	.05	.02
ELITR-ECA	v1	ELRC-EU_publications	v1	5534	13127	3	.05	.02
ELITR-ECA	v1	CAPES	v1	5534	1155323	2	.03	0
ELITR-ECA	v1	ELRC-2410-Portal_oficial_turis	v1	5534	28815	2	.03	0
ELITR-ECA	v1	ELRC-438-Legislation_PT	v1	5534	2334	2	.03	.08
ELITR-ECA	v1	ELRC-5179-acts_Ukrainian	v1	5534	126771	1	.01	0
ELITR-ECA	v1	KDEdoc	v1	5534	9085	1	.01	.01
ELITR-ECA	v1	NeuLab-TedTalks	v1	5534	84380	0	0	0
ELITR-ECA	v1	bible-uedin	v1	5534	34612	0	0	0
ELITR-ECA	v1	ELRC-EUR_LEX	v1	5534	20876	0	0	0
ELITR-ECA	v1	ELRC-2025-EUIPO_2017	v1	5534	17066	0	0	0
ELITR-ECA	v1	ELRC-EUIPO_2017	v1	5534	17066	0	0	0
ELITR-ECA	v1	Tanzil	v1	5534	9059	0	0	0
ELITR-ECA	v1	ELRC_2922	v1	5534	7308	0	0	0
