corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRA-W0167	v1	ELRC-429-Legal_Estonian_Justi	v1	45411	45411	45411	100.00	100.00
ELRA-W0167	v1	CCMatrix	v1	45411	31007083	14448	31.81	.04
ELRA-W0167	v1	NLLB	v1	45411	30756250	14413	31.73	.04
ELRA-W0167	v1	MultiParaCrawl	v9	45411	7032296	7994	17.60	.11
ELRA-W0167	v1	MultiParaCrawl	v9b	45411	7032296	7994	17.60	.11
ELRA-W0167	v1	ParaCrawl	v9	45411	7032296	7994	17.60	.11
ELRA-W0167	v1	ELRC-4271-NTEU_TierA	v1	45411	7312708	3649	8.03	.04
ELRA-W0167	v1	ELRC-4186-NTEU_TierA	v1	45411	6262905	3613	7.95	.05
ELRA-W0167	v1	ELRC-4206-NTEU_TierA	v1	45411	5720488	3594	7.91	.06
ELRA-W0167	v1	ELRC-4133-NTEU_TierA	v1	45411	6234288	3585	7.89	.05
ELRA-W0167	v1	ELRC-4148-NTEU_TierA	v1	45411	5766863	3539	7.79	.06
ELRA-W0167	v1	ELRC-4138-NTEU_TierA	v1	45411	6032328	3521	7.75	.05
ELRA-W0167	v1	ELRC-4173-NTEU_TierA	v1	45411	5559965	3509	7.72	.06
ELRA-W0167	v1	ELRC-4257-NTEU_TierA	v1	45411	5562975	3457	7.61	.06
ELRA-W0167	v1	ELRC-4285-NTEU_TierA	v1	45411	3864008	3346	7.36	.08
ELRA-W0167	v1	ELRC-4231-NTEU_TierA	v1	45411	4043422	3165	6.96	.07
ELRA-W0167	v1	ELRC-4280-NTEU_TierA	v1	45411	5963160	2964	6.52	.04
ELRA-W0167	v1	JRC-Acquis	v3.0	45411	2127694	2502	5.50	.11
ELRA-W0167	v1	ELRC-4163-NTEU_TierA	v1	45411	6155441	2089	4.60	.03
ELRA-W0167	v1	ELRC-4210-NTEU_TierA	v1	45411	5975576	2052	4.51	.03
ELRA-W0167	v1	ELRC-4158-NTEU_TierA	v1	45411	5962071	1988	4.37	.03
