corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRA-W0189	v1	ELRC-488-Justice_Slovak	v1	2635	2636	2631	99.84	99.81
ELRA-W0189	v1	ELRC-4154-NTEU_TierA	v1	2635	7753851	202	7.66	0
ELRA-W0189	v1	DGT	v2019	2635	3664713	140	5.31	0
ELRA-W0189	v1	JRC-Acquis	v3.0	2635	21661	109	4.13	.50
ELRA-W0189	v1	EUconst	v1	2635	6743	107	4.06	1.58
ELRA-W0189	v1	TildeMODEL	v2018	2635	2133398	89	3.37	0
ELRA-W0189	v1	ELRC-487-Culture_Slovak	v1	2635	2486	65	2.46	2.61
ELRA-W0189	v1	ELRA-W0188	v1	2635	2485	65	2.46	2.61
ELRA-W0189	v1	ParaCrawl	v9	2635	22901691	60	2.27	0
ELRA-W0189	v1	OpenSubtitles	v2018	2635	7267912	54	2.04	0
ELRA-W0189	v1	Europarl	v8	2635	620170	54	2.04	0
ELRA-W0189	v1	ELITR-ECA	v1	2635	252908	53	2.01	.02
ELRA-W0189	v1	EMEA	v3	2635	334130	45	1.70	.01
ELRA-W0189	v1	ECB	v1	2635	121989	41	1.55	.03
ELRA-W0189	v1	CCAligned	v1	2635	6901883	38	1.44	0
ELRA-W0189	v1	ELRC-2880-EU_publications_medi	v1	2635	12920	29	1.10	.22
ELRA-W0189	v1	ELRC-EU_publications	v1	2635	12920	29	1.10	.22
ELRA-W0189	v1	EUbookshop	v2	2635	391461	19	.72	0
ELRA-W0189	v1	XLEnt	v1.1	2635	2448949	16	.60	0
ELRA-W0189	v1	XLEnt	v1.2	2635	2448949	16	.60	0
ELRA-W0189	v1	XLEnt	v1	2635	2448949	16	.60	0
ELRA-W0189	v1	CCMatrix	v1	2635	37874215	13	.49	0
ELRA-W0189	v1	ELRC-2721-EMEA	v1	2635	774311	8	.30	0
ELRA-W0189	v1	ELRC-EMEA	v1	2635	774311	8	.30	0
ELRA-W0189	v1	QED	v2.0a	2635	162438	7	.26	0
ELRA-W0189	v1	KDE4	v2	2635	96030	7	.26	0
ELRA-W0189	v1	ELRC-3570-EUR_LEX_covid	v1	2635	22470	6	.22	.02
ELRA-W0189	v1	ELRC-EUR_LEX	v1	2635	22470	6	.22	.02
ELRA-W0189	v1	ELRC-1073-annual_reports_Slova	v1	2635	6008	3	.11	.04
ELRA-W0189	v1	ELRA-W0137	v1	2635	6007	3	.11	.04
ELRA-W0189	v1	ELRC-1179-EUIPO_2017	v1	2635	16311	2	.07	.01
ELRA-W0189	v1	ELRC-EUIPO_2017	v1	2635	16311	2	.07	.01
ELRA-W0189	v1	TED2020	v1	2635	103550	1	.03	0
ELRA-W0189	v1	NeuLab-TedTalks	v1	2635	65901	1	.03	0
ELRA-W0189	v1	wikimedia	v20210402	2635	9283	1	.03	.01
ELRA-W0189	v1	ELRC-1072-annual_reports_immig	v1	2635	8030	1	.03	.01
ELRA-W0189	v1	ELRA-W0136	v1	2635	8029	1	.03	.01
ELRA-W0189	v1	ELRC-1074-annual_reports_Stati	v1	2635	5608	1	.03	.01
ELRA-W0189	v1	WikiMatrix	v1	2635	178985	0	0	0
ELRA-W0189	v1	bible-uedin	v1	2635	61539	0	0	0
ELRA-W0189	v1	ELRC-5067-SciPar	v1	2635	60468	0	0	0
ELRA-W0189	v1	ELRC-3611-presscorner_covid	v1	2635	6980	0	0	0
ELRA-W0189	v1	ELRC-presscorner_covid	v1	2635	6980	0	0	0
ELRA-W0189	v1	PHP	v1	2635	4342	0	0	0
ELRA-W0189	v1	ELRC_3382	v1	2635	3624	0	0	0
ELRA-W0189	v1	ECDC	v2016-03-16	2635	2429	0	0	0
ELRA-W0189	v1	ELRC-3469-EC_EUROPA_covid	v1	2635	2408	0	0	0
ELRA-W0189	v1	ELRC-EC_EUROPA	v1	2635	2408	0	0	0
ELRA-W0189	v1	OpenSubtitles	v1	2635	2386	0	0	0
ELRA-W0189	v1	Ubuntu	v14.10	2635	2074	0	0	0
ELRA-W0189	v1	ELRC-3209-antibiotic	v1	2635	1009	0	0	0
ELRA-W0189	v1	ELRC-antibiotic	v1	2635	1009	0	0	0
ELRA-W0189	v1	ELRC-3298-EUROPARL_covid	v1	2635	652	0	0	0
ELRA-W0189	v1	ELRC-EUROPARL_covid	v1	2635	652	0	0	0
ELRA-W0189	v1	ELRC-2745-vaccination	v1	2635	510	0	0	0
ELRA-W0189	v1	ELRC-vaccination	v1	2635	510	0	0	0
ELRA-W0189	v1	ELRC_2923	v1	2635	447	0	0	0
ELRA-W0189	v1	GNOME	v1	2635	149	0	0	0
ELRA-W0189	v1	ELRC-3076-wikipedia_health	v1	2635	134	0	0	0
ELRA-W0189	v1	ELRC-wikipedia_health	v1	2635	134	0	0	0
ELRA-W0189	v1	ELRC_2922	v1	2635	133	0	0	0
