corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRA-W0267	v1	ELRC-924-statistical_reports_	v1	11809	11810	11718	99.22	99.22
ELRA-W0267	v1	ELRC-statistical_reports	v1	11809	11810	11718	99.22	99.22
ELRA-W0267	v1	ParaCrawl	v9	11809	9516069	25	.21	0
ELRA-W0267	v1	ParaCrawl	v8	11809	7536844	24	.20	0
ELRA-W0267	v1	CCMatrix	v1	11809	27249324	11	.09	0
ELRA-W0267	v1	NLLB	v1	11809	27248871	11	.09	0
ELRA-W0267	v1	ParaCrawl	v5	11809	1395048	9	.07	0
ELRA-W0267	v1	OpenSubtitles	v2018	11809	16322093	0	0	0
ELRA-W0267	v1	OpenSubtitles	v2016	11809	13659351	0	0	0
ELRA-W0267	v1	MultiCCAligned	v1	11809	4346713	1	0	0
ELRA-W0267	v1	CCAligned	v1	11809	4346640	1	0	0
ELRA-W0267	v1	MultiParaCrawl	v7.1	11809	3737733	1	0	0
ELRA-W0267	v1	ParaCrawl	v7.1	11809	3737732	1	0	0
ELRA-W0267	v1	DGT	v2019	11809	3618655	0	0	0
ELRA-W0267	v1	TildeMODEL	v2018	11809	2019848	0	0	0
ELRA-W0267	v1	DGT	v4	11809	1958354	0	0	0
ELRA-W0267	v1	XLEnt	v1.1	11809	817858	0	0	0
ELRA-W0267	v1	XLEnt	v1	11809	817858	0	0	0
ELRA-W0267	v1	XLEnt	v1.2	11809	817858	0	0	0
ELRA-W0267	v1	ELRC-2727-EMEA	v1	11809	760104	0	0	0
ELRA-W0267	v1	ELRC-EMEA	v1	11809	760104	0	0	0
ELRA-W0267	v1	ParaCrawl	v4	11809	656409	1	0	0
ELRA-W0267	v1	Europarl	v8	11809	604779	0	0	0
ELRA-W0267	v1	Europarl	v7	11809	604395	0	0	0
ELRA-W0267	v1	EUbookshop	v2	11809	340004	0	0	0
ELRA-W0267	v1	EMEA	v3	11809	333756	0	0	0
ELRA-W0267	v1	WikiMatrix	v1	11809	318028	0	0	0
ELRA-W0267	v1	OpenSubtitles	v1	11809	317270	0	0	0
ELRA-W0267	v1	ELRC-5067-SciPar	v1	11809	300017	0	0	0
ELRA-W0267	v1	KDE4	v2	11809	106508	0	0	0
ELRA-W0267	v1	ELITR-ECA	v1	11809	90081	0	0	0
ELRA-W0267	v1	ECB	v1	11809	89567	0	0	0
ELRA-W0267	v1	Wikipedia	v1.0	11809	81374	0	0	0
ELRA-W0267	v1	QED	v2.0a	11809	74807	0	0	0
ELRA-W0267	v1	wikimedia	v20230407	11809	69985	0	0	0
ELRA-W0267	v1	ELRC-490-Secretariat_General_	v1	11809	62951	0	0	0
ELRA-W0267	v1	ELRA-W0191	v1	11809	62950	0	0	0
ELRA-W0267	v1	bible-uedin	v1	11809	61647	0	0	0
ELRA-W0267	v1	ELRC-489-Secretariat_General_	v1	11809	55183	0	0	0
ELRA-W0267	v1	ELRA-W0190	v1	11809	55182	0	0	0
ELRA-W0267	v1	TED2020	v1	11809	43251	0	0	0
ELRA-W0267	v1	JRC-Acquis	v3.0	11809	30983	0	0	0
ELRA-W0267	v1	wikimedia	v20210402	11809	29488	0	0	0
ELRA-W0267	v1	ELRC-3576-EUR_LEX_covid	v1	11809	22372	0	0	0
ELRA-W0267	v1	ELRC-EUR_LEX	v1	11809	22372	0	0	0
ELRA-W0267	v1	NeuLab-TedTalks	v1	11809	22219	0	0	0
ELRA-W0267	v1	ELRC-1180-EUIPO_2017	v1	11809	19765	0	0	0
ELRA-W0267	v1	ELRC-EUIPO_2017	v1	11809	19765	0	0	0
ELRA-W0267	v1	TED2013	v1.1	11809	14855	0	0	0
ELRA-W0267	v1	ELRC-2886-EU_publications_medi	v1	11809	13192	0	0	0
ELRA-W0267	v1	ELRC-EU_publications	v1	11809	13192	0	0	0
ELRA-W0267	v1	ELRC-3617-presscorner_covid	v1	11809	6991	0	0	0
ELRA-W0267	v1	ELRC-presscorner_covid	v1	11809	6991	0	0	0
ELRA-W0267	v1	Ubuntu	v14.10	11809	6911	0	0	0
ELRA-W0267	v1	EUconst	v1	11809	6255	0	0	0
ELRA-W0267	v1	ELRC-923-chapters_Youth_2010	v1	11809	5855	0	0	0
ELRA-W0267	v1	Tatoeba	v2023-04-12	11809	4293	0	0	0
ELRA-W0267	v1	Tatoeba	v2022-03-03	11809	4159	0	0	0
ELRA-W0267	v1	Tatoeba	v2021-07-22	11809	4107	0	0	0
ELRA-W0267	v1	PHP	v1	11809	3742	0	0	0
ELRA-W0267	v1	ELRC_3382	v1	11809	3632	0	0	0
ELRA-W0267	v1	Tatoeba	v2021-03-10	11809	3287	0	0	0
ELRA-W0267	v1	Tatoeba	v2020-11-09	11809	3207	0	0	0
ELRA-W0267	v1	Tatoeba	v2020-05-31	11809	3006	0	0	0
