corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRA-W0297	v1	GlobalVoices	v2015	6445	4581	2344	36.36	51.16
ELRA-W0297	v1	GlobalVoices	v2018q4	6445	5664	2338	36.27	41.27
ELRA-W0297	v1	GlobalVoices	v2017q3	6445	5624	2334	36.21	41.50
ELRA-W0297	v1	HPLT	v2	6445	22725296	1931	29.96	0
ELRA-W0297	v1	ParaCrawl	v8	6445	11927055	924	14.33	0
ELRA-W0297	v1	ParaCrawl	v9	6445	13264298	850	13.18	0
ELRA-W0297	v1	CCMatrix	v1	6445	44333768	844	13.09	0
ELRA-W0297	v1	NLLB	v1	6445	44332999	844	13.09	0
ELRA-W0297	v1	OpenSubtitles	v2018	6445	32563039	34	.52	0
ELRA-W0297	v1	OpenSubtitles	v2016	6445	26838705	32	.49	0
ELRA-W0297	v1	QED	v2.0a	6445	492589	12	.18	0
ELRA-W0297	v1	OpenSubtitles	v1	6445	204640	12	.18	0
ELRA-W0297	v1	MultiCCAligned	v1	6445	10351609	8	.12	0
ELRA-W0297	v1	CCAligned	v1	6445	10351428	8	.12	0
ELRA-W0297	v1	TED2020	v1	6445	243925	5	.07	0
ELRA-W0297	v1	NeuLab-TedTalks	v1	6445	178322	5	.07	0
ELRA-W0297	v1	Europarl	v8	6445	394736	4	.06	0
ELRA-W0297	v1	Europarl	v7	6445	394341	4	.06	0
ELRA-W0297	v1	MultiParaCrawl	v7.1	6445	6470710	3	.04	0
ELRA-W0297	v1	ParaCrawl	v7.1	6445	6470709	3	.04	0
ELRA-W0297	v1	DGT	v2019	6445	2739551	3	.04	0
ELRA-W0297	v1	LinguaTools-WikiTitles	v2014	6445	2444290	3	.04	0
ELRA-W0297	v1	DGT	v4	6445	1077223	3	.04	0
ELRA-W0297	v1	Tatoeba	v2023-04-12	6445	17835	3	.04	.01
ELRA-W0297	v1	Tatoeba	v2022-03-03	6445	17803	3	.04	.01
ELRA-W0297	v1	Tatoeba	v2021-07-22	6445	17800	3	.04	.01
ELRA-W0297	v1	Tatoeba	v2020-11-09	6445	17794	3	.04	.01
ELRA-W0297	v1	Tatoeba	v2021-03-10	6445	17794	3	.04	.01
ELRA-W0297	v1	Tatoeba	v2020-05-31	6445	17753	3	.04	.01
ELRA-W0297	v1	Tatoeba	v20190709	6445	17732	3	.04	.01
ELRA-W0297	v1	XLEnt	v1.1	6445	2394543	2	.03	0
ELRA-W0297	v1	XLEnt	v1.2	6445	2394543	2	.03	0
ELRA-W0297	v1	XLEnt	v1	6445	2394543	2	.03	0
ELRA-W0297	v1	EMEA	v3	6445	328304	2	.03	0
ELRA-W0297	v1	translatewiki	v2025-01-01	6445	23591	2	.03	0
ELRA-W0297	v1	MaCoCu	v2	6445	1760778	1	.01	0
