corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-1076-EUIPO_law	v1	ELRC-EUIPO_law	v1	114632	485617	113969	99.42	23.46
ELRC-1076-EUIPO_law	v1	ELRA-W0138	v1	114632	90058	1431	1.24	1.58
ELRC-1076-EUIPO_law	v1	ELRC-1075-EUIPO_law	v1	114632	90058	1431	1.24	1.58
ELRC-1076-EUIPO_law	v1	ELRC-1077-EUIPO_law	v1	114632	249932	1044	.91	.41
ELRC-1076-EUIPO_law	v1	ELRC-1078-EUIPO_law	v1	114632	35026	763	.66	2.17
ELRC-1076-EUIPO_law	v1	ParaCrawl	v9	114632	877766608	535	.46	0
ELRC-1076-EUIPO_law	v1	giga-fren	v2	114632	20786998	448	.39	0
ELRC-1076-EUIPO_law	v1	CCAligned	v1	114632	405094222	433	.37	0
ELRC-1076-EUIPO_law	v1	ELRC-4248-NTEU_TierA	v1	114632	12854274	358	.31	0
ELRC-1076-EUIPO_law	v1	ELRC-4268-NTEU_TierA	v1	114632	11782507	359	.31	0
ELRC-1076-EUIPO_law	v1	ELRC-4239-NTEU_TierA	v1	114632	11906559	355	.30	0
ELRC-1076-EUIPO_law	v1	ELRC-4270-NTEU_TierA	v1	114632	7252413	335	.29	0
ELRC-1076-EUIPO_law	v1	ELRC-4269-NTEU_TierA	v1	114632	7234848	331	.28	0
ELRC-1076-EUIPO_law	v1	ELRC-4271-NTEU_TierA	v1	114632	7211577	329	.28	0
ELRC-1076-EUIPO_law	v1	ELRC-4154-NTEU_TierA	v1	114632	7119873	329	.28	0
ELRC-1076-EUIPO_law	v1	StanfordNLP-NMT	v1.0	114632	14386355	306	.26	0
ELRC-1076-EUIPO_law	v1	EuroPat	v3	114632	79873063	262	.22	0
ELRC-1076-EUIPO_law	v1	EuroPat	v2	114632	70531170	260	.22	0
ELRC-1076-EUIPO_law	v1	TildeMODEL	v2018	114632	5686357	258	.22	0
ELRC-1076-EUIPO_law	v1	JRC-Acquis	v3.0	114632	1923776	259	.22	.01
ELRC-1076-EUIPO_law	v1	ELRC-4142-NTEU_TierA	v1	114632	2152367	252	.21	.01
ELRC-1076-EUIPO_law	v1	EuroPat	v1	114632	22132306	216	.18	0
