corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-1125-CORDIS_News	v1	ELRC-CORDIS_News	v1	114610	114610	114610	100.00	100.00
ELRC-1125-CORDIS_News	v1	CCMatrix	v1	114610	863648009	22949	20.02	0
ELRC-1125-CORDIS_News	v1	NLLB	v1	114610	861713400	22944	20.01	0
ELRC-1125-CORDIS_News	v1	EUbookshop	v2	114610	6731577	6849	5.97	.10
ELRC-1125-CORDIS_News	v1	MultiParaCrawl	v8	114610	264638796	3110	2.71	0
ELRC-1125-CORDIS_News	v1	ParaCrawl	v8	114610	264638796	3110	2.71	0
ELRC-1125-CORDIS_News	v1	MultiParaCrawl	v9	114610	227109648	2993	2.61	0
ELRC-1125-CORDIS_News	v1	MultiParaCrawl	v9b	114610	227109648	2993	2.61	0
ELRC-1125-CORDIS_News	v1	ParaCrawl	v9	114610	227109648	2993	2.61	0
ELRC-1125-CORDIS_News	v1	MultiCCAligned	v1.1	114610	88133854	557	.48	0
ELRC-1125-CORDIS_News	v1	MultiCCAligned	v1	114610	88133854	557	.48	0
ELRC-1125-CORDIS_News	v1	CCAligned	v1	114610	88133814	557	.48	0
ELRC-1125-CORDIS_News	v1	MultiParaCrawl	v7.1	114610	80995876	528	.46	0
ELRC-1125-CORDIS_News	v1	ParaCrawl	v7.1	114610	80995876	528	.46	0
ELRC-1125-CORDIS_News	v1	ParaCrawl	v1	114610	16494775	347	.30	0
ELRC-1125-CORDIS_News	v1	MultiParaCrawl	v5	114610	38651240	311	.27	0
ELRC-1125-CORDIS_News	v1	ParaCrawl	v5	114610	38651240	311	.27	0
ELRC-1125-CORDIS_News	v1	OpenSubtitles	v2012	114610	33714648	305	.26	0
ELRC-1125-CORDIS_News	v1	OpenSubtitles	v2018	114610	74593385	295	.25	0
ELRC-1125-CORDIS_News	v1	OpenSubtitles	v2016	114610	63725756	285	.24	0
ELRC-1125-CORDIS_News	v1	ParaCrawl	v4	114610	23657111	264	.23	0
ELRC-1125-CORDIS_News	v1	OpenSubtitles	v2013	114610	22788458	274	.23	0
ELRC-1125-CORDIS_News	v1	ELRC-4140-NTEU_TierA	v1	114610	11847174	274	.23	0
ELRC-1125-CORDIS_News	v1	ELRC-4153-NTEU_TierA	v1	114610	9409919	251	.21	0
ELRC-1125-CORDIS_News	v1	ELRC-4168-NTEU_TierA	v1	114610	8944148	250	.21	0
ELRC-1125-CORDIS_News	v1	TildeMODEL	v2018	114610	3824504	235	.20	0
ELRC-1125-CORDIS_News	v1	ELRC-4158-NTEU_TierA	v1	114610	6001855	182	.15	0
ELRC-1125-CORDIS_News	v1	ELRC-4233-NTEU_TierA	v1	114610	5911242	183	.15	0
ELRC-1125-CORDIS_News	v1	ELRC-4255-NTEU_TierA	v1	114610	5518741	182	.15	0
ELRC-1125-CORDIS_News	v1	ELRC-4207-NTEU_TierA	v1	114610	5212322	176	.15	0
ELRC-1125-CORDIS_News	v1	UNPC	v1.0	114610	21411299	169	.14	0
ELRC-1125-CORDIS_News	v1	OpenSubtitles	v1	114610	1397371	114	.09	0
ELRC-1125-CORDIS_News	v1	wikimedia	v20230407	114610	3896792	86	.07	0
ELRC-1125-CORDIS_News	v1	wikimedia	v20210402	114610	2577143	74	.06	0
ELRC-1125-CORDIS_News	v1	DGT	v4	114610	1867954	79	.06	0
ELRC-1125-CORDIS_News	v1	ELRC-4236-NTEU_TierA	v1	114610	1385002	70	.06	0
ELRC-1125-CORDIS_News	v1	ELRC-1126-CORDIS_Results_Brief	v1	114610	242952	76	.06	.03
ELRC-1125-CORDIS_News	v1	ELRC-CORDIS_Results	v1	114610	242952	76	.06	.03
ELRC-1125-CORDIS_News	v1	WikiMatrix	v1	114610	15182653	60	.05	0
