corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-1131-www.visitestonia.com	v1	ELRC-www.visitestonia.com	v1	14240	21337	14240	100.00	66.73
ELRC-1131-www.visitestonia.com	v1	ELRC-4268-NTEU_TierA	v1	14240	11782507	14239	99.99	.12
ELRC-1131-www.visitestonia.com	v1	ParaCrawl	v9	14240	877766608	11151	78.30	0
ELRC-1131-www.visitestonia.com	v1	ELRC-4239-NTEU_TierA	v1	14240	11906559	10855	76.22	.09
ELRC-1131-www.visitestonia.com	v1	ELRC-1128-www.visitestonia.com	v1	14240	14527	10843	76.14	74.64
ELRC-1131-www.visitestonia.com	v1	ELRC-4269-NTEU_TierA	v1	14240	7234848	10537	73.99	.14
ELRC-1131-www.visitestonia.com	v1	ELRC-1130-www.visitestonia.com	v1	14240	13744	10526	73.91	76.58
ELRC-1131-www.visitestonia.com	v1	ELRC-4271-NTEU_TierA	v1	14240	7211577	9405	66.04	.13
ELRC-1131-www.visitestonia.com	v1	ELRC-1129-www.visitestonia.com	v1	14240	13837	9390	65.94	67.86
ELRC-1131-www.visitestonia.com	v1	CCMatrix	v1	14240	1341614085	2400	16.85	0
ELRC-1131-www.visitestonia.com	v1	CCAligned	v1	14240	405094222	1387	9.74	0
ELRC-1131-www.visitestonia.com	v1	XLEnt	v1.1	14240	53628082	393	2.75	0
ELRC-1131-www.visitestonia.com	v1	XLEnt	v1	14240	53628082	393	2.75	0
ELRC-1131-www.visitestonia.com	v1	XLEnt	v1.2	14240	53628082	393	2.75	0
ELRC-1131-www.visitestonia.com	v1	JParaCrawl	v3.0	14240	22179932	99	.69	0
ELRC-1131-www.visitestonia.com	v1	OpenSubtitles	v2018	14240	102548132	76	.53	0
ELRC-1131-www.visitestonia.com	v1	LinguaTools-WikiTitles	v2014	14240	8265652	74	.51	0
ELRC-1131-www.visitestonia.com	v1	StanfordNLP-NMT	v1.0	14240	14386355	69	.48	0
ELRC-1131-www.visitestonia.com	v1	Samanantar	v0.2	14240	16891660	60	.42	0
ELRC-1131-www.visitestonia.com	v1	WikiTitles	v3	14240	2348300	61	.42	0
ELRC-1131-www.visitestonia.com	v1	EUbookshop	v2	14240	46038769	57	.40	0
ELRC-1131-www.visitestonia.com	v1	ELRC-4248-NTEU_TierA	v1	14240	12854274	41	.28	0
ELRC-1131-www.visitestonia.com	v1	ELRC-2410-Portal_oficial_turis	v1	14240	185841	39	.27	.02
ELRC-1131-www.visitestonia.com	v1	UNPC	v1.0	14240	23776005	37	.25	0
ELRC-1131-www.visitestonia.com	v1	giga-fren	v2	14240	20786998	36	.25	0
ELRC-1131-www.visitestonia.com	v1	wikimedia	v20210402	14240	11389460	37	.25	0
ELRC-1131-www.visitestonia.com	v1	ELRC-4270-NTEU_TierA	v1	14240	7252413	36	.25	0
ELRC-1131-www.visitestonia.com	v1	ELRC-4154-NTEU_TierA	v1	14240	7119873	33	.23	0
ELRC-1131-www.visitestonia.com	v1	TildeMODEL	v2018	14240	5686357	33	.23	0
ELRC-1131-www.visitestonia.com	v1	QED	v2.0a	14240	7299297	30	.21	0
ELRC-1131-www.visitestonia.com	v1	WikiMatrix	v1	14240	47707259	27	.18	0
ELRC-1131-www.visitestonia.com	v1	ELRC-4142-NTEU_TierA	v1	14240	2152367	27	.18	0
ELRC-1131-www.visitestonia.com	v1	GoURMET	v1	14240	1541708	23	.16	0
ELRC-1131-www.visitestonia.com	v1	IITB	v2.0	14240	1105433	23	.16	0
ELRC-1131-www.visitestonia.com	v1	ELRC-5214-A_Lexicon_Named	v1	14240	488887	24	.16	0
ELRC-1131-www.visitestonia.com	v1	OpenSubtitles	v1	14240	1598451	17	.11	0
ELRC-1131-www.visitestonia.com	v1	GlobalVoices	v2018q4	14240	1154583	17	.11	0
ELRC-1131-www.visitestonia.com	v1	GlobalVoices	v2017q3	14240	1091521	17	.11	0
ELRC-1131-www.visitestonia.com	v1	GlobalVoices	v2015	14240	954153	17	.11	0
ELRC-1131-www.visitestonia.com	v1	EuroPat	v2	14240	70531170	13	.09	0
ELRC-1131-www.visitestonia.com	v1	JRC-Acquis	v3.0	14240	1923776	14	.09	0
ELRC-1131-www.visitestonia.com	v1	Tatoeba	v2022-03-03	14240	1605560	13	.09	0
ELRC-1131-www.visitestonia.com	v1	Tatoeba	v2021-07-22	14240	1497594	13	.09	0
ELRC-1131-www.visitestonia.com	v1	Tatoeba	v2021-03-10	14240	1470935	13	.09	0
ELRC-1131-www.visitestonia.com	v1	ParIce	v1	14240	1364589	13	.09	0
ELRC-1131-www.visitestonia.com	v1	ELRC-396-Foreign_Affairs_Norw	v1	14240	669717	14	.09	0
ELRC-1131-www.visitestonia.com	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	14240	279832	14	.09	0
ELRC-1131-www.visitestonia.com	v1	ELRC-www.turku.fi	v1	14240	20217	13	.09	.06
ELRC-1131-www.visitestonia.com	v1	EuroPat	v3	14240	79873063	12	.08	0
ELRC-1131-www.visitestonia.com	v1	ELRC-2032-www.turku.fi	v1	14240	17326	12	.08	.06
ELRC-1131-www.visitestonia.com	v1	EuroPat	v1	14240	22132306	10	.07	0
ELRC-1131-www.visitestonia.com	v1	Tatoeba	v2020-11-09	14240	1406533	11	.07	0
ELRC-1131-www.visitestonia.com	v1	Tatoeba	v2020-05-31	14240	1346260	11	.07	0
ELRC-1131-www.visitestonia.com	v1	Tatoeba	v20190709	14240	1212697	11	.07	0
ELRC-1131-www.visitestonia.com	v1	KFTT	v1.0	14240	433311	11	.07	0
ELRC-1131-www.visitestonia.com	v1	wikimedia	v20190628	14240	352711	11	.07	0
ELRC-1131-www.visitestonia.com	v1	KDE4	v2	14240	190475	11	.07	0
ELRC-1131-www.visitestonia.com	v1	SciELO	v1	14240	3061142	9	.06	0
ELRC-1131-www.visitestonia.com	v1	MIZAN	v1	14240	1016854	9	.06	0
ELRC-1131-www.visitestonia.com	v1	Mozilla-I10n	v1	14240	66158	9	.06	.01
ELRC-1131-www.visitestonia.com	v1	ELRA-W0201	v1	14240	35003	9	.06	.02
