corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-1133-www.vtv.fi	v1	ELRC-www.vtv.fi	v1	44890	53418	44890	100.00	84.03
ELRC-1133-www.vtv.fi	v1	ELRC-4239-NTEU_TierA	v1	44890	11906559	33213	73.98	.27
ELRC-1133-www.vtv.fi	v1	ELRC-1127-www.vtv.fi	v1	44890	41560	33032	73.58	79.48
ELRC-1133-www.vtv.fi	v1	ParaCrawl	v9	44890	877766608	1150	2.56	0
ELRC-1133-www.vtv.fi	v1	CCAligned	v1	44890	405094222	1103	2.45	0
ELRC-1133-www.vtv.fi	v1	ELRC-4268-NTEU_TierA	v1	44890	11782507	930	2.07	0
ELRC-1133-www.vtv.fi	v1	ELRC-4270-NTEU_TierA	v1	44890	7252413	812	1.80	.01
ELRC-1133-www.vtv.fi	v1	ELRC-4269-NTEU_TierA	v1	44890	7234848	812	1.80	.01
ELRC-1133-www.vtv.fi	v1	ELRC-4154-NTEU_TierA	v1	44890	7119873	794	1.76	.01
ELRC-1133-www.vtv.fi	v1	ELRC-4248-NTEU_TierA	v1	44890	12854274	716	1.59	0
ELRC-1133-www.vtv.fi	v1	CCMatrix	v1	44890	1341614085	702	1.56	0
ELRC-1133-www.vtv.fi	v1	ELRC-4271-NTEU_TierA	v1	44890	7211577	630	1.40	0
ELRC-1133-www.vtv.fi	v1	TildeMODEL	v2018	44890	5686357	617	1.37	.01
ELRC-1133-www.vtv.fi	v1	ELRC-4142-NTEU_TierA	v1	44890	2152367	530	1.18	.02
ELRC-1133-www.vtv.fi	v1	EUbookshop	v2	44890	46038769	517	1.15	0
ELRC-1133-www.vtv.fi	v1	UNPC	v1.0	44890	23776005	509	1.13	0
ELRC-1133-www.vtv.fi	v1	XLEnt	v1.1	44890	53628082	353	.78	0
ELRC-1133-www.vtv.fi	v1	XLEnt	v1	44890	53628082	353	.78	0
ELRC-1133-www.vtv.fi	v1	EMEA	v3	44890	316149	309	.68	.09
ELRC-1133-www.vtv.fi	v1	ELRA-W0243	v1	44890	12537	305	.67	2.43
ELRC-1133-www.vtv.fi	v1	ELRC-842-Quarterly_Reports_Pa	v1	44890	12537	305	.67	2.43
ELRC-1133-www.vtv.fi	v1	giga-fren	v2	44890	20786998	279	.62	0
ELRC-1133-www.vtv.fi	v1	JRC-Acquis	v3.0	44890	1923776	276	.61	.01
ELRC-1133-www.vtv.fi	v1	ELRC-396-Foreign_Affairs_Norw	v1	44890	669717	255	.56	.03
ELRC-1133-www.vtv.fi	v1	ELRC-411-Bank_Estonia	v1	44890	16387	245	.54	1.49
ELRC-1133-www.vtv.fi	v1	KDE4	v2	44890	190475	229	.51	.12
ELRC-1133-www.vtv.fi	v1	wikimedia	v20210402	44890	11389460	211	.47	0
ELRC-1133-www.vtv.fi	v1	WikiTitles	v3	44890	2348300	203	.45	0
ELRC-1133-www.vtv.fi	v1	ELRC-904-uk.fm.dk	v1	44890	6700	206	.45	3.07
ELRC-1133-www.vtv.fi	v1	memat	v1	44890	145098	200	.44	.13
ELRC-1133-www.vtv.fi	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	44890	279832	194	.43	.06
ELRC-1133-www.vtv.fi	v1	IITB	v2.0	44890	1105433	191	.42	.01
ELRC-1133-www.vtv.fi	v1	OpenSubtitles	v2018	44890	102548132	184	.40	0
ELRC-1133-www.vtv.fi	v1	ELRC-850-www.dst.dk	v1	44890	22760	182	.40	.79
ELRC-1133-www.vtv.fi	v1	ELRC-559-www.npd.no	v1	44890	18283	177	.39	.96
ELRC-1133-www.vtv.fi	v1	ELRC-518-www.regjeringen.no	v1	44890	142770	151	.33	.10
