corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-1241-2017_Activity_Report	v1	CCMatrix	v1	1045	1341614085	56	5.35	0
ELRC-1241-2017_Activity_Report	v1	CCAligned	v1	1045	405094222	45	4.30	0
ELRC-1241-2017_Activity_Report	v1	ParaCrawl	v9	1045	877766608	40	3.82	0
ELRC-1241-2017_Activity_Report	v1	XLEnt	v1	1045	53628082	22	2.10	0
ELRC-1241-2017_Activity_Report	v1	XLEnt	v1.1	1045	53628082	22	2.10	0
ELRC-1241-2017_Activity_Report	v1	XLEnt	v1.2	1045	53628082	22	2.10	0
ELRC-1241-2017_Activity_Report	v1	ELRC-4239-NTEU_TierA	v1	1045	11906559	20	1.91	0
ELRC-1241-2017_Activity_Report	v1	UNPC	v1.0	1045	23776005	19	1.81	0
ELRC-1241-2017_Activity_Report	v1	wikimedia	v20210402	1045	11389460	18	1.72	0
ELRC-1241-2017_Activity_Report	v1	ELRC-4270-NTEU_TierA	v1	1045	7252413	17	1.62	0
ELRC-1241-2017_Activity_Report	v1	ELRC-4269-NTEU_TierA	v1	1045	7234848	17	1.62	0
ELRC-1241-2017_Activity_Report	v1	ELRC-4154-NTEU_TierA	v1	1045	7119873	17	1.62	0
ELRC-1241-2017_Activity_Report	v1	ELRC-4268-NTEU_TierA	v1	1045	11782507	16	1.53	0
ELRC-1241-2017_Activity_Report	v1	LinguaTools-WikiTitles	v2014	1045	8265652	16	1.53	0
ELRC-1241-2017_Activity_Report	v1	EUbookshop	v2	1045	46038769	15	1.43	0
ELRC-1241-2017_Activity_Report	v1	ELRC-4248-NTEU_TierA	v1	1045	12854274	15	1.43	0
ELRC-1241-2017_Activity_Report	v1	TildeMODEL	v2018	1045	5686357	15	1.43	0
ELRC-1241-2017_Activity_Report	v1	WikiTitles	v3	1045	2348300	15	1.43	0
ELRC-1241-2017_Activity_Report	v1	ELRC-4271-NTEU_TierA	v1	1045	7211577	14	1.33	0
ELRC-1241-2017_Activity_Report	v1	giga-fren	v2	1045	20786998	13	1.24	0
ELRC-1241-2017_Activity_Report	v1	StanfordNLP-NMT	v1.0	1045	14386355	13	1.24	0
ELRC-1241-2017_Activity_Report	v1	Samanantar	v0.2	1045	16891660	9	.86	0
ELRC-1241-2017_Activity_Report	v1	ELRC-4142-NTEU_TierA	v1	1045	2152367	9	.86	0
ELRC-1241-2017_Activity_Report	v1	JRC-Acquis	v3.0	1045	1923776	9	.86	0
ELRC-1241-2017_Activity_Report	v1	OpenSubtitles	v2018	1045	102548132	8	.76	0
ELRC-1241-2017_Activity_Report	v1	IITB	v2.0	1045	1105433	8	.76	0
ELRC-1241-2017_Activity_Report	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	1045	279832	8	.76	0
ELRC-1241-2017_Activity_Report	v1	WikiMatrix	v1	1045	47707259	7	.66	0
