corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-1257-government_websites_	v1	ELRC-government_websites	v1	2675	2675	2675	100.00	100.00
ELRC-1257-government_websites_	v1	NLLB	v1	2675	533037982	691	25.83	0
ELRC-1257-government_websites_	v1	CCMatrix	v1	2675	533454428	689	25.75	0
ELRC-1257-government_websites_	v1	MultiParaCrawl	v9	2675	220525299	504	18.84	0
ELRC-1257-government_websites_	v1	MultiParaCrawl	v9b	2675	220525299	504	18.84	0
ELRC-1257-government_websites_	v1	ParaCrawl	v9	2675	220525299	504	18.84	0
ELRC-1257-government_websites_	v1	MultiParaCrawl	v8	2675	181982536	307	11.47	0
ELRC-1257-government_websites_	v1	ParaCrawl	v8	2675	181982536	307	11.47	0
ELRC-1257-government_websites_	v1	MultiParaCrawl	v7.1	2675	79923441	282	10.54	0
ELRC-1257-government_websites_	v1	ParaCrawl	v7.1	2675	79923441	282	10.54	0
ELRC-1257-government_websites_	v1	MultiCCAligned	v1.1	2675	94632804	150	5.60	0
ELRC-1257-government_websites_	v1	MultiCCAligned	v1	2675	94632804	150	5.60	0
ELRC-1257-government_websites_	v1	CCAligned	v1	2675	94632717	150	5.60	0
ELRC-1257-government_websites_	v1	MultiParaCrawl	v5	2675	38590372	148	5.53	0
ELRC-1257-government_websites_	v1	ParaCrawl	v5	2675	38590372	148	5.53	0
ELRC-1257-government_websites_	v1	ParaCrawl	v1	2675	30276960	119	4.44	0
ELRC-1257-government_websites_	v1	ParaCrawl	v4	2675	18478509	101	3.77	0
ELRC-1257-government_websites_	v1	ELRC-4217-NTEU_TierA	v1	2675	13590557	84	3.14	0
ELRC-1257-government_websites_	v1	ELRC-4244-NTEU_TierA	v1	2675	11895609	82	3.06	0
ELRC-1257-government_websites_	v1	ELRC-4258-NTEU_TierA	v1	2675	10898481	82	3.06	0
ELRC-1257-government_websites_	v1	ELRC-4149-NTEU_TierA	v1	2675	6376442	78	2.91	0
ELRC-1257-government_websites_	v1	ELRC-4171-NTEU_TierA	v1	2675	6156952	76	2.84	0
ELRC-1257-government_websites_	v1	ELRC-4240-NTEU_TierA	v1	2675	6832723	75	2.80	0
ELRC-1257-government_websites_	v1	ELRC-4189-NTEU_TierA	v1	2675	6722009	75	2.80	0
ELRC-1257-government_websites_	v1	TildeMODEL	v2018	2675	5010796	69	2.57	0
ELRC-1257-government_websites_	v1	DGT	v4	2675	1830013	55	2.05	0
ELRC-1257-government_websites_	v1	ELRC-4198-NTEU_TierA	v1	2675	1697490	50	1.86	0
ELRC-1257-government_websites_	v1	EUbookshop	v2	2675	13496826	41	1.53	0
ELRC-1257-government_websites_	v1	XLEnt	v1.1	2675	3351823	40	1.49	0
ELRC-1257-government_websites_	v1	XLEnt	v1.2	2675	3351823	40	1.49	0
ELRC-1257-government_websites_	v1	XLEnt	v1	2675	3351823	40	1.49	0
ELRC-1257-government_websites_	v1	LinguaTools-WikiTitles	v2014	2675	2438842	34	1.27	0
ELRC-1257-government_websites_	v1	OpenSubtitles	v2018	2675	21077886	25	.93	0
ELRC-1257-government_websites_	v1	ELRC-2410-Portal_oficial_turis	v1	2675	131791	24	.89	.01
ELRC-1257-government_websites_	v1	OpenSubtitles	v2016	2675	13567334	22	.82	0
ELRC-1257-government_websites_	v1	JRC-Acquis	v3.0	2675	1976740	21	.78	0
ELRC-1257-government_websites_	v1	KDE4	v2	2675	172231	19	.71	.01
ELRC-1257-government_websites_	v1	WikiTitles	v3	2675	1349243	18	.67	0
ELRC-1257-government_websites_	v1	wikimedia	v20230407	2675	822231	16	.59	0
ELRC-1257-government_websites_	v1	OpenSubtitles	v2013	2675	4062476	15	.56	0
ELRC-1257-government_websites_	v1	ELRC-642-Federal_Foreign_Berl	v1	2675	54616	15	.56	.02
ELRC-1257-government_websites_	v1	Mozilla-I10n	v1	2675	49470	15	.56	.03
ELRC-1257-government_websites_	v1	ELRC-2714-EMEA	v1	2675	707631	13	.48	0
ELRC-1257-government_websites_	v1	ELRC-EMEA	v1	2675	707631	13	.48	0
ELRC-1257-government_websites_	v1	QED	v2.0a	2675	683382	13	.48	0
ELRC-1257-government_websites_	v1	ELRC_2682	v1	2675	585574	13	.48	0
ELRC-1257-government_websites_	v1	EMEA	v3	2675	344800	13	.48	0
ELRC-1257-government_websites_	v1	ELRC-German_Foreign	v1	2675	72159	13	.48	.01
ELRC-1257-government_websites_	v1	OpenSubtitles	v2012	2675	4839468	12	.44	0
ELRC-1257-government_websites_	v1	wikimedia	v20210402	2675	456180	12	.44	0
ELRC-1257-government_websites_	v1	ECB	v1	2675	350182	12	.44	0
ELRC-1257-government_websites_	v1	ELRC-1087-German_Foreign_Offic	v1	2675	25366	12	.44	.04
ELRC-1257-government_websites_	v1	WikiMatrix	v1	2675	23733186	11	.41	0
ELRC-1257-government_websites_	v1	StanfordNLP-NMT	v1.0	2675	4760969	11	.41	0
ELRC-1257-government_websites_	v1	ELRC-1945-Italian_legal_termin	v1	2675	30853	10	.37	.03
ELRC-1257-government_websites_	v1	ELRA-W0201	v1	2675	36597	9	.33	.02
ELRC-1257-government_websites_	v1	ELRC-638-Luxembourg.lu	v1	2675	36597	9	.33	.02
ELRC-1257-government_websites_	v1	ELRC-640-Federal_Foreign_Berl	v1	2675	415	9	.33	2.16
ELRC-1257-government_websites_	v1	OpenOffice	v3	2675	48381	8	.29	.01
ELRC-1257-government_websites_	v1	ELRC-1088-German_Foreign_Offic	v1	2675	12629	8	.29	.06
ELRC-1257-government_websites_	v1	ELRC-5179-acts_Ukrainian	v1	2675	126028	7	.26	0
