corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2019-EUIPO_2017	v1	ELRC-EUIPO_2017	v1	17045	31587	17043	99.98	53.95
ELRC-2019-EUIPO_2017	v1	ELRC-2023-EUIPO_2017	v1	17045	17331	16784	98.46	96.84
ELRC-2019-EUIPO_2017	v1	ELRC-2022-EUIPO_2017	v1	17045	17267	16714	98.05	96.79
ELRC-2019-EUIPO_2017	v1	ELRC-2021-EUIPO_2017	v1	17045	17144	16563	97.17	96.61
ELRC-2019-EUIPO_2017	v1	ELRC-2024-EUIPO_2017	v1	17045	17249	16409	96.26	95.13
ELRC-2019-EUIPO_2017	v1	ELRC-2025-EUIPO_2017	v1	17045	17119	16404	96.23	95.82
ELRC-2019-EUIPO_2017	v1	ELRC-2016-EUIPO_2017	v1	17045	16875	16363	95.99	96.96
ELRC-2019-EUIPO_2017	v1	ELRC-2026-EUIPO_2017	v1	17045	16951	16360	95.98	96.51
ELRC-2019-EUIPO_2017	v1	ELRC-2017-EUIPO_2017	v1	17045	16806	16312	95.69	97.06
ELRC-2019-EUIPO_2017	v1	ELRC-2013-EUIPO_2017	v1	17045	17260	16303	95.64	94.45
ELRC-2019-EUIPO_2017	v1	ELRC-2018-EUIPO_2017	v1	17045	17452	16215	95.13	92.91
ELRC-2019-EUIPO_2017	v1	ELRC-2020-EUIPO_2017	v1	17045	17226	16008	93.91	92.92
ELRC-2019-EUIPO_2017	v1	ELRC-2014-EUIPO_2017	v1	17045	17046	15691	92.05	92.05
ELRC-2019-EUIPO_2017	v1	ELRC-2015-EUIPO_2017	v1	17045	16447	15230	89.35	92.60
ELRC-2019-EUIPO_2017	v1	ELRC-2012-EUIPO_2017	v1	17045	15922	15160	88.94	95.21
ELRC-2019-EUIPO_2017	v1	ELRC-4269-NTEU_TierA	v1	17045	7234848	12094	70.95	.16
ELRC-2019-EUIPO_2017	v1	ELRC-4270-NTEU_TierA	v1	17045	7252413	12008	70.44	.16
ELRC-2019-EUIPO_2017	v1	ELRC-4271-NTEU_TierA	v1	17045	7211577	11869	69.63	.16
ELRC-2019-EUIPO_2017	v1	ELRC-4268-NTEU_TierA	v1	17045	11782507	11852	69.53	.10
ELRC-2019-EUIPO_2017	v1	ELRC-4239-NTEU_TierA	v1	17045	11906559	11816	69.32	.09
ELRC-2019-EUIPO_2017	v1	ELRC-4248-NTEU_TierA	v1	17045	12854274	11814	69.31	.09
ELRC-2019-EUIPO_2017	v1	ELRC-1177-EUIPO_2017	v1	17045	20399	7969	46.75	39.06
ELRC-2019-EUIPO_2017	v1	ELRC-1175-EUIPO_2017	v1	17045	20173	7950	46.64	39.40
ELRC-2019-EUIPO_2017	v1	ELRC-1176-EUIPO_2017	v1	17045	19714	7906	46.38	40.10
ELRC-2019-EUIPO_2017	v1	ELRC-1180-EUIPO_2017	v1	17045	19862	7848	46.04	39.51
ELRC-2019-EUIPO_2017	v1	ELRC-4142-NTEU_TierA	v1	17045	2152367	7548	44.28	.35
