corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2023-EUIPO_2017	v1	ELRC-EUIPO_2017	v1	17308	17308	17305	99.98	99.98
ELRC-2023-EUIPO_2017	v1	ELRC-4157-NTEU_TierA	v1	17308	4394633	276	1.59	0
ELRC-2023-EUIPO_2017	v1	ELRC-4181-NTEU_TierA	v1	17308	4438154	274	1.58	0
ELRC-2023-EUIPO_2017	v1	ELRC-4202-NTEU_TierA	v1	17308	4404747	275	1.58	0
ELRC-2023-EUIPO_2017	v1	ELRC-4231-NTEU_TierA	v1	17308	4452419	270	1.55	0
ELRC-2023-EUIPO_2017	v1	ELRC-4224-NTEU_TierA	v1	17308	3944416	268	1.54	0
ELRC-2023-EUIPO_2017	v1	ELRC-4263-NTEU_TierA	v1	17308	4029246	265	1.53	0
ELRC-2023-EUIPO_2017	v1	ELRC-4214-NTEU_TierA	v1	17308	3938526	261	1.50	0
ELRC-2023-EUIPO_2017	v1	ELRC-4192-NTEU_TierA	v1	17308	1468077	230	1.32	.01
ELRC-2023-EUIPO_2017	v1	DGT	v4	17308	1073564	208	1.20	.01
ELRC-2023-EUIPO_2017	v1	TildeMODEL	v2018	17308	2043760	193	1.11	0
ELRC-2023-EUIPO_2017	v1	JRC-Acquis	v3.0	17308	1105317	144	.83	.01
ELRC-2023-EUIPO_2017	v1	MaCoCu	v2	17308	929076	90	.51	0
ELRC-2023-EUIPO_2017	v1	MultiMaCoCu	v2	17308	929076	90	.51	0
ELRC-2023-EUIPO_2017	v1	EUbookshop	v2	17308	353146	82	.47	.02
ELRC-2023-EUIPO_2017	v1	ELRC-5179-acts_Ukrainian	v1	17308	78481	82	.47	.10
ELRC-2023-EUIPO_2017	v1	MultiParaCrawl	v8	17308	1313709	69	.39	0
ELRC-2023-EUIPO_2017	v1	ParaCrawl	v8	17308	1313709	69	.39	0
ELRC-2023-EUIPO_2017	v1	ELRC-2709-EMEA	v1	17308	382291	69	.39	.01
ELRC-2023-EUIPO_2017	v1	ELRC-EMEA	v1	17308	382291	69	.39	.01
ELRC-2023-EUIPO_2017	v1	MultiParaCrawl	v9	17308	1070909	63	.36	0
ELRC-2023-EUIPO_2017	v1	MultiParaCrawl	v9b	17308	1070909	63	.36	0
ELRC-2023-EUIPO_2017	v1	ParaCrawl	v9	17308	1070909	63	.36	0
ELRC-2023-EUIPO_2017	v1	EMEA	v3	17308	293640	57	.32	.01
ELRC-2023-EUIPO_2017	v1	ECB	v1	17308	182723	42	.24	.02
ELRC-2023-EUIPO_2017	v1	HPLT	v1	17308	799126	37	.21	0
ELRC-2023-EUIPO_2017	v1	MultiHPLT	v1	17308	799126	37	.21	0
ELRC-2023-EUIPO_2017	v1	MultiParaCrawl	v7.1	17308	807410	27	.15	0
ELRC-2023-EUIPO_2017	v1	ParaCrawl	v7.1	17308	807410	27	.15	0
ELRC-2023-EUIPO_2017	v1	ELRC-2870-EU_publications_medi	v1	17308	3142	14	.08	.44
ELRC-2023-EUIPO_2017	v1	ELRC-EU_publications	v1	17308	3142	14	.08	.44
ELRC-2023-EUIPO_2017	v1	NLLB	v1	17308	6160050	9	.05	0
ELRC-2023-EUIPO_2017	v1	EUconst	v1	17308	6978	7	.04	.10
ELRC-2023-EUIPO_2017	v1	wikimedia	v20230407	17308	8301	4	.02	.04
ELRC-2023-EUIPO_2017	v1	ParaCrawl	v4	17308	222543	3	.01	0
ELRC-2023-EUIPO_2017	v1	MultiParaCrawl	v5	17308	187344	3	.01	0
ELRC-2023-EUIPO_2017	v1	ParaCrawl	v5	17308	187344	3	.01	0
ELRC-2023-EUIPO_2017	v1	ELRC-3560-EUR_LEX_covid	v1	17308	4751	3	.01	.06
ELRC-2023-EUIPO_2017	v1	ELRC-EUR_LEX	v1	17308	4751	3	.01	.06
ELRC-2023-EUIPO_2017	v1	wikimedia	v20210402	17308	3364	2	.01	.05
ELRC-2023-EUIPO_2017	v1	ECDC	v2016-03-16	17308	2505	3	.01	.11
ELRC-2023-EUIPO_2017	v1	wikimedia	v20190628	17308	1019	2	.01	.19
ELRC-2023-EUIPO_2017	v1	Mozilla-I10n	v1	17308	707	2	.01	.28
ELRC-2023-EUIPO_2017	v1	ELRC-3459-EC_EUROPA_covid	v1	17308	543	3	.01	.55
ELRC-2023-EUIPO_2017	v1	ELRC-EC_EUROPA	v1	17308	543	3	.01	.55
ELRC-2023-EUIPO_2017	v1	DGT	v2019	17308	216	3	.01	1.38
ELRC-2023-EUIPO_2017	v1	QED	v2.0a	17308	20776	0	0	0
ELRC-2023-EUIPO_2017	v1	ELITR-ECA	v1	17308	9664	0	0	0
ELRC-2023-EUIPO_2017	v1	ELRA-W0234	v1	17308	7590	0	0	0
ELRC-2023-EUIPO_2017	v1	ELRA-W0233	v1	17308	3211	0	0	0
ELRC-2023-EUIPO_2017	v1	ELRC-807-Malta_Government_Gaz	v1	17308	3211	0	0	0
ELRC-2023-EUIPO_2017	v1	ELRC-presscorner_covid	v1	17308	1690	0	0	0
ELRC-2023-EUIPO_2017	v1	ELRC_3382	v1	17308	872	0	0	0
ELRC-2023-EUIPO_2017	v1	ELRC-2746-vaccination	v1	17308	413	0	0	0
ELRC-2023-EUIPO_2017	v1	ELRC-vaccination	v1	17308	413	0	0	0
ELRC-2023-EUIPO_2017	v1	Tatoeba	v2023-04-12	17308	412	0	0	0
ELRC-2023-EUIPO_2017	v1	ELRC-3197-antibiotic	v1	17308	355	1	0	.28
ELRC-2023-EUIPO_2017	v1	ELRC-antibiotic	v1	17308	355	1	0	.28
ELRC-2023-EUIPO_2017	v1	Ubuntu	v14.10	17308	335	1	0	.29
ELRC-2023-EUIPO_2017	v1	Tatoeba	v2022-03-03	17308	217	0	0	0
ELRC-2023-EUIPO_2017	v1	Tatoeba	v2020-11-09	17308	211	0	0	0
ELRC-2023-EUIPO_2017	v1	Tatoeba	v2021-03-10	17308	211	0	0	0
