corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2452-Tuairisc_a_thug	v1	ELRC-2458-Tarmaocht_agus_aistr	v1	152	324	152	100.00	46.91
ELRC-2452-Tuairisc_a_thug	v1	MultiParaCrawl	v9	152	2767612	46	30.26	0
ELRC-2452-Tuairisc_a_thug	v1	MultiParaCrawl	v9b	152	2767612	46	30.26	0
ELRC-2452-Tuairisc_a_thug	v1	ParaCrawl	v9	152	2767612	46	30.26	0
ELRC-2452-Tuairisc_a_thug	v1	MultiParaCrawl	v7.1	152	2333929	45	29.60	0
ELRC-2452-Tuairisc_a_thug	v1	ParaCrawl	v7.1	152	2333929	45	29.60	0
ELRC-2452-Tuairisc_a_thug	v1	MultiParaCrawl	v5	152	785536	39	25.65	0
ELRC-2452-Tuairisc_a_thug	v1	ParaCrawl	v5	152	785536	39	25.65	0
ELRC-2452-Tuairisc_a_thug	v1	MultiParaCrawl	v8	152	1613548	23	15.13	0
ELRC-2452-Tuairisc_a_thug	v1	ParaCrawl	v8	152	1613548	23	15.13	0
ELRC-2452-Tuairisc_a_thug	v1	ParaCrawl	v4	152	357070	2	1.31	0
ELRC-2452-Tuairisc_a_thug	v1	HPLT	v1	152	949862	1	.65	0
ELRC-2452-Tuairisc_a_thug	v1	MultiHPLT	v1	152	949862	1	.65	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-2442-_Chonradh_Ginearlta	v1	152	7586	1	.65	.01
ELRC-2452-Tuairisc_a_thug	v1	ELRC-2420-Press_Releases_Depar	v1	152	478	1	.65	.20
ELRC-2452-Tuairisc_a_thug	v1	ELRC-Press_Releases	v1	152	478	1	.65	.20
ELRC-2452-Tuairisc_a_thug	v1	NLLB	v1	152	7616151	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-4145-NTEU_TierA	v1	152	274155	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-4167-NTEU_TierA	v1	152	263541	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-4160-NTEU_TierA	v1	152	263212	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-4228-NTEU_TierA	v1	152	242953	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-4251-NTEU_TierA	v1	152	241900	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-4164-NTEU_TierA	v1	152	238957	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-4213-NTEU_TierA	v1	152	236526	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-4242-NTEU_TierA	v1	152	169063	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	EUbookshop	v2	152	116775	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-5179-acts_Ukrainian	v1	152	90319	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	KDE4	v2	152	80497	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRA-W0223	v1	152	66577	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-781-Gaois_legislation	v1	152	66577	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	XLEnt	v1.1	152	50823	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	XLEnt	v1	152	50823	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	XLEnt	v1.2	152	50823	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	DGT	v4	152	38292	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	wikimedia	v20230407	152	32428	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	CCMatrix	v1	152	30874	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	QED	v2.0a	152	20960	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	wikimedia	v20210402	152	17982	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-5060-A_mix_annual	v1	152	7283	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	EUconst	v1	152	6815	0	0	0
ELRC-2452-Tuairisc_a_thug	v1	ELRC-2438-www.citizensinformat	v1	152	6648	0	0	0
