corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2452-Tuairisc_a_thug	v1	324	152	152	46.91	100.00
ELRC-2458-Tarmaocht_agus_aistr	v1	MultiParaCrawl	v7.1	324	2333929	66	20.37	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ParaCrawl	v7.1	324	2333929	66	20.37	0
ELRC-2458-Tarmaocht_agus_aistr	v1	MultiParaCrawl	v9	324	2767612	65	20.06	0
ELRC-2458-Tarmaocht_agus_aistr	v1	MultiParaCrawl	v9b	324	2767612	65	20.06	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ParaCrawl	v9	324	2767612	65	20.06	0
ELRC-2458-Tarmaocht_agus_aistr	v1	MultiParaCrawl	v5	324	785536	55	16.97	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ParaCrawl	v5	324	785536	55	16.97	0
ELRC-2458-Tarmaocht_agus_aistr	v1	MultiParaCrawl	v8	324	1613548	37	11.41	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ParaCrawl	v8	324	1613548	37	11.41	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2451-Pleananna_ITBC_le	v1	324	13	13	4.01	100.00
ELRC-2458-Tarmaocht_agus_aistr	v1	HPLT	v1	324	949862	10	3.08	0
ELRC-2458-Tarmaocht_agus_aistr	v1	MultiHPLT	v1	324	949862	10	3.08	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ParaCrawl	v4	324	357070	8	2.46	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5144-Iarracht_ar_Threoir	v1	324	168	8	2.46	4.76
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2414-Tuarasclaca_Bliantla	v1	324	3354	7	2.16	.20
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2442-_Chonradh_Ginearlta	v1	324	7586	6	1.85	.07
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-4145-NTEU_TierA	v1	324	274155	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-4167-NTEU_TierA	v1	324	263541	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-4160-NTEU_TierA	v1	324	263212	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-4228-NTEU_TierA	v1	324	242953	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-4251-NTEU_TierA	v1	324	241900	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-4164-NTEU_TierA	v1	324	238957	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-4213-NTEU_TierA	v1	324	236526	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-4242-NTEU_TierA	v1	324	169063	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5179-acts_Ukrainian	v1	324	90319	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	KDE4	v2	324	80497	5	1.54	0
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5060-A_mix_annual	v1	324	7283	5	1.54	.06
ELRC-2458-Tarmaocht_agus_aistr	v1	EUconst	v1	324	6815	5	1.54	.07
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2497-Tuarascil_Bhliantil_	v1	324	2809	5	1.54	.17
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRA-W0230	v1	324	1975	5	1.54	.25
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-801-Coimisineir_Teanga_R	v1	324	1975	5	1.54	.25
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5136-Tuarasclacha_Bliantl	v1	324	1430	5	1.54	.34
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-805-Udras_na_Gaeltachta	v1	324	1367	5	1.54	.36
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2559-government_websites_	v1	324	1142	5	1.54	.43
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-government_websites	v1	324	1142	5	1.54	.43
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2439-Ritis_Airgeadais_Oll	v1	324	733	5	1.54	.68
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5124-Government_Ireland_P	v1	324	614	5	1.54	.81
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5126-IRC_Early_Career	v1	324	554	5	1.54	.90
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2469-Ritis_Airgeadais_Oif	v1	324	533	5	1.54	.93
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5145-Roinn_an_Dl	v1	324	493	5	1.54	1.01
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5125-IRC_Conditions_award	v1	324	456	5	1.54	1.09
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5139-Bileog_do_Phlean	v1	324	36	5	1.54	13.88
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2465-Faisnis_faoi_IDS	v1	324	32	5	1.54	15.62
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2441-_Chonradh_don	v1	324	2043	4	1.23	.19
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5149-Tuarascil_Bhliantil_	v1	324	1168	4	1.23	.34
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2466-Leabhrn_dAonad_Altra	v1	324	247	4	1.23	1.61
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-5135-Preasritis__Choliste	v1	324	186	4	1.23	2.15
ELRC-2458-Tarmaocht_agus_aistr	v1	wikimedia	v20230407	324	32428	3	.92	0
ELRC-2458-Tarmaocht_agus_aistr	v1	wikimedia	v20210402	324	17982	3	.92	.01
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-2506-Programme_Government	v1	324	1256	3	.92	.23
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRA-W0224	v1	324	1077	2	.61	.18
ELRC-2458-Tarmaocht_agus_aistr	v1	ELRC-784-Coimisineir_Teanga_R	v1	324	1077	2	.61	.18
