corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2464-Foirm_FSS_Iarratais	v1	ParaCrawl	v9	11	3245616	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	MultiParaCrawl	v7.1	11	2694761	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	ParaCrawl	v8	11	1995660	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	HPLT	v1.1	11	994747	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	HPLT	v1	11	994747	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	MultiHPLT	v1.1	11	994747	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	XLEnt	v1.1	11	170416	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	XLEnt	v1	11	170416	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	XLEnt	v1.2	11	170416	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	ELRC-781-Gaois_legislation	v1	11	68272	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	wikimedia	v20230407	11	19361	1	9.09	0
ELRC-2464-Foirm_FSS_Iarratais	v1	wikimedia	v20210402	11	9931	1	9.09	.01
ELRC-2464-Foirm_FSS_Iarratais	v1	ELRC-2442-_Chonradh_Ginearlta	v1	11	7563	1	9.09	.01
ELRC-2464-Foirm_FSS_Iarratais	v1	ELRC-2438-www.citizensinformat	v1	11	6690	1	9.09	.01
ELRC-2464-Foirm_FSS_Iarratais	v1	ELRC-5060-A_mix_annual	v1	11	6588	1	9.09	.01
ELRC-2464-Foirm_FSS_Iarratais	v1	ELRC-2443-LithrenGrasinOG	v1	11	3684	1	9.09	.02
ELRC-2464-Foirm_FSS_Iarratais	v1	ELRC-2414-Tuarasclaca_Bliantla	v1	11	2954	1	9.09	.03
ELRC-2464-Foirm_FSS_Iarratais	v1	ELRC-2497-Tuarascil_Bhliantil_	v1	11	2645	1	9.09	.03
ELRC-2464-Foirm_FSS_Iarratais	v1	ELRC-801-Coimisineir_Teanga_R	v1	11	2103	1	9.09	.04
ELRC-2464-Foirm_FSS_Iarratais	v1	ELRC-2441-_Chonradh_don	v1	11	1998	1	9.09	.05
ELRC-2464-Foirm_FSS_Iarratais	v1	Tatoeba	v2023-04-12	11	1993	1	9.09	.05
ELRC-2464-Foirm_FSS_Iarratais	v1	Tatoeba	v2022-03-03	11	1974	1	9.09	.05
ELRC-2464-Foirm_FSS_Iarratais	v1	Tatoeba	v2021-07-22	11	1941	1	9.09	.05
ELRC-2464-Foirm_FSS_Iarratais	v1	Tatoeba	v2021-03-10	11	1934	1	9.09	.05
ELRC-2464-Foirm_FSS_Iarratais	v1	Tatoeba	v2020-11-09	11	1923	1	9.09	.05
