corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2468-Oifig_Ombudsman_irin	v1	MultiParaCrawl	v7.1	281	2333929	9	3.20	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ParaCrawl	v7.1	281	2333929	9	3.20	0
ELRC-2468-Oifig_Ombudsman_irin	v1	MultiParaCrawl	v9	281	2767612	7	2.49	0
ELRC-2468-Oifig_Ombudsman_irin	v1	MultiParaCrawl	v9b	281	2767612	7	2.49	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ParaCrawl	v9	281	2767612	7	2.49	0
ELRC-2468-Oifig_Ombudsman_irin	v1	MultiParaCrawl	v8	281	1613548	5	1.77	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ParaCrawl	v8	281	1613548	5	1.77	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-5086-Intellectual_Propert	v1	281	1300	3	1.06	.23
ELRC-2468-Oifig_Ombudsman_irin	v1	MultiParaCrawl	v5	281	785536	2	.71	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ParaCrawl	v5	281	785536	2	.71	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-2467-Preasritis_Oifig_an	v1	281	118	2	.71	1.69
ELRC-2468-Oifig_Ombudsman_irin	v1	NLLB	v1	281	7616151	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	HPLT	v1	281	949862	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	MultiHPLT	v1	281	949862	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-4145-NTEU_TierA	v1	281	274155	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-4167-NTEU_TierA	v1	281	263541	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-4160-NTEU_TierA	v1	281	263212	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-4228-NTEU_TierA	v1	281	242953	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-4164-NTEU_TierA	v1	281	238957	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-4213-NTEU_TierA	v1	281	236526	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	EUbookshop	v2	281	116775	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	XLEnt	v1.1	281	50823	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	XLEnt	v1.2	281	50823	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	XLEnt	v1	281	50823	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	CCMatrix	v1	281	30874	1	.35	0
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-5060-A_mix_annual	v1	281	7283	1	.35	.01
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-2441-_Chonradh_don	v1	281	2043	1	.35	.04
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRA-W0230	v1	281	1975	1	.35	.05
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRC-801-Coimisineir_Teanga_R	v1	281	1975	1	.35	.05
ELRC-2468-Oifig_Ombudsman_irin	v1	ELRA-W0224	v1	281	1077	1	.35	.09
