corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2481-Constituio_da_Repbli	v1	CCMatrix	v1	2	341802613	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	NLLB	v1	2	341230483	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	MultiParaCrawl	v8	2	85374905	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ParaCrawl	v8	2	85374905	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	MultiParaCrawl	v9	2	81712132	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	MultiParaCrawl	v9b	2	81712132	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ParaCrawl	v9	2	81712132	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	MultiCCAligned	v1.1	2	54679959	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	MultiCCAligned	v1	2	54679959	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	CCAligned	v1	2	54679929	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	OpenSubtitles	v2018	2	39284521	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	MultiParaCrawl	v7.1	2	39257674	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ParaCrawl	v7.1	2	39257674	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	OpenSubtitles	v2016	2	29541858	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	MultiParaCrawl	v5	2	22004783	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ParaCrawl	v5	2	22004783	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ParaCrawl	v4	2	12842958	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-4238-NTEU_TierA	v1	2	12497652	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	WikiMatrix	v1	2	11591297	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	OpenSubtitles	v2012	2	10571066	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	OpenSubtitles	v2013	2	9810748	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-4205-NTEU_TierA	v1	2	9413424	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-4272-NTEU_TierA	v1	2	8972931	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	EUbookshop	v2	2	8655670	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ParaCrawl	v1	2	8109947	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-4210-NTEU_TierA	v1	2	6094931	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-4177-NTEU_TierA	v1	2	6025063	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-4139-NTEU_TierA	v1	2	5654872	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-4191-NTEU_TierA	v1	2	5361896	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	XLEnt	v1.1	2	4941805	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	XLEnt	v1.2	2	4941805	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	XLEnt	v1	2	4941805	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	TildeMODEL	v2018	2	3958091	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Europarl	v8	2	2062568	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Europarl	v7	2	2062238	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	JRC-Acquis	v3.0	2	2021579	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	DGT	v4	2	1893963	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	LinguaTools-WikiTitles	v2014	2	1683454	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-4174-NTEU_TierA	v1	2	1370571	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Europarl	v3	2	1367344	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Wikipedia	v1.0	2	1067797	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	wikimedia	v20230407	2	1000664	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Tatoeba	v2023-04-12	2	820741	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Tatoeba	v2022-03-03	2	786736	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	QED	v2.0a	2	773141	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Tatoeba	v2021-03-10	2	766261	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Tatoeba	v2021-07-22	2	761125	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Tatoeba	v2020-11-09	2	756382	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-2710-EMEA	v1	2	742096	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-EMEA	v1	2	742096	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Tatoeba	v2020-05-31	2	738622	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Tatoeba	v20190709	2	708047	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	wikimedia	v20210402	2	630503	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	TED2020	v1	2	394583	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ECB	v1	2	358738	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	EMEA	v3	2	338823	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-1123-CORDIS_Results_Brief	v1	2	253268	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	ELRC-CORDIS_Results	v1	2	253268	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	NeuLab-TedTalks	v1	2	239715	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	KDE4	v2	2	177694	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	Tatoeba	v2	2	170202	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	TED2013	v1.1	2	157738	0	0	0
ELRC-2481-Constituio_da_Repbli	v1	GlobalVoices	v2018q4	2	145225	0	0	0
