corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2622-Arquitectura_2007	v1	ELRC-Arquitectura_2007	v1	136	137	136	100.00	99.27
ELRC-2622-Arquitectura_2007	v1	ELRC-2624-Arquitectura_2007_Pa	v1	136	134	133	97.79	99.25
ELRC-2622-Arquitectura_2007	v1	MultiCCAligned	v1.1	136	101926155	5	3.67	0
ELRC-2622-Arquitectura_2007	v1	MultiCCAligned	v1	136	101926155	5	3.67	0
ELRC-2622-Arquitectura_2007	v1	CCAligned	v1	136	101926052	5	3.67	0
ELRC-2622-Arquitectura_2007	v1	MultiParaCrawl	v7.1	136	101636585	4	2.94	0
ELRC-2622-Arquitectura_2007	v1	ParaCrawl	v7.1	136	101636585	4	2.94	0
ELRC-2622-Arquitectura_2007	v1	LinguaTools-WikiTitles	v2014	136	2711542	4	2.94	0
ELRC-2622-Arquitectura_2007	v1	MultiParaCrawl	v9	136	186898673	3	2.20	0
ELRC-2622-Arquitectura_2007	v1	MultiParaCrawl	v9b	136	186898673	3	2.20	0
ELRC-2622-Arquitectura_2007	v1	ParaCrawl	v9	136	186898673	3	2.20	0
ELRC-2622-Arquitectura_2007	v1	XLEnt	v1.1	136	6739865	3	2.20	0
ELRC-2622-Arquitectura_2007	v1	XLEnt	v1	136	6739865	3	2.20	0
ELRC-2622-Arquitectura_2007	v1	XLEnt	v1.2	136	6739865	3	2.20	0
ELRC-2622-Arquitectura_2007	v1	NLLB	v1	136	863493883	2	1.47	0
ELRC-2622-Arquitectura_2007	v1	CCMatrix	v1	136	792640935	2	1.47	0
ELRC-2622-Arquitectura_2007	v1	MultiParaCrawl	v8	136	198896388	2	1.47	0
ELRC-2622-Arquitectura_2007	v1	ParaCrawl	v8	136	198896388	2	1.47	0
ELRC-2622-Arquitectura_2007	v1	ELRC-Artigos_visitportuga	v1	136	1495	2	1.47	.13
ELRC-2622-Arquitectura_2007	v1	ELRC-2612-Artigos_visitportuga	v1	136	1471	2	1.47	.13
ELRC-2622-Arquitectura_2007	v1	ELRC-2613-Artigos_visitportuga	v1	136	1444	2	1.47	.13
ELRC-2622-Arquitectura_2007	v1	UNPC	v1.0	136	24315174	1	.73	0
ELRC-2622-Arquitectura_2007	v1	WikiTitles	v3	136	895181	1	.73	0
ELRC-2622-Arquitectura_2007	v1	MultiParaCrawl	v5	136	52467121	0	0	0
ELRC-2622-Arquitectura_2007	v1	ParaCrawl	v5	136	52467121	0	0	0
ELRC-2622-Arquitectura_2007	v1	OpenSubtitles	v2018	136	41690960	0	0	0
ELRC-2622-Arquitectura_2007	v1	OpenSubtitles	v2016	136	35807625	0	0	0
ELRC-2622-Arquitectura_2007	v1	ParaCrawl	v4	136	34954922	0	0	0
ELRC-2622-Arquitectura_2007	v1	ParaCrawl	v1	136	27231791	0	0	0
ELRC-2622-Arquitectura_2007	v1	giga-fren	v2	136	21217380	0	0	0
ELRC-2622-Arquitectura_2007	v1	WikiMatrix	v1	136	18782574	0	0	0
ELRC-2622-Arquitectura_2007	v1	OpenSubtitles	v2012	136	17459729	0	0	0
ELRC-2622-Arquitectura_2007	v1	OpenSubtitles	v2013	136	17425839	0	0	0
ELRC-2622-Arquitectura_2007	v1	EUbookshop	v2	136	13739191	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-4144-NTEU_TierA	v1	136	12338382	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-4159-NTEU_TierA	v1	136	11608197	0	0	0
ELRC-2622-Arquitectura_2007	v1	EuroPat	v2	136	11477658	0	0	0
ELRC-2622-Arquitectura_2007	v1	MultiUN	v1	136	11157095	0	0	0
ELRC-2622-Arquitectura_2007	v1	EuroPat	v3	136	10704065	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-4166-NTEU_TierA	v1	136	9417613	0	0	0
ELRC-2622-Arquitectura_2007	v1	EuroPat	v1	136	8928690	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-4227-NTEU_TierA	v1	136	7353069	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-4250-NTEU_TierA	v1	136	7037388	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-4212-NTEU_TierA	v1	136	6896775	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-4163-NTEU_TierA	v1	136	6215201	0	0	0
ELRC-2622-Arquitectura_2007	v1	TildeMODEL	v2018	136	5564073	0	0	0
ELRC-2622-Arquitectura_2007	v1	wikimedia	v20230407	136	2675498	0	0	0
ELRC-2622-Arquitectura_2007	v1	MBS	v1	136	2272724	0	0	0
ELRC-2622-Arquitectura_2007	v1	Europarl	v8	136	2179151	0	0	0
ELRC-2622-Arquitectura_2007	v1	Europarl	v7	136	2178831	0	0	0
ELRC-2622-Arquitectura_2007	v1	JRC-Acquis	v3.0	136	1939809	0	0	0
ELRC-2622-Arquitectura_2007	v1	DGT	v4	136	1879060	0	0	0
ELRC-2622-Arquitectura_2007	v1	wikimedia	v20210402	136	1748488	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-4241-NTEU_TierA	v1	136	1660511	0	0	0
ELRC-2622-Arquitectura_2007	v1	Europarl	v3	136	1444487	0	0	0
ELRC-2622-Arquitectura_2007	v1	QED	v2.0a	136	1260820	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-5067-SciPar	v1	136	1126592	0	0	0
ELRC-2622-Arquitectura_2007	v1	Wikipedia	v1.0	136	830552	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-2720-EMEA	v1	136	725611	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-EMEA	v1	136	725611	0	0	0
ELRC-2622-Arquitectura_2007	v1	EhuHac	v1	136	601476	0	0	0
ELRC-2622-Arquitectura_2007	v1	Tatoeba	v2023-04-12	136	553671	0	0	0
ELRC-2622-Arquitectura_2007	v1	OpenSubtitles	v1	136	534233	0	0	0
ELRC-2622-Arquitectura_2007	v1	Tatoeba	v2022-03-03	136	508456	0	0	0
ELRC-2622-Arquitectura_2007	v1	Tatoeba	v2021-03-10	136	468676	0	0	0
ELRC-2622-Arquitectura_2007	v1	GlobalVoices	v2018q4	136	456827	0	0	0
ELRC-2622-Arquitectura_2007	v1	Tatoeba	v2020-11-09	136	452313	0	0	0
ELRC-2622-Arquitectura_2007	v1	Tatoeba	v2021-07-22	136	444159	0	0	0
ELRC-2622-Arquitectura_2007	v1	TED2020	v1	136	436827	0	0	0
ELRC-2622-Arquitectura_2007	v1	Tatoeba	v2020-05-31	136	435336	0	0	0
ELRC-2622-Arquitectura_2007	v1	News-Commentary	v16	136	428421	0	0	0
ELRC-2622-Arquitectura_2007	v1	GlobalVoices	v2017q3	136	415897	0	0	0
ELRC-2622-Arquitectura_2007	v1	Tatoeba	v20190709	136	394392	0	0	0
ELRC-2622-Arquitectura_2007	v1	News-Commentary	v14	136	375189	0	0	0
ELRC-2622-Arquitectura_2007	v1	GlobalVoices	v2015	136	363982	0	0	0
ELRC-2622-Arquitectura_2007	v1	EMEA	v3	136	343391	0	0	0
ELRC-2622-Arquitectura_2007	v1	ECB	v1	136	340685	0	0	0
ELRC-2622-Arquitectura_2007	v1	News-Commentary	v11	136	268382	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-1122-CORDIS_Results_Brief	v1	136	259815	0	0	0
ELRC-2622-Arquitectura_2007	v1	ELRC-CORDIS_Results	v1	136	259815	0	0	0
ELRC-2622-Arquitectura_2007	v1	News-Commentary	v9.0	136	248304	0	0	0
ELRC-2622-Arquitectura_2007	v1	News-Commentary	v9.1	136	248304	0	0	0
ELRC-2622-Arquitectura_2007	v1	NeuLab-TedTalks	v1	136	234632	0	0	0
ELRC-2622-Arquitectura_2007	v1	Tatoeba	v2	136	224130	0	0	0
ELRC-2622-Arquitectura_2007	v1	KDE4	v2	136	166768	0	0	0
ELRC-2622-Arquitectura_2007	v1	Books	v1	136	161785	0	0	0
ELRC-2622-Arquitectura_2007	v1	TED2013	v1.1	136	158608	0	0	0
