corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2638-monumentos_2007	v1	ParaCrawl	v9	5	216646825	1	20.00	0
ELRC-2638-monumentos_2007	v1	LinguaTools-WikiTitles	v2014	5	17012832	1	20.00	0
ELRC-2638-monumentos_2007	v1	CCAligned	v1	5	15398414	1	20.00	0
ELRC-2638-monumentos_2007	v1	EuroPat	v2	5	12081951	1	20.00	0
ELRC-2638-monumentos_2007	v1	EuroPat	v3	5	11098711	1	20.00	0
ELRC-2638-monumentos_2007	v1	XLEnt	v1.1	5	7689402	1	20.00	0
ELRC-2638-monumentos_2007	v1	XLEnt	v1.2	5	7689402	1	20.00	0
ELRC-2638-monumentos_2007	v1	XLEnt	v1	5	7689402	1	20.00	0
ELRC-2638-monumentos_2007	v1	WikiMatrix	v1	5	2757879	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-5067-SciPar	v1	5	1123122	1	20.00	0
ELRC-2638-monumentos_2007	v1	wikimedia	v20210402	5	908826	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-2720-EMEA	v1	5	764730	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-EMEA	v1	5	764730	1	20.00	0
ELRC-2638-monumentos_2007	v1	TED2020	v1	5	399799	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELITR-ECA	v1	5	373483	1	20.00	0
ELRC-2638-monumentos_2007	v1	Tatoeba	v2022-03-03	5	268076	1	20.00	0
ELRC-2638-monumentos_2007	v1	Tatoeba	v2021-07-22	5	264344	1	20.00	0
ELRC-2638-monumentos_2007	v1	Tatoeba	v2021-03-10	5	262539	1	20.00	0
ELRC-2638-monumentos_2007	v1	Tatoeba	v2020-11-09	5	261643	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-1122-CORDIS_Results_Brief	v1	5	259749	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-CORDIS_Results	v1	5	259749	1	20.00	0
ELRC-2638-monumentos_2007	v1	NeuLab-TedTalks	v1	5	207424	1	20.00	0
ELRC-2638-monumentos_2007	v1	GlobalVoices	v2018q4	5	183156	1	20.00	0
ELRC-2638-monumentos_2007	v1	News-Commentary	v14	5	151418	1	20.00	0
ELRC-2638-monumentos_2007	v1	News-Commentary	v16	5	151418	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-1118-CORDIS_News	v1	5	132413	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-CORDIS_News	v1	5	132413	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-1075-EUIPO_law	v1	5	70827	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-EUIPO_law	v1	5	70827	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-638-Luxembourg.lu	v1	5	36226	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-1100-EUIPO_list	v1	5	31627	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-EUIPO_list	v1	5	31627	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-3569-EUR_LEX_covid	v1	5	23762	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-EUR_LEX	v1	5	23762	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-2018-EUIPO_2017	v1	5	17444	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-EUIPO_2017	v1	5	17444	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-2879-EU_publications_medi	v1	5	13128	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-EU_publications	v1	5	13128	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-4329-PRINCIPLE_MVEP_legal	v1	5	11542	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-3610-presscorner_covid	v1	5	11315	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-presscorner_covid	v1	5	11315	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-816-ANR_containing_major	v1	5	10821	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-637-SIP	v1	5	10087	1	20.00	0
ELRC-2638-monumentos_2007	v1	ELRC-3074-wikipedia_health	v1	5	4366	1	20.00	.02
ELRC-2638-monumentos_2007	v1	ELRC-wikipedia_health	v1	5	4366	1	20.00	.02
ELRC-2638-monumentos_2007	v1	ELRC-2481-Constituio_da_Repbli	v1	5	3055	1	20.00	.03
ELRC-2638-monumentos_2007	v1	ELRC-3468-EC_EUROPA_covid	v1	5	2636	1	20.00	.03
ELRC-2638-monumentos_2007	v1	ELRC-EC_EUROPA	v1	5	2636	1	20.00	.03
ELRC-2638-monumentos_2007	v1	ECDC	v2016-03-16	5	2466	1	20.00	.04
ELRC-2638-monumentos_2007	v1	ELRC-422-Portuguese_legislati	v1	5	2465	1	20.00	.04
ELRC-2638-monumentos_2007	v1	ELRC-Portuguese_legislati	v1	5	2465	1	20.00	.04
ELRC-2638-monumentos_2007	v1	ELRC-2614-Localidades_2007	v1	5	1399	1	20.00	.07
ELRC-2638-monumentos_2007	v1	ELRC-Localidades_2007	v1	5	1399	1	20.00	.07
ELRC-2638-monumentos_2007	v1	ELRC-Swedish_Labour	v1	5	1245	1	20.00	.08
ELRC-2638-monumentos_2007	v1	ELRC-2612-Artigos_visitportuga	v1	5	1231	1	20.00	.08
ELRC-2638-monumentos_2007	v1	ELRC-Artigos_visitportuga	v1	5	1231	1	20.00	.08
ELRC-2638-monumentos_2007	v1	ELRC-3208-antibiotic	v1	5	1070	1	20.00	.09
ELRC-2638-monumentos_2007	v1	ELRC-antibiotic	v1	5	1070	1	20.00	.09
ELRC-2638-monumentos_2007	v1	ELRC-837-Legal	v1	5	985	1	20.00	.10
ELRC-2638-monumentos_2007	v1	ELRC-2616-Museus_2007	v1	5	817	1	20.00	.12
ELRC-2638-monumentos_2007	v1	ELRC-Museus_2007	v1	5	817	1	20.00	.12
ELRC-2638-monumentos_2007	v1	ELRC-3297-EUROPARL_covid	v1	5	788	1	20.00	.12
ELRC-2638-monumentos_2007	v1	ELRC-EUROPARL_covid	v1	5	788	1	20.00	.12
ELRC-2638-monumentos_2007	v1	ELRC-401-Swedish_Labour_Part2	v1	5	686	1	20.00	.14
ELRC-2638-monumentos_2007	v1	ELRC-2410-Portal_oficial_turis	v1	5	667	1	20.00	.14
ELRC-2638-monumentos_2007	v1	ELRC-406-Swedish_Labour_Part1	v1	5	604	1	20.00	.16
ELRC-2638-monumentos_2007	v1	ELRC-436-Swedish_Food	v1	5	589	1	20.00	.16
ELRC-2638-monumentos_2007	v1	ELRC-2641-Praias_2007	v1	5	581	1	20.00	.17
ELRC-2638-monumentos_2007	v1	ELRC-Praias_2007	v1	5	581	1	20.00	.17
ELRC-2638-monumentos_2007	v1	ELRC-2732-vaccination	v1	5	512	1	20.00	.19
ELRC-2638-monumentos_2007	v1	ELRC-vaccination	v1	5	512	1	20.00	.19
ELRC-2638-monumentos_2007	v1	ELRC-2480-Estatuto_dos_Deputad	v1	5	446	1	20.00	.22
ELRC-2638-monumentos_2007	v1	ELRC-844-PAeSI__Administratio	v1	5	313	1	20.00	.31
ELRC-2638-monumentos_2007	v1	ELRC-646-International_Judici	v1	5	222	1	20.00	.45
ELRC-2638-monumentos_2007	v1	ELRC-745-Convention_against_T	v1	5	189	1	20.00	.52
ELRC-2638-monumentos_2007	v1	ELRC-416-Swedish_Social_Secur	v1	5	181	1	20.00	.55
ELRC-2638-monumentos_2007	v1	ELRC-2639-Parques_e_reservas	v1	5	132	1	20.00	.75
ELRC-2638-monumentos_2007	v1	ELRC-Parques_e	v1	5	132	1	20.00	.75
ELRC-2638-monumentos_2007	v1	ELRC-2622-Arquitectura_2007	v1	5	111	1	20.00	.90
ELRC-2638-monumentos_2007	v1	ELRC-Arquitectura_2007	v1	5	111	1	20.00	.90
ELRC-2638-monumentos_2007	v1	ELRC-3852-Development_Funds_Re	v1	5	94	1	20.00	1.06
ELRC-2638-monumentos_2007	v1	ELRC-648-Letter_rights_person	v1	5	87	1	20.00	1.14
ELRC-2638-monumentos_2007	v1	ELRC-2623-Patrimnio_Aores_2006	v1	5	63	1	20.00	1.58
ELRC-2638-monumentos_2007	v1	ELRC-Patrimnio_Aores	v1	5	63	1	20.00	1.58
