corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2710-EMEA	v1	ELRC-EMEA	v1	742096	742096	742074	99.99	99.99
ELRC-2710-EMEA	v1	TildeMODEL	v2018	742096	3958091	211549	28.50	5.34
ELRC-2710-EMEA	v1	CCMatrix	v1	742096	341802613	156947	21.14	.04
ELRC-2710-EMEA	v1	NLLB	v1	742096	341230483	156929	21.14	.04
ELRC-2710-EMEA	v1	EMEA	v3	742096	338823	53852	7.25	15.89
ELRC-2710-EMEA	v1	MultiCCAligned	v1.1	742096	54679959	50951	6.86	.09
ELRC-2710-EMEA	v1	MultiCCAligned	v1	742096	54679959	50951	6.86	.09
ELRC-2710-EMEA	v1	CCAligned	v1	742096	54679929	50951	6.86	.09
ELRC-2710-EMEA	v1	MultiParaCrawl	v8	742096	85374905	23315	3.14	.02
ELRC-2710-EMEA	v1	ParaCrawl	v8	742096	85374905	23315	3.14	.02
ELRC-2710-EMEA	v1	MultiParaCrawl	v9	742096	81712132	17926	2.41	.02
ELRC-2710-EMEA	v1	MultiParaCrawl	v9b	742096	81712132	17926	2.41	.02
ELRC-2710-EMEA	v1	ParaCrawl	v9	742096	81712132	17926	2.41	.02
ELRC-2710-EMEA	v1	ELRC-4238-NTEU_TierA	v1	742096	12497652	16078	2.16	.12
ELRC-2710-EMEA	v1	ELRC-4272-NTEU_TierA	v1	742096	8972931	16038	2.16	.17
ELRC-2710-EMEA	v1	ELRC-4205-NTEU_TierA	v1	742096	9413424	15947	2.14	.16
ELRC-2710-EMEA	v1	ELRC-4210-NTEU_TierA	v1	742096	6094931	15697	2.11	.25
ELRC-2710-EMEA	v1	ELRC-4139-NTEU_TierA	v1	742096	5654872	15672	2.11	.27
ELRC-2710-EMEA	v1	ELRC-4191-NTEU_TierA	v1	742096	5361896	15719	2.11	.29
ELRC-2710-EMEA	v1	ELRC-4177-NTEU_TierA	v1	742096	6025063	15591	2.10	.25
ELRC-2710-EMEA	v1	MultiParaCrawl	v7.1	742096	39257674	9213	1.24	.02
ELRC-2710-EMEA	v1	ParaCrawl	v7.1	742096	39257674	9213	1.24	.02
ELRC-2710-EMEA	v1	LinguaTools-WikiTitles	v2014	742096	1683454	2252	.30	.13
ELRC-2710-EMEA	v1	ParaCrawl	v1	742096	8109947	1700	.22	.02
ELRC-2710-EMEA	v1	DGT	v4	742096	1893963	1643	.22	.08
ELRC-2710-EMEA	v1	XLEnt	v1.1	742096	4941805	1591	.21	.03
ELRC-2710-EMEA	v1	XLEnt	v1.2	742096	4941805	1591	.21	.03
ELRC-2710-EMEA	v1	XLEnt	v1	742096	4941805	1591	.21	.03
ELRC-2710-EMEA	v1	ELRC-4174-NTEU_TierA	v1	742096	1370571	1433	.19	.10
ELRC-2710-EMEA	v1	JRC-Acquis	v3.0	742096	2021579	1081	.14	.05
ELRC-2710-EMEA	v1	EUbookshop	v2	742096	8655670	1035	.13	.01
ELRC-2710-EMEA	v1	OpenSubtitles	v2018	742096	39284521	957	.12	0
ELRC-2710-EMEA	v1	MultiParaCrawl	v5	742096	22004783	912	.12	0
ELRC-2710-EMEA	v1	ParaCrawl	v5	742096	22004783	912	.12	0
ELRC-2710-EMEA	v1	OpenSubtitles	v2016	742096	29541858	843	.11	0
ELRC-2710-EMEA	v1	ParaCrawl	v4	742096	12842958	720	.09	0
ELRC-2710-EMEA	v1	KDE4	v2	742096	177694	546	.07	.30
ELRC-2710-EMEA	v1	OpenSubtitles	v2012	742096	10571066	513	.06	0
ELRC-2710-EMEA	v1	OpenSubtitles	v2013	742096	9810748	472	.06	0
ELRC-2710-EMEA	v1	wikimedia	v20230407	742096	1000664	475	.06	.04
ELRC-2710-EMEA	v1	wikimedia	v20210402	742096	630503	403	.05	.06
ELRC-2710-EMEA	v1	Mozilla-I10n	v1	742096	51062	384	.05	.75
ELRC-2710-EMEA	v1	ECB	v1	742096	358738	323	.04	.09
ELRC-2710-EMEA	v1	ELRC-5179-acts_Ukrainian	v1	742096	127255	322	.04	.25
ELRC-2710-EMEA	v1	ELRC-2410-Portal_oficial_turis	v1	742096	129413	257	.03	.19
ELRC-2710-EMEA	v1	WikiMatrix	v1	742096	11591297	150	.02	0
ELRC-2710-EMEA	v1	QED	v2.0a	742096	773141	171	.02	.02
ELRC-2710-EMEA	v1	Europarl	v8	742096	2062568	86	.01	0
ELRC-2710-EMEA	v1	Europarl	v7	742096	2062238	85	.01	0
ELRC-2710-EMEA	v1	Europarl	v3	742096	1367344	77	.01	0
ELRC-2710-EMEA	v1	ELRC-EUIPO_list	v1	742096	54018	98	.01	.18
