corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2716-EMEA	v1	ELRC-EMEA	v1	690532	806234	690509	99.99	85.64
ELRC-2716-EMEA	v1	ELRC_2682	v1	690532	779183	690531	99.99	88.62
ELRC-2716-EMEA	v1	ELRC-2722-EMEA	v1	690532	701635	654300	94.75	93.25
ELRC-2716-EMEA	v1	ELRC-2710-EMEA	v1	690532	699854	651958	94.41	93.15
ELRC-2716-EMEA	v1	ELRC-2724-EMEA	v1	690532	698758	651412	94.33	93.22
ELRC-2716-EMEA	v1	ELRC-2725-EMEA	v1	690532	691471	650628	94.22	94.09
ELRC-2716-EMEA	v1	ELRC-2720-EMEA	v1	690532	696997	650022	94.13	93.26
ELRC-2716-EMEA	v1	ELRC-2714-EMEA	v1	690532	689853	643710	93.21	93.31
ELRC-2716-EMEA	v1	ELRC-2707-EMEA	v1	690532	685365	643583	93.20	93.90
ELRC-2716-EMEA	v1	ELRC-2713-EMEA	v1	690532	688615	642046	92.97	93.23
ELRC-2716-EMEA	v1	ELRC-2723-EMEA	v1	690532	684988	639625	92.62	93.37
ELRC-2716-EMEA	v1	ELRC-2729-EMEA	v1	690532	688511	638083	92.40	92.67
ELRC-2716-EMEA	v1	ELRC-2708-EMEA	v1	690532	679647	637559	92.32	93.80
ELRC-2716-EMEA	v1	ELRC-2711-EMEA	v1	690532	686300	637087	92.26	92.82
ELRC-2716-EMEA	v1	ELRC-2721-EMEA	v1	690532	693450	635206	91.98	91.60
ELRC-2716-EMEA	v1	ELRC-2727-EMEA	v1	690532	680290	634512	91.88	93.27
ELRC-2716-EMEA	v1	ELRC-2715-EMEA	v1	690532	682522	634095	91.82	92.90
ELRC-2716-EMEA	v1	ELRC-2728-EMEA	v1	690532	680926	631954	91.51	92.80
ELRC-2716-EMEA	v1	ELRC-2726-EMEA	v1	690532	672813	626981	90.79	93.18
ELRC-2716-EMEA	v1	ELRC-2712-EMEA	v1	690532	679015	625846	90.63	92.16
ELRC-2716-EMEA	v1	ELRC-2717-EMEA	v1	690532	670422	619558	89.72	92.41
ELRC-2716-EMEA	v1	ELRC-2706-EMEA	v1	690532	577401	537970	77.90	93.17
ELRC-2716-EMEA	v1	ELRC-2719-EMEA	v1	690532	516124	484469	70.15	93.86
ELRC-2716-EMEA	v1	ELRC-2718-EMEA	v1	690532	484237	447414	64.79	92.39
ELRC-2716-EMEA	v1	ELRC-2709-EMEA	v1	690532	360888	325683	47.16	90.24
ELRC-2716-EMEA	v1	TildeMODEL	v2018	690532	5686357	272057	39.39	4.78
