corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2747-vaccination	v1	ELRC-vaccination	v1	454	515	454	100.00	88.15
ELRC-2747-vaccination	v1	ELRC-2740-vaccination	v1	454	499	452	99.55	90.58
ELRC-2747-vaccination	v1	ELRC-2733-vaccination	v1	454	499	450	99.11	90.18
ELRC-2747-vaccination	v1	ELRC-2741-vaccination	v1	454	492	449	98.89	91.26
ELRC-2747-vaccination	v1	ELRC-2738-vaccination	v1	454	478	449	98.89	93.93
ELRC-2747-vaccination	v1	ELRC-2744-vaccination	v1	454	485	447	98.45	92.16
ELRC-2747-vaccination	v1	ELRC-2736-vaccination	v1	454	477	447	98.45	93.71
ELRC-2747-vaccination	v1	ELRC-2749-vaccination	v1	454	491	446	98.23	90.83
ELRC-2747-vaccination	v1	ELRC-2735-vaccination	v1	454	483	446	98.23	92.33
ELRC-2747-vaccination	v1	ELRC-2732-vaccination	v1	454	482	445	98.01	92.32
ELRC-2747-vaccination	v1	ELRC-2753-vaccination	v1	454	480	445	98.01	92.70
ELRC-2747-vaccination	v1	ELRC-2734-vaccination	v1	454	483	443	97.57	91.71
ELRC-2747-vaccination	v1	ELRC-2745-vaccination	v1	454	489	442	97.35	90.38
ELRC-2747-vaccination	v1	ELRC-2752-vaccination	v1	454	479	442	97.35	92.27
ELRC-2747-vaccination	v1	ELRC-2743-vaccination	v1	454	474	440	96.91	92.82
ELRC-2747-vaccination	v1	ELRC-2737-vaccination	v1	454	477	439	96.69	92.03
ELRC-2747-vaccination	v1	ELRC-2750-vaccination	v1	454	478	438	96.47	91.63
ELRC-2747-vaccination	v1	ELRC-2742-vaccination	v1	454	472	434	95.59	91.94
ELRC-2747-vaccination	v1	ELRC-2751-vaccination	v1	454	451	421	92.73	93.34
ELRC-2747-vaccination	v1	ELRC-2754-vaccination	v1	454	440	410	90.30	93.18
ELRC-2747-vaccination	v1	ELRC-2739-vaccination	v1	454	443	408	89.86	92.09
ELRC-2747-vaccination	v1	ELRC-2746-vaccination	v1	454	409	367	80.83	89.73
ELRC-2747-vaccination	v1	ELRC-2748-vaccination	v1	454	279	245	53.96	87.81
ELRC-2747-vaccination	v1	ParaCrawl	v9	454	877766608	44	9.69	0
ELRC-2747-vaccination	v1	CCMatrix	v1	454	1341614085	41	9.03	0
ELRC-2747-vaccination	v1	CCAligned	v1	454	405094222	30	6.60	0
ELRC-2747-vaccination	v1	giga-fren	v2	454	20786998	7	1.54	0
ELRC-2747-vaccination	v1	ELRC-EMEA	v1	454	806234	6	1.32	0
ELRC-2747-vaccination	v1	ELRC_2682	v1	454	779183	6	1.32	0
ELRC-2747-vaccination	v1	ELRC-2725-EMEA	v1	454	691471	6	1.32	0
ELRC-2747-vaccination	v1	ELRC-2715-EMEA	v1	454	682522	6	1.32	0
ELRC-2747-vaccination	v1	Samanantar	v0.2	454	16891660	5	1.10	0
ELRC-2747-vaccination	v1	StanfordNLP-NMT	v1.0	454	14386355	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-4248-NTEU_TierA	v1	454	12854274	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2722-EMEA	v1	454	701635	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2724-EMEA	v1	454	698758	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2720-EMEA	v1	454	696997	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2721-EMEA	v1	454	693450	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2716-EMEA	v1	454	690532	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2714-EMEA	v1	454	689853	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2729-EMEA	v1	454	688511	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2711-EMEA	v1	454	686300	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2707-EMEA	v1	454	685365	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2723-EMEA	v1	454	684988	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2728-EMEA	v1	454	680926	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2727-EMEA	v1	454	680290	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2708-EMEA	v1	454	679647	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2712-EMEA	v1	454	679015	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2726-EMEA	v1	454	672813	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2717-EMEA	v1	454	670422	5	1.10	0
ELRC-2747-vaccination	v1	ELRC-2706-EMEA	v1	454	577401	5	1.10	0
ELRC-2747-vaccination	v1	EUbookshop	v2	454	46038769	4	.88	0
ELRC-2747-vaccination	v1	ELRC-4239-NTEU_TierA	v1	454	11906559	4	.88	0
ELRC-2747-vaccination	v1	ELRC-4268-NTEU_TierA	v1	454	11782507	4	.88	0
ELRC-2747-vaccination	v1	wikimedia	v20210402	454	11389460	4	.88	0
ELRC-2747-vaccination	v1	ELRC-4270-NTEU_TierA	v1	454	7252413	4	.88	0
ELRC-2747-vaccination	v1	ELRC-4269-NTEU_TierA	v1	454	7234848	4	.88	0
ELRC-2747-vaccination	v1	ELRC-4154-NTEU_TierA	v1	454	7119873	4	.88	0
ELRC-2747-vaccination	v1	TildeMODEL	v2018	454	5686357	4	.88	0
ELRC-2747-vaccination	v1	ELRC-4142-NTEU_TierA	v1	454	2152367	4	.88	0
ELRC-2747-vaccination	v1	ELRC-2713-EMEA	v1	454	688615	4	.88	0
