corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-2872-EU_publications_medi	v1	ELRC-EU_publications	v1	13025	13908	13025	100.00	93.65
ELRC-2872-EU_publications_medi	v1	ELRC-2868-EU_publications_medi	v1	13025	13131	12748	97.87	97.08
ELRC-2872-EU_publications_medi	v1	ELRC-2886-EU_publications_medi	v1	13025	13143	12732	97.75	96.87
ELRC-2872-EU_publications_medi	v1	ELRC-2877-EU_publications_medi	v1	13025	13088	12718	97.64	97.17
ELRC-2872-EU_publications_medi	v1	ELRC-2874-EU_publications_medi	v1	13025	13047	12684	97.38	97.21
ELRC-2872-EU_publications_medi	v1	ELRC-2881-EU_publications_medi	v1	13025	13057	12657	97.17	96.93
ELRC-2872-EU_publications_medi	v1	ELRC-2875-EU_publications_medi	v1	13025	13192	12656	97.16	95.93
ELRC-2872-EU_publications_medi	v1	ELRC-2883-EU_publications_medi	v1	13025	13031	12646	97.09	97.04
ELRC-2872-EU_publications_medi	v1	ELRC-2871-EU_publications_medi	v1	13025	13018	12636	97.01	97.06
ELRC-2872-EU_publications_medi	v1	ELRC-2887-EU_publications_medi	v1	13025	12971	12618	96.87	97.27
ELRC-2872-EU_publications_medi	v1	ELRC-2884-EU_publications_medi	v1	13025	12960	12602	96.75	97.23
ELRC-2872-EU_publications_medi	v1	ELRC-2882-EU_publications_medi	v1	13025	12944	12596	96.70	97.31
ELRC-2872-EU_publications_medi	v1	ELRC-2873-EU_publications_medi	v1	13025	12936	12585	96.62	97.28
ELRC-2872-EU_publications_medi	v1	ELRC-2879-EU_publications_medi	v1	13025	13125	12568	96.49	95.75
ELRC-2872-EU_publications_medi	v1	ELRC-2869-EU_publications_medi	v1	13025	12873	12535	96.23	97.37
ELRC-2872-EU_publications_medi	v1	ELRC-2880-EU_publications_medi	v1	13025	12872	12528	96.18	97.32
ELRC-2872-EU_publications_medi	v1	ELRC-2876-EU_publications_medi	v1	13025	12841	12527	96.17	97.55
ELRC-2872-EU_publications_medi	v1	ELRC-2888-EU_publications_medi	v1	13025	12793	12516	96.09	97.83
ELRC-2872-EU_publications_medi	v1	ELRC-2866-EU_publications_medi	v1	13025	12721	12426	95.40	97.68
ELRC-2872-EU_publications_medi	v1	ELRC-2885-EU_publications_medi	v1	13025	12742	12407	95.25	97.37
ELRC-2872-EU_publications_medi	v1	ELRC-2878-EU_publications_medi	v1	13025	12485	12174	93.46	97.50
ELRC-2872-EU_publications_medi	v1	ELRC-2870-EU_publications_medi	v1	13025	3045	2893	22.21	95.00
ELRC-2872-EU_publications_medi	v1	CCMatrix	v1	13025	1341614085	1951	14.97	0
ELRC-2872-EU_publications_medi	v1	ELRC-EUR_LEX	v1	13025	24126	1813	13.91	7.51
ELRC-2872-EU_publications_medi	v1	ELRC-3562-EUR_LEX_covid	v1	13025	22588	1802	13.83	7.97
ELRC-2872-EU_publications_medi	v1	ELRC-3569-EUR_LEX_covid	v1	13025	23348	1784	13.69	7.64
ELRC-2872-EU_publications_medi	v1	ELRC-3563-EUR_LEX_covid	v1	13025	22524	1775	13.62	7.88
ELRC-2872-EU_publications_medi	v1	ELRC-3571-EUR_LEX_covid	v1	13025	22605	1769	13.58	7.82
ELRC-2872-EU_publications_medi	v1	ELRC-3577-EUR_LEX_covid	v1	13025	22601	1763	13.53	7.80
ELRC-2872-EU_publications_medi	v1	ELRC-3565-EUR_LEX_covid	v1	13025	22863	1762	13.52	7.70
ELRC-2872-EU_publications_medi	v1	ELRC-3574-EUR_LEX_covid	v1	13025	22077	1759	13.50	7.96
ELRC-2872-EU_publications_medi	v1	ELRC-3576-EUR_LEX_covid	v1	13025	22249	1757	13.48	7.89
