corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3058-wikipedia_health	v1	ELRC_2922	v1	1878	37769	1878	100.00	4.97
ELRC-3058-wikipedia_health	v1	ELRC-wikipedia_health	v1	1878	37707	1878	100.00	4.98
ELRC-3058-wikipedia_health	v1	ELRC-3083-wikipedia_health	v1	1878	15108	850	45.26	5.62
ELRC-3058-wikipedia_health	v1	WikiMatrix	v1	1878	47707259	741	39.45	0
ELRC-3058-wikipedia_health	v1	CCMatrix	v1	1878	1341614085	669	35.62	0
ELRC-3058-wikipedia_health	v1	ELRC-3080-wikipedia_health	v1	1878	7324	577	30.72	7.87
ELRC-3058-wikipedia_health	v1	ELRC-3078-wikipedia_health	v1	1878	1986	555	29.55	27.94
ELRC-3058-wikipedia_health	v1	ELRC-3074-wikipedia_health	v1	1878	4356	434	23.10	9.96
ELRC-3058-wikipedia_health	v1	ELRC-3049-wikipedia_health	v1	1878	2689	428	22.79	15.91
ELRC-3058-wikipedia_health	v1	ELRC-3077-wikipedia_health	v1	1878	5123	403	21.45	7.86
ELRC-3058-wikipedia_health	v1	Samanantar	v0.2	1878	16891660	361	19.22	0
ELRC-3058-wikipedia_health	v1	ELRC-3086-wikipedia_health	v1	1878	4262	340	18.10	7.97
ELRC-3058-wikipedia_health	v1	ELRC-3041-wikipedia_health	v1	1878	745	339	18.05	45.50
ELRC-3058-wikipedia_health	v1	ELRC-3054-wikipedia_health	v1	1878	3206	336	17.89	10.48
ELRC-3058-wikipedia_health	v1	ELRC-3087-wikipedia_health	v1	1878	693	318	16.93	45.88
ELRC-3058-wikipedia_health	v1	ELRC-3053-wikipedia_health	v1	1878	961	311	16.56	32.36
ELRC-3058-wikipedia_health	v1	ELRC-3073-wikipedia_health	v1	1878	613	310	16.50	50.57
ELRC-3058-wikipedia_health	v1	ELRC-3060-wikipedia_health	v1	1878	632	299	15.92	47.31
ELRC-3058-wikipedia_health	v1	ELRC-3085-wikipedia_health	v1	1878	964	297	15.81	30.80
ELRC-3058-wikipedia_health	v1	ParaCrawl	v9	1878	877766608	294	15.65	0
ELRC-3058-wikipedia_health	v1	ELRC-3075-wikipedia_health	v1	1878	4090	257	13.68	6.28
ELRC-3058-wikipedia_health	v1	ELRC-3043-wikipedia_health	v1	1878	2737	254	13.52	9.28
ELRC-3058-wikipedia_health	v1	Wikipedia	v1.0	1878	7646905	229	12.19	0
ELRC-3058-wikipedia_health	v1	ELRC-3066-wikipedia_health	v1	1878	524	197	10.48	37.59
ELRC-3058-wikipedia_health	v1	ELRC-3082-wikipedia_health	v1	1878	535	195	10.38	36.44
ELRC-3058-wikipedia_health	v1	ELRC-3040-wikipedia_health	v1	1878	1538	182	9.69	11.83
ELRC-3058-wikipedia_health	v1	ELRC-3062-wikipedia_health	v1	1878	1147	182	9.69	15.86
ELRC-3058-wikipedia_health	v1	wikimedia	v20210402	1878	11389460	169	8.99	0
ELRC-3058-wikipedia_health	v1	ELRC-3067-wikipedia_health	v1	1878	362	158	8.41	43.64
ELRC-3058-wikipedia_health	v1	ELRC-3057-wikipedia_health	v1	1878	2358	150	7.98	6.36
ELRC-3058-wikipedia_health	v1	ELRC-3050-wikipedia_health	v1	1878	750	135	7.18	18.00
ELRC-3058-wikipedia_health	v1	ELRC-3088-wikipedia_health	v1	1878	1960	131	6.97	6.68
ELRC-3058-wikipedia_health	v1	ELRC-3084-wikipedia_health	v1	1878	693	131	6.97	18.90
ELRC-3058-wikipedia_health	v1	ELRC-3064-wikipedia_health	v1	1878	401	121	6.44	30.17
ELRC-3058-wikipedia_health	v1	ELRC-3065-wikipedia_health	v1	1878	3150	112	5.96	3.55
ELRC-3058-wikipedia_health	v1	ELRC-3070-wikipedia_health	v1	1878	1648	105	5.59	6.37
ELRC-3058-wikipedia_health	v1	ELRC-3039-wikipedia_health	v1	1878	406	101	5.37	24.87
ELRC-3058-wikipedia_health	v1	ELRC-3071-wikipedia_health	v1	1878	687	99	5.27	14.41
ELRC-3058-wikipedia_health	v1	ELRC-3042-wikipedia_health	v1	1878	318	93	4.95	29.24
ELRC-3058-wikipedia_health	v1	ELRC-3044-wikipedia_health	v1	1878	931	69	3.67	7.41
ELRC-3058-wikipedia_health	v1	ELRC-3063-wikipedia_health	v1	1878	2106	61	3.24	2.89
ELRC-3058-wikipedia_health	v1	ELRC-3061-wikipedia_health	v1	1878	246	49	2.60	19.91
ELRC-3058-wikipedia_health	v1	ELRC-3055-wikipedia_health	v1	1878	371	43	2.28	11.59
ELRC-3058-wikipedia_health	v1	ELRC-3037-wikipedia_health	v1	1878	149	43	2.28	28.85
ELRC-3058-wikipedia_health	v1	CCAligned	v1	1878	405094222	38	2.02	0
ELRC-3058-wikipedia_health	v1	ELRC-3052-wikipedia_health	v1	1878	386	38	2.02	9.84
ELRC-3058-wikipedia_health	v1	ELRC-3045-wikipedia_health	v1	1878	336	31	1.65	9.22
ELRC-3058-wikipedia_health	v1	ELRC-3079-wikipedia_health	v1	1878	276	31	1.65	11.23
ELRC-3058-wikipedia_health	v1	ELRC-3076-wikipedia_health	v1	1878	133	30	1.59	22.55
ELRC-3058-wikipedia_health	v1	ELRC-3089-wikipedia_health	v1	1878	142	29	1.54	20.42
ELRC-3058-wikipedia_health	v1	ELRC-3072-wikipedia_health	v1	1878	454	27	1.43	5.94
ELRC-3058-wikipedia_health	v1	ELRC-3069-wikipedia_health	v1	1878	136	23	1.22	16.91
ELRC-3058-wikipedia_health	v1	ELRC-3047-wikipedia_health	v1	1878	205	22	1.17	10.73
ELRC-3058-wikipedia_health	v1	ELRC-3068-wikipedia_health	v1	1878	217	19	1.01	8.75
ELRC-3058-wikipedia_health	v1	ELRC-3048-wikipedia_health	v1	1878	237	17	.90	7.17
ELRC-3058-wikipedia_health	v1	tico-19	v2020-10-28	1878	3344	14	.74	.41
