corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3063-wikipedia_health	v1	ELRC_2922	v1	2054	2054	2054	100.00	100.00
ELRC-3063-wikipedia_health	v1	ELRC-wikipedia_health	v1	2054	2054	2054	100.00	100.00
ELRC-3063-wikipedia_health	v1	WikiMatrix	v1	2054	23734871	235	11.44	0
ELRC-3063-wikipedia_health	v1	CCMatrix	v1	2054	534914327	83	4.04	0
ELRC-3063-wikipedia_health	v1	MultiParaCrawl	v9	2054	220731737	55	2.67	0
ELRC-3063-wikipedia_health	v1	MultiParaCrawl	v9b	2054	220731737	55	2.67	0
ELRC-3063-wikipedia_health	v1	ParaCrawl	v9	2054	220731737	55	2.67	0
ELRC-3063-wikipedia_health	v1	MultiParaCrawl	v8	2054	182106158	50	2.43	0
ELRC-3063-wikipedia_health	v1	wikimedia	v20210402	2054	456248	46	2.23	.01
ELRC-3063-wikipedia_health	v1	Wikipedia	v1.0	2054	2478076	38	1.85	0
ELRC-3063-wikipedia_health	v1	MultiCCAligned	v1.1	2054	94952359	14	.68	0
ELRC-3063-wikipedia_health	v1	CCAligned	v1	2054	94952271	14	.68	0
ELRC-3063-wikipedia_health	v1	ELRC-4217-NTEU_TierA	v1	2054	13752401	10	.48	0
ELRC-3063-wikipedia_health	v1	ELRC-4258-NTEU_TierA	v1	2054	11002908	9	.43	0
ELRC-3063-wikipedia_health	v1	WikiTitles	v3	2054	1349474	9	.43	0
ELRC-3063-wikipedia_health	v1	ELRC-4149-NTEU_TierA	v1	2054	6413624	7	.34	0
ELRC-3063-wikipedia_health	v1	TildeMODEL	v2018	2054	5030606	7	.34	0
ELRC-3063-wikipedia_health	v1	ELRC-4189-NTEU_TierA	v1	2054	6763579	6	.29	0
ELRC-3063-wikipedia_health	v1	ELRC-4244-NTEU_TierA	v1	2054	12025211	5	.24	0
ELRC-3063-wikipedia_health	v1	ELRC-4240-NTEU_TierA	v1	2054	6884759	5	.24	0
ELRC-3063-wikipedia_health	v1	ELRC-4171-NTEU_TierA	v1	2054	6198455	5	.24	0
ELRC-3063-wikipedia_health	v1	ELRC-4198-NTEU_TierA	v1	2054	1702436	5	.24	0
ELRC-3063-wikipedia_health	v1	wikimedia	v20190628	2054	37543	5	.24	.01
ELRC-3063-wikipedia_health	v1	EuroPat	v3	2054	19387517	4	.19	0
ELRC-3063-wikipedia_health	v1	EuroPat	v2	2054	15421689	4	.19	0
ELRC-3063-wikipedia_health	v1	EUbookshop	v2	2054	13681030	4	.19	0
ELRC-3063-wikipedia_health	v1	JRC-Acquis	v3.0	2054	1997955	4	.19	0
ELRC-3063-wikipedia_health	v1	OpenSubtitles	v2018	2054	21227082	3	.14	0
ELRC-3063-wikipedia_health	v1	EuroPat	v1	2054	12583619	3	.14	0
ELRC-3063-wikipedia_health	v1	Mozilla-I10n	v1	2054	49522	3	.14	0
ELRC-3063-wikipedia_health	v1	KDE4	v2	2054	172442	2	.09	0
ELRC-3063-wikipedia_health	v1	ELRC-5179-acts_Ukrainian	v1	2054	126107	2	.09	0
ELRC-3063-wikipedia_health	v1	XLEnt	v1.1	2054	3364773	1	.04	0
ELRC-3063-wikipedia_health	v1	XLEnt	v1	2054	3364773	1	.04	0
ELRC-3063-wikipedia_health	v1	ELRC-2714-EMEA	v1	2054	713209	1	.04	0
ELRC-3063-wikipedia_health	v1	ELRC-EMEA	v1	2054	713209	1	.04	0
ELRC-3063-wikipedia_health	v1	Tatoeba	v2022-03-03	2054	602838	1	.04	0
ELRC-3063-wikipedia_health	v1	ELRC_2682	v1	2054	589704	1	.04	0
ELRC-3063-wikipedia_health	v1	Tatoeba	v2021-03-10	2054	556720	1	.04	0
ELRC-3063-wikipedia_health	v1	Tatoeba	v2021-07-22	2054	531553	1	.04	0
ELRC-3063-wikipedia_health	v1	EMEA	v3	2054	349705	1	.04	0
ELRC-3063-wikipedia_health	v1	TED2020	v1	2054	329147	1	.04	0
ELRC-3063-wikipedia_health	v1	ELRC-2410-Portal_oficial_turis	v1	2054	132023	1	.04	0
ELRC-3063-wikipedia_health	v1	OpenOffice	v3	2054	48451	1	.04	0
ELRC-3063-wikipedia_health	v1	OpenOffice	v2	2054	36684	1	.04	0
ELRC-3063-wikipedia_health	v1	ELRA-W0201	v1	2054	36665	1	.04	0
ELRC-3063-wikipedia_health	v1	ELRC-638-Luxembourg.lu	v1	2054	36665	1	.04	0
ELRC-3063-wikipedia_health	v1	KDEdoc	v1	2054	26622	1	.04	0
ELRC-3063-wikipedia_health	v1	ELRA-W0197	v1	2054	11704	1	.04	0
ELRC-3063-wikipedia_health	v1	ELRC-630-BMVI_Publications	v1	2054	11704	1	.04	0
ELRC-3063-wikipedia_health	v1	ELRC-Swedish_Labour	v1	2054	376	1	.04	.26
ELRC-3063-wikipedia_health	v1	ELRC-406-Swedish_Labour_Part1	v1	2054	191	1	.04	.52
ELRC-3063-wikipedia_health	v1	Europarl	v8	2054	2110612	0	0	0
ELRC-3063-wikipedia_health	v1	ELRC-5067-SciPar	v1	2054	894816	0	0	0
ELRC-3063-wikipedia_health	v1	QED	v2.0a	2054	684273	0	0	0
ELRC-3063-wikipedia_health	v1	Tatoeba	v2020-11-09	2054	545306	0	0	0
ELRC-3063-wikipedia_health	v1	Tatoeba	v2020-05-31	2054	523304	0	0	0
ELRC-3063-wikipedia_health	v1	Tatoeba	v20190709	2054	484305	0	0	0
ELRC-3063-wikipedia_health	v1	News-Commentary	v16	2054	438345	0	0	0
ELRC-3063-wikipedia_health	v1	News-Commentary	v14	2054	373715	0	0	0
ELRC-3063-wikipedia_health	v1	ECB	v1	2054	350988	0	0	0
ELRC-3063-wikipedia_health	v1	News-Commentary	v9.0	2054	273047	0	0	0
ELRC-3063-wikipedia_health	v1	News-Commentary	v9.1	2054	273046	0	0	0
ELRC-3063-wikipedia_health	v1	News-Commentary	v11	2054	269009	0	0	0
ELRC-3063-wikipedia_health	v1	Tatoeba	v2	2054	257448	0	0	0
ELRC-3063-wikipedia_health	v1	OpenSubtitles	v1	2054	241453	0	0	0
ELRC-3063-wikipedia_health	v1	ELRC-EUIPO_law	v1	2054	240670	0	0	0
ELRC-3063-wikipedia_health	v1	ELRC-1077-EUIPO_law	v1	2054	240669	0	0	0
ELRC-3063-wikipedia_health	v1	ELRC-1121-CORDIS_Results_Brief	v1	2054	182160	0	0	0
ELRC-3063-wikipedia_health	v1	ELRC-CORDIS_Results	v1	2054	182160	0	0	0
ELRC-3063-wikipedia_health	v1	MultiUN	v1	2054	157784	0	0	0
ELRC-3063-wikipedia_health	v1	TED2013	v1.1	2054	142424	0	0	0
ELRC-3063-wikipedia_health	v1	ELRC-1117-CORDIS_News	v1	2054	111380	0	0	0
ELRC-3063-wikipedia_health	v1	ELRC-CORDIS_News	v1	2054	111380	0	0	0
ELRC-3063-wikipedia_health	v1	GlobalVoices	v2018q4	2054	88834	0	0	0
ELRC-3063-wikipedia_health	v1	GlobalVoices	v2017q3	2054	82965	0	0	0
ELRC-3063-wikipedia_health	v1	ELRC-German_Foreign	v1	2054	72183	0	0	0
ELRC-3063-wikipedia_health	v1	GlobalVoices	v2015	2054	71300	0	0	0
ELRC-3063-wikipedia_health	v1	Books	v1	2054	70054	0	0	0
