corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3208-antibiotic	v1	ELRC-antibiotic	v1	1017	1017	1017	100.00	100.00
ELRC-3208-antibiotic	v1	CCMatrix	v1	1017	798656090	440	43.26	0
ELRC-3208-antibiotic	v1	MultiParaCrawl	v8	1017	199141573	216	21.23	0
ELRC-3208-antibiotic	v1	ParaCrawl	v8	1017	199141573	216	21.23	0
ELRC-3208-antibiotic	v1	MultiParaCrawl	v9	1017	187085885	173	17.01	0
ELRC-3208-antibiotic	v1	MultiParaCrawl	v9b	1017	187085885	173	17.01	0
ELRC-3208-antibiotic	v1	ParaCrawl	v9	1017	187085885	173	17.01	0
ELRC-3208-antibiotic	v1	NLLB	v1	1017	179281453	66	6.48	0
ELRC-3208-antibiotic	v1	MultiCCAligned	v1	1017	102410788	19	1.86	0
ELRC-3208-antibiotic	v1	MultiCCAligned	v1.1	1017	102410788	19	1.86	0
ELRC-3208-antibiotic	v1	CCAligned	v1	1017	102410685	19	1.86	0
ELRC-3208-antibiotic	v1	MultiParaCrawl	v7.1	1017	102000359	14	1.37	0
ELRC-3208-antibiotic	v1	ParaCrawl	v7.1	1017	102000359	14	1.37	0
ELRC-3208-antibiotic	v1	ParaCrawl	v1	1017	27422308	14	1.37	0
ELRC-3208-antibiotic	v1	ParaCrawl	v4	1017	35218228	11	1.08	0
ELRC-3208-antibiotic	v1	MultiParaCrawl	v5	1017	52742733	10	.98	0
ELRC-3208-antibiotic	v1	ParaCrawl	v5	1017	52742733	10	.98	0
ELRC-3208-antibiotic	v1	ELRC-4166-NTEU_TierA	v1	1017	9514731	10	.98	0
ELRC-3208-antibiotic	v1	TildeMODEL	v2018	1017	5592948	10	.98	0
ELRC-3208-antibiotic	v1	ELRC-4159-NTEU_TierA	v1	1017	11724160	9	.88	0
ELRC-3208-antibiotic	v1	UNPC	v1.0	1017	24410320	8	.78	0
ELRC-3208-antibiotic	v1	EUbookshop	v2	1017	13922861	8	.78	0
ELRC-3208-antibiotic	v1	ELRC-4144-NTEU_TierA	v1	1017	12470878	8	.78	0
ELRC-3208-antibiotic	v1	ELRC-4212-NTEU_TierA	v1	1017	6955376	8	.78	0
ELRC-3208-antibiotic	v1	OpenSubtitles	v2018	1017	42876478	7	.68	0
ELRC-3208-antibiotic	v1	OpenSubtitles	v2016	1017	36854261	7	.68	0
ELRC-3208-antibiotic	v1	giga-fren	v2	1017	21270622	7	.68	0
ELRC-3208-antibiotic	v1	ELRC-4227-NTEU_TierA	v1	1017	7414675	7	.68	0
ELRC-3208-antibiotic	v1	ELRC-4250-NTEU_TierA	v1	1017	7092287	7	.68	0
ELRC-3208-antibiotic	v1	ELRC-4163-NTEU_TierA	v1	1017	6278278	7	.68	0
ELRC-3208-antibiotic	v1	Mozilla-I10n	v1	1017	55750	7	.68	.01
