corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3293-EUROPARL_covid	v1	ELRC-EUROPARL_covid	v1	720	720	720	100.00	100.00
ELRC-3293-EUROPARL_covid	v1	ELRC_2923	v1	720	431	428	59.44	99.30
ELRC-3293-EUROPARL_covid	v1	ParaCrawl	v9	720	278310902	7	.97	0
ELRC-3293-EUROPARL_covid	v1	CCAligned	v1	720	15192790	6	.83	0
ELRC-3293-EUROPARL_covid	v1	EUbookshop	v2	720	8268818	4	.55	0
ELRC-3293-EUROPARL_covid	v1	Tatoeba	v2022-03-03	720	313068	3	.41	0
ELRC-3293-EUROPARL_covid	v1	Tatoeba	v2021-07-22	720	307276	3	.41	0
ELRC-3293-EUROPARL_covid	v1	Tatoeba	v2021-03-10	720	302363	3	.41	0
ELRC-3293-EUROPARL_covid	v1	Tatoeba	v2020-11-09	720	299698	3	.41	0
ELRC-3293-EUROPARL_covid	v1	TED2020	v1	720	289362	3	.41	0
ELRC-3293-EUROPARL_covid	v1	News-Commentary	v16	720	285720	3	.41	0
ELRC-3293-EUROPARL_covid	v1	News-Commentary	v14	720	285704	3	.41	0
ELRC-3293-EUROPARL_covid	v1	NeuLab-TedTalks	v1	720	182085	3	.41	0
ELRC-3293-EUROPARL_covid	v1	ELRC-1117-CORDIS_News	v1	720	111275	3	.41	0
ELRC-3293-EUROPARL_covid	v1	ELRC-CORDIS_News	v1	720	111275	3	.41	0
ELRC-3293-EUROPARL_covid	v1	OpenSubtitles	v2018	720	18698900	2	.27	0
ELRC-3293-EUROPARL_covid	v1	LinguaTools-WikiTitles	v2014	720	15812874	2	.27	0
ELRC-3293-EUROPARL_covid	v1	TildeMODEL	v2018	720	4184303	2	.27	0
ELRC-3293-EUROPARL_covid	v1	Europarl	v8	720	1916512	2	.27	0
ELRC-3293-EUROPARL_covid	v1	ELRC-2714-EMEA	v1	720	752887	2	.27	0
ELRC-3293-EUROPARL_covid	v1	ELRC-EMEA	v1	720	752887	2	.27	0
ELRC-3293-EUROPARL_covid	v1	Tatoeba	v2020-05-31	720	294740	2	.27	0
ELRC-3293-EUROPARL_covid	v1	Tatoeba	v20190709	720	289207	2	.27	0
ELRC-3293-EUROPARL_covid	v1	News-Commentary	v11	720	222749	2	.27	0
ELRC-3293-EUROPARL_covid	v1	News-Commentary	v9.0	720	200304	2	.27	0
ELRC-3293-EUROPARL_covid	v1	News-Commentary	v9.1	720	200304	2	.27	0
ELRC-3293-EUROPARL_covid	v1	Tatoeba	v2	720	142996	2	.27	0
ELRC-3293-EUROPARL_covid	v1	ELRC-774-Presidency	v1	720	16475	2	.27	.01
ELRC-3293-EUROPARL_covid	v1	ELRC-3464-EC_EUROPA_covid	v1	720	2555	2	.27	.07
ELRC-3293-EUROPARL_covid	v1	ELRC-EC_EUROPA	v1	720	2555	2	.27	.07
ELRC-3293-EUROPARL_covid	v1	CCMatrix	v1	720	245958729	1	.13	0
ELRC-3293-EUROPARL_covid	v1	EuroPat	v3	720	19734743	1	.13	0
ELRC-3293-EUROPARL_covid	v1	EuroPat	v2	720	15571045	1	.13	0
ELRC-3293-EUROPARL_covid	v1	XLEnt	v1.1	720	3802840	1	.13	0
ELRC-3293-EUROPARL_covid	v1	XLEnt	v1.2	720	3802840	1	.13	0
