corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3457-EC_EUROPA_covid	v1	ELRC-EC_EUROPA	v1	2391	2391	2391	100.00	100.00
ELRC-3457-EC_EUROPA_covid	v1	ELRC-3558-EUR_LEX_covid	v1	2391	22463	50	2.09	.22
ELRC-3457-EC_EUROPA_covid	v1	ELRC-EUR_LEX	v1	2391	22463	50	2.09	.22
ELRC-3457-EC_EUROPA_covid	v1	ELRC-3599-presscorner_covid	v1	2391	6802	18	.75	.26
ELRC-3457-EC_EUROPA_covid	v1	ELRC-presscorner_covid	v1	2391	6802	18	.75	.26
ELRC-3457-EC_EUROPA_covid	v1	ELRC_3382	v1	2391	3807	16	.66	.42
ELRC-3457-EC_EUROPA_covid	v1	TildeMODEL	v2018	2391	3481744	15	.62	0
ELRC-3457-EC_EUROPA_covid	v1	CCAligned	v1	2391	13043190	7	.29	0
ELRC-3457-EC_EUROPA_covid	v1	EUbookshop	v2	2391	5367397	7	.29	0
ELRC-3457-EC_EUROPA_covid	v1	OpenSubtitles	v2018	2391	30779675	5	.20	0
ELRC-3457-EC_EUROPA_covid	v1	DGT	v2019	2391	3543639	5	.20	0
ELRC-3457-EC_EUROPA_covid	v1	TED2020	v1	2391	312281	5	.20	0
ELRC-3457-EC_EUROPA_covid	v1	CCMatrix	v1	2391	106106500	4	.16	0
ELRC-3457-EC_EUROPA_covid	v1	ParaCrawl	v9	2391	89135870	4	.16	0
ELRC-3457-EC_EUROPA_covid	v1	ELRC-2707-EMEA	v1	2391	755014	4	.16	0
ELRC-3457-EC_EUROPA_covid	v1	ELRC-EMEA	v1	2391	755014	4	.16	0
ELRC-3457-EC_EUROPA_covid	v1	JRC-Acquis	v3.0	2391	502276	4	.16	0
ELRC-3457-EC_EUROPA_covid	v1	QED	v2.0a	2391	385191	4	.16	0
ELRC-3457-EC_EUROPA_covid	v1	OpenSubtitles	v1	2391	275351	4	.16	0
ELRC-3457-EC_EUROPA_covid	v1	Europarl	v8	2391	1986220	3	.12	0
ELRC-3457-EC_EUROPA_covid	v1	TED2013	v1.1	2391	144900	3	.12	0
ELRC-3457-EC_EUROPA_covid	v1	ECB	v1	2391	126344	3	.12	0
ELRC-3457-EC_EUROPA_covid	v1	wikimedia	v20210402	2391	68829	3	.12	0
ELRC-3457-EC_EUROPA_covid	v1	GlobalVoices	v2018q4	2391	40766	3	.12	0
ELRC-3457-EC_EUROPA_covid	v1	XLEnt	v1.1	2391	5789605	2	.08	0
ELRC-3457-EC_EUROPA_covid	v1	XLEnt	v1	2391	5789605	2	.08	0
ELRC-3457-EC_EUROPA_covid	v1	WikiMatrix	v1	2391	796508	2	.08	0
ELRC-3457-EC_EUROPA_covid	v1	EMEA	v3	2391	352016	2	.08	0
ELRC-3457-EC_EUROPA_covid	v1	ELITR-ECA	v1	2391	249246	2	.08	0
ELRC-3457-EC_EUROPA_covid	v1	KDE4	v2	2391	161655	2	.08	0
ELRC-3457-EC_EUROPA_covid	v1	Tatoeba	v2022-03-03	2391	75815	2	.08	0
