corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3469-EC_EUROPA_covid	v1	ELRC-EC_EUROPA	v1	2349	3849	2349	100.00	61.02
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3468-EC_EUROPA_covid	v1	2349	2620	2216	94.33	84.58
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3460-EC_EUROPA_covid	v1	2349	2842	2206	93.91	77.62
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3475-EC_EUROPA_covid	v1	2349	2500	2177	92.67	87.08
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3466-EC_EUROPA_covid	v1	2349	2788	2165	92.16	77.65
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3478-EC_EUROPA_covid	v1	2349	2542	2147	91.40	84.46
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3470-EC_EUROPA_covid	v1	2349	2917	2127	90.54	72.91
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3477-EC_EUROPA_covid	v1	2349	2385	2086	88.80	87.46
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3463-EC_EUROPA_covid	v1	2349	2354	2076	88.37	88.19
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3464-EC_EUROPA_covid	v1	2349	2504	2066	87.95	82.50
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3467-EC_EUROPA_covid	v1	2349	2365	2054	87.44	86.84
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3474-EC_EUROPA_covid	v1	2349	2448	2049	87.22	83.70
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3472-EC_EUROPA_covid	v1	2349	2630	2021	86.03	76.84
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3465-EC_EUROPA_covid	v1	2349	2444	2017	85.86	82.52
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3471-EC_EUROPA_covid	v1	2349	2693	1971	83.90	73.18
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3476-EC_EUROPA_covid	v1	2349	2313	1960	83.43	84.73
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3462-EC_EUROPA_covid	v1	2349	2360	1935	82.37	81.99
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3457-EC_EUROPA_covid	v1	2349	2359	1918	81.65	81.30
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3458-EC_EUROPA_covid	v1	2349	2593	1902	80.97	73.35
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3461-EC_EUROPA_covid	v1	2349	2194	1882	80.11	85.77
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3473-EC_EUROPA_covid	v1	2349	1837	1524	64.87	82.96
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3459-EC_EUROPA_covid	v1	2349	549	462	19.66	84.15
ELRC-3469-EC_EUROPA_covid	v1	ELRC-presscorner_covid	v1	2349	11739	231	9.83	1.96
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3610-presscorner_covid	v1	2349	10857	231	9.83	2.12
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3606-presscorner_covid	v1	2349	9860	220	9.36	2.23
ELRC-3469-EC_EUROPA_covid	v1	ELRC_3382	v1	2349	6334	219	9.32	3.45
ELRC-3469-EC_EUROPA_covid	v1	ParaCrawl	v9	2349	877766608	81	3.44	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3608-presscorner_covid	v1	2349	6228	69	2.93	1.10
ELRC-3469-EC_EUROPA_covid	v1	ELRC-EUR_LEX	v1	2349	24126	68	2.89	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3569-EUR_LEX_covid	v1	2349	23348	68	2.89	.29
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3607-presscorner_covid	v1	2349	6513	68	2.89	1.04
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3599-presscorner_covid	v1	2349	6709	67	2.85	.99
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3615-presscorner_covid	v1	2349	6708	67	2.85	.99
ELRC-3469-EC_EUROPA_covid	v1	CCAligned	v1	2349	405094222	66	2.80	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3565-EUR_LEX_covid	v1	2349	22863	66	2.80	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3562-EUR_LEX_covid	v1	2349	22588	66	2.80	.29
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3561-EUR_LEX_covid	v1	2349	22252	65	2.76	.29
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3578-EUR_LEX_covid	v1	2349	22011	65	2.76	.29
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3575-EUR_LEX_covid	v1	2349	21819	65	2.76	.29
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3556-EUR_LEX_covid	v1	2349	21721	65	2.76	.29
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3571-EUR_LEX_covid	v1	2349	22605	64	2.72	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3577-EUR_LEX_covid	v1	2349	22601	64	2.72	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3576-EUR_LEX_covid	v1	2349	22249	64	2.72	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3564-EUR_LEX_covid	v1	2349	22215	64	2.72	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3558-EUR_LEX_covid	v1	2349	22125	64	2.72	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3573-EUR_LEX_covid	v1	2349	20671	64	2.72	.30
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3563-EUR_LEX_covid	v1	2349	22524	63	2.68	.27
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3574-EUR_LEX_covid	v1	2349	22077	63	2.68	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3566-EUR_LEX_covid	v1	2349	21967	63	2.68	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3570-EUR_LEX_covid	v1	2349	21919	63	2.68	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3572-EUR_LEX_covid	v1	2349	21682	62	2.63	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3559-EUR_LEX_covid	v1	2349	21588	62	2.63	.28
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3568-EUR_LEX_covid	v1	2349	21161	62	2.63	.29
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3616-presscorner_covid	v1	2349	7185	62	2.63	.86
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3603-presscorner_covid	v1	2349	6557	62	2.63	.94
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3567-EUR_LEX_covid	v1	2349	20985	61	2.59	.29
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3605-presscorner_covid	v1	2349	6184	61	2.59	.98
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3597-presscorner_covid	v1	2349	6578	60	2.55	.91
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3602-presscorner_covid	v1	2349	6638	58	2.46	.87
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3609-presscorner_covid	v1	2349	6420	58	2.46	.90
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3604-presscorner_covid	v1	2349	7112	57	2.42	.80
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3617-presscorner_covid	v1	2349	6950	56	2.38	.80
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3611-presscorner_covid	v1	2349	6943	56	2.38	.80
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3619-presscorner_covid	v1	2349	6630	56	2.38	.84
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3613-presscorner_covid	v1	2349	7029	54	2.29	.76
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3618-presscorner_covid	v1	2349	6652	53	2.25	.79
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3612-presscorner_covid	v1	2349	7247	52	2.21	.71
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3614-presscorner_covid	v1	2349	6265	52	2.21	.83
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3600-presscorner_covid	v1	2349	6711	50	2.12	.74
ELRC-3469-EC_EUROPA_covid	v1	ELRC-4239-NTEU_TierA	v1	2349	11906559	49	2.08	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-4268-NTEU_TierA	v1	2349	11782507	47	2.00	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-4269-NTEU_TierA	v1	2349	7234848	47	2.00	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-4248-NTEU_TierA	v1	2349	12854274	45	1.91	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-4270-NTEU_TierA	v1	2349	7252413	45	1.91	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-4271-NTEU_TierA	v1	2349	7211577	44	1.87	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-4154-NTEU_TierA	v1	2349	7119873	43	1.83	0
ELRC-3469-EC_EUROPA_covid	v1	TildeMODEL	v2018	2349	5686357	40	1.70	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-4142-NTEU_TierA	v1	2349	2152367	39	1.66	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-3456-EC_EUROPA_covid	v1	2349	50	39	1.66	78.00
ELRC-3469-EC_EUROPA_covid	v1	EUbookshop	v2	2349	46038769	32	1.36	0
ELRC-3469-EC_EUROPA_covid	v1	giga-fren	v2	2349	20786998	29	1.23	0
ELRC-3469-EC_EUROPA_covid	v1	JRC-Acquis	v3.0	2349	1923776	28	1.19	0
ELRC-3469-EC_EUROPA_covid	v1	ELRC-396-Foreign_Affairs_Norw	v1	2349	669717	27	1.14	0
ELRC-3469-EC_EUROPA_covid	v1	UNPC	v1.0	2349	23776005	24	1.02	0
ELRC-3469-EC_EUROPA_covid	v1	CCMatrix	v1	2349	1341614085	22	.93	0
