corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3576-EUR_LEX_covid	v1	ELRC-EUR_LEX	v1	22249	24126	22249	100.00	92.22
ELRC-3576-EUR_LEX_covid	v1	ELRC-3562-EUR_LEX_covid	v1	22249	22588	21918	98.51	97.03
ELRC-3576-EUR_LEX_covid	v1	ELRC-3577-EUR_LEX_covid	v1	22249	22601	21899	98.42	96.89
ELRC-3576-EUR_LEX_covid	v1	ELRC-3571-EUR_LEX_covid	v1	22249	22605	21857	98.23	96.69
ELRC-3576-EUR_LEX_covid	v1	ELRC-3563-EUR_LEX_covid	v1	22249	22524	21807	98.01	96.81
ELRC-3576-EUR_LEX_covid	v1	ELRC-3569-EUR_LEX_covid	v1	22249	23348	21789	97.93	93.32
ELRC-3576-EUR_LEX_covid	v1	ELRC-3564-EUR_LEX_covid	v1	22249	22215	21609	97.12	97.27
ELRC-3576-EUR_LEX_covid	v1	ELRC-3561-EUR_LEX_covid	v1	22249	22252	21606	97.10	97.09
ELRC-3576-EUR_LEX_covid	v1	ELRC-3565-EUR_LEX_covid	v1	22249	22863	21512	96.68	94.09
ELRC-3576-EUR_LEX_covid	v1	ELRC-3578-EUR_LEX_covid	v1	22249	22011	21478	96.53	97.57
ELRC-3576-EUR_LEX_covid	v1	ELRC-3574-EUR_LEX_covid	v1	22249	22077	21438	96.35	97.10
ELRC-3576-EUR_LEX_covid	v1	ELRC-3558-EUR_LEX_covid	v1	22249	22125	21417	96.26	96.80
ELRC-3576-EUR_LEX_covid	v1	ELRC-3566-EUR_LEX_covid	v1	22249	21967	21391	96.14	97.37
ELRC-3576-EUR_LEX_covid	v1	ELRC-3570-EUR_LEX_covid	v1	22249	21919	21277	95.63	97.07
ELRC-3576-EUR_LEX_covid	v1	ELRC-3559-EUR_LEX_covid	v1	22249	21588	21192	95.24	98.16
ELRC-3576-EUR_LEX_covid	v1	ELRC-3575-EUR_LEX_covid	v1	22249	21819	21177	95.18	97.05
ELRC-3576-EUR_LEX_covid	v1	ELRC-3572-EUR_LEX_covid	v1	22249	21682	21155	95.08	97.56
ELRC-3576-EUR_LEX_covid	v1	ELRC-3556-EUR_LEX_covid	v1	22249	21721	21088	94.78	97.08
ELRC-3576-EUR_LEX_covid	v1	ELRC-3568-EUR_LEX_covid	v1	22249	21161	20611	92.63	97.40
ELRC-3576-EUR_LEX_covid	v1	ELRC-3567-EUR_LEX_covid	v1	22249	20985	20511	92.18	97.74
ELRC-3576-EUR_LEX_covid	v1	ELRC-3573-EUR_LEX_covid	v1	22249	20671	20103	90.35	97.25
ELRC-3576-EUR_LEX_covid	v1	ELRC-3560-EUR_LEX_covid	v1	22249	4508	4310	19.37	95.60
ELRC-3576-EUR_LEX_covid	v1	ELRC-EU_publications	v1	22249	13908	1786	8.02	12.84
ELRC-3576-EUR_LEX_covid	v1	ELRC-2886-EU_publications_medi	v1	22249	13143	1777	7.98	13.52
ELRC-3576-EUR_LEX_covid	v1	ELRC-2868-EU_publications_medi	v1	22249	13131	1770	7.95	13.47
ELRC-3576-EUR_LEX_covid	v1	ELRC-2879-EU_publications_medi	v1	22249	13125	1767	7.94	13.46
ELRC-3576-EUR_LEX_covid	v1	ELRC-2873-EU_publications_medi	v1	22249	12936	1766	7.93	13.65
ELRC-3576-EUR_LEX_covid	v1	ELRC-2887-EU_publications_medi	v1	22249	12971	1764	7.92	13.59
ELRC-3576-EUR_LEX_covid	v1	ELRC-2877-EU_publications_medi	v1	22249	13088	1762	7.91	13.46
ELRC-3576-EUR_LEX_covid	v1	ELRC-2884-EU_publications_medi	v1	22249	12960	1759	7.90	13.57
ELRC-3576-EUR_LEX_covid	v1	ELRC-2880-EU_publications_medi	v1	22249	12872	1758	7.90	13.65
ELRC-3576-EUR_LEX_covid	v1	ELRC-2888-EU_publications_medi	v1	22249	12793	1759	7.90	13.74
ELRC-3576-EUR_LEX_covid	v1	ELRC-2872-EU_publications_medi	v1	22249	13025	1757	7.89	13.48
ELRC-3576-EUR_LEX_covid	v1	ELRC-2882-EU_publications_medi	v1	22249	12944	1757	7.89	13.57
ELRC-3576-EUR_LEX_covid	v1	ELRC-2881-EU_publications_medi	v1	22249	13057	1755	7.88	13.44
ELRC-3576-EUR_LEX_covid	v1	ELRC-2874-EU_publications_medi	v1	22249	13047	1754	7.88	13.44
ELRC-3576-EUR_LEX_covid	v1	ELRC-2876-EU_publications_medi	v1	22249	12841	1750	7.86	13.62
ELRC-3576-EUR_LEX_covid	v1	ELRC-2875-EU_publications_medi	v1	22249	13192	1745	7.84	13.22
ELRC-3576-EUR_LEX_covid	v1	ELRC-2871-EU_publications_medi	v1	22249	13018	1742	7.82	13.38
ELRC-3576-EUR_LEX_covid	v1	ELRC-2869-EU_publications_medi	v1	22249	12873	1738	7.81	13.50
ELRC-3576-EUR_LEX_covid	v1	ELRC-2883-EU_publications_medi	v1	22249	13031	1735	7.79	13.31
ELRC-3576-EUR_LEX_covid	v1	ELRC-2866-EU_publications_medi	v1	22249	12721	1727	7.76	13.57
ELRC-3576-EUR_LEX_covid	v1	ELRC-2885-EU_publications_medi	v1	22249	12742	1721	7.73	13.50
ELRC-3576-EUR_LEX_covid	v1	ELRC-2878-EU_publications_medi	v1	22249	12485	1688	7.58	13.52
ELRC-3576-EUR_LEX_covid	v1	CCMatrix	v1	22249	1341614085	646	2.90	0
ELRC-3576-EUR_LEX_covid	v1	ParaCrawl	v9	22249	877766608	486	2.18	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-4268-NTEU_TierA	v1	22249	11782507	388	1.74	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-4239-NTEU_TierA	v1	22249	11906559	381	1.71	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-4269-NTEU_TierA	v1	22249	7234848	380	1.70	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-4154-NTEU_TierA	v1	22249	7119873	379	1.70	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-4270-NTEU_TierA	v1	22249	7252413	376	1.68	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-4271-NTEU_TierA	v1	22249	7211577	375	1.68	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-3557-EUR_LEX_covid	v1	22249	403	354	1.59	87.84
ELRC-3576-EUR_LEX_covid	v1	ELRC-4142-NTEU_TierA	v1	22249	2152367	337	1.51	.01
ELRC-3576-EUR_LEX_covid	v1	ELRC-4248-NTEU_TierA	v1	22249	12854274	302	1.35	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-2870-EU_publications_medi	v1	22249	3045	294	1.32	9.65
ELRC-3576-EUR_LEX_covid	v1	ELRC-EC_EUROPA	v1	22249	3849	284	1.27	7.37
ELRC-3576-EUR_LEX_covid	v1	TildeMODEL	v2018	22249	5686357	263	1.18	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-3470-EC_EUROPA_covid	v1	22249	2917	252	1.13	8.63
ELRC-3576-EUR_LEX_covid	v1	ELRC-3471-EC_EUROPA_covid	v1	22249	2693	250	1.12	9.28
ELRC-3576-EUR_LEX_covid	v1	ELRC-3472-EC_EUROPA_covid	v1	22249	2630	250	1.12	9.50
ELRC-3576-EUR_LEX_covid	v1	ELRC-3458-EC_EUROPA_covid	v1	22249	2593	249	1.11	9.60
ELRC-3576-EUR_LEX_covid	v1	ELRC-3460-EC_EUROPA_covid	v1	22249	2842	244	1.09	8.58
ELRC-3576-EUR_LEX_covid	v1	ELRC-3466-EC_EUROPA_covid	v1	22249	2788	243	1.09	8.71
ELRC-3576-EUR_LEX_covid	v1	CCAligned	v1	22249	405094222	127	.57	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-5179-acts_Ukrainian	v1	22249	125843	121	.54	.09
ELRC-3576-EUR_LEX_covid	v1	JRC-Acquis	v3.0	22249	1923776	118	.53	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-presscorner_covid	v1	22249	11739	105	.47	.89
ELRC-3576-EUR_LEX_covid	v1	ELRC-3610-presscorner_covid	v1	22249	10857	105	.47	.96
ELRC-3576-EUR_LEX_covid	v1	ELRC-3606-presscorner_covid	v1	22249	9860	101	.45	1.02
ELRC-3576-EUR_LEX_covid	v1	ELRC-396-Foreign_Affairs_Norw	v1	22249	669717	95	.42	.01
ELRC-3576-EUR_LEX_covid	v1	ELRC-3617-presscorner_covid	v1	22249	6950	92	.41	1.32
ELRC-3576-EUR_LEX_covid	v1	ELRC-3599-presscorner_covid	v1	22249	6709	92	.41	1.37
ELRC-3576-EUR_LEX_covid	v1	EUbookshop	v2	22249	46038769	89	.40	0
ELRC-3576-EUR_LEX_covid	v1	ELRC-3612-presscorner_covid	v1	22249	7247	91	.40	1.25
ELRC-3576-EUR_LEX_covid	v1	ELRC-3616-presscorner_covid	v1	22249	7185	90	.40	1.25
ELRC-3576-EUR_LEX_covid	v1	ELRC-3604-presscorner_covid	v1	22249	7112	89	.40	1.25
ELRC-3576-EUR_LEX_covid	v1	ELRC-3613-presscorner_covid	v1	22249	7029	90	.40	1.28
ELRC-3576-EUR_LEX_covid	v1	ELRC-3611-presscorner_covid	v1	22249	6943	90	.40	1.29
ELRC-3576-EUR_LEX_covid	v1	ELRC-3615-presscorner_covid	v1	22249	6708	91	.40	1.35
ELRC-3576-EUR_LEX_covid	v1	ELRC-3618-presscorner_covid	v1	22249	6652	90	.40	1.35
ELRC-3576-EUR_LEX_covid	v1	ELRC-3619-presscorner_covid	v1	22249	6630	90	.40	1.35
ELRC-3576-EUR_LEX_covid	v1	ELRC-3603-presscorner_covid	v1	22249	6557	91	.40	1.38
