corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3600-presscorner_covid	v1	ELRC-presscorner_covid	v1	6752	6752	6752	100.00	100.00
ELRC-3600-presscorner_covid	v1	ELRC_3382	v1	6752	3355	3333	49.36	99.34
ELRC-3600-presscorner_covid	v1	ELRC-3559-EUR_LEX_covid	v1	6752	21735	41	.60	.18
ELRC-3600-presscorner_covid	v1	ELRC-EUR_LEX	v1	6752	21735	41	.60	.18
ELRC-3600-presscorner_covid	v1	ELRC-4239-NTEU_TierA	v1	6752	12577938	33	.48	0
ELRC-3600-presscorner_covid	v1	ParaCrawl	v9	6752	31315288	20	.29	0
ELRC-3600-presscorner_covid	v1	ELRC-3458-EC_EUROPA_covid	v1	6752	2598	16	.23	.61
ELRC-3600-presscorner_covid	v1	ELRC-EC_EUROPA	v1	6752	2598	16	.23	.61
ELRC-3600-presscorner_covid	v1	ELRC-2869-EU_publications_medi	v1	6752	12933	15	.22	.11
ELRC-3600-presscorner_covid	v1	ELRC-EU_publications	v1	6752	12933	15	.22	.11
ELRC-3600-presscorner_covid	v1	TildeMODEL	v2018	6752	3022117	14	.20	0
ELRC-3600-presscorner_covid	v1	CCMatrix	v1	6752	35804134	10	.14	0
ELRC-3600-presscorner_covid	v1	OpenSubtitles	v2018	6752	23382097	4	.05	0
ELRC-3600-presscorner_covid	v1	Europarl	v8	6752	1920092	4	.05	0
ELRC-3600-presscorner_covid	v1	EUbookshop	v2	6752	1828277	3	.04	0
ELRC-3600-presscorner_covid	v1	Tatoeba	v2022-03-03	6752	81194	3	.04	0
ELRC-3600-presscorner_covid	v1	Tatoeba	v2021-07-22	6752	80545	3	.04	0
ELRC-3600-presscorner_covid	v1	Tatoeba	v2021-03-10	6752	80040	3	.04	0
ELRC-3600-presscorner_covid	v1	Tatoeba	v2020-11-09	6752	79854	3	.04	0
ELRC-3600-presscorner_covid	v1	ELRC-2708-EMEA	v1	6752	746684	2	.02	0
ELRC-3600-presscorner_covid	v1	ELRC-EMEA	v1	6752	746684	2	.02	0
