corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3616-presscorner_covid	v1	ELRC-presscorner_covid	v1	7293	7293	7293	100.00	100.00
ELRC-3616-presscorner_covid	v1	ELRC_3382	v1	7293	3793	3767	51.65	99.31
ELRC-3616-presscorner_covid	v1	CCMatrix	v1	7293	73625347	33	.45	0
ELRC-3616-presscorner_covid	v1	ELRC-3474-EC_EUROPA_covid	v1	7293	2479	32	.43	1.29
ELRC-3616-presscorner_covid	v1	ELRC-EC_EUROPA	v1	7293	2479	32	.43	1.29
ELRC-3616-presscorner_covid	v1	ELRC-3575-EUR_LEX_covid	v1	7293	22105	25	.34	.11
ELRC-3616-presscorner_covid	v1	ELRC-EUR_LEX	v1	7293	22105	25	.34	.11
ELRC-3616-presscorner_covid	v1	ParaCrawl	v9	7293	40082038	18	.24	0
ELRC-3616-presscorner_covid	v1	TildeMODEL	v2018	7293	2124677	13	.17	0
ELRC-3616-presscorner_covid	v1	ELRC-2885-EU_publications_medi	v1	7293	12751	13	.17	.10
ELRC-3616-presscorner_covid	v1	ELRC-EU_publications	v1	7293	12751	13	.17	.10
ELRC-3616-presscorner_covid	v1	OpenSubtitles	v2018	7293	34512858	7	.09	0
ELRC-3616-presscorner_covid	v1	CCAligned	v1	7293	12846330	4	.05	0
ELRC-3616-presscorner_covid	v1	JRC-Acquis	v3.0	7293	1048242	3	.04	0
ELRC-3616-presscorner_covid	v1	ELRC-2726-EMEA	v1	7293	756950	3	.04	0
ELRC-3616-presscorner_covid	v1	ELRC-EMEA	v1	7293	756950	3	.04	0
ELRC-3616-presscorner_covid	v1	TED2020	v1	7293	293265	3	.04	0
ELRC-3616-presscorner_covid	v1	NeuLab-TedTalks	v1	7293	185955	3	.04	0
ELRC-3616-presscorner_covid	v1	XLEnt	v1.1	7293	5202602	2	.02	0
ELRC-3616-presscorner_covid	v1	XLEnt	v1.2	7293	5202602	2	.02	0
ELRC-3616-presscorner_covid	v1	XLEnt	v1	7293	5202602	2	.02	0
ELRC-3616-presscorner_covid	v1	DGT	v2019	7293	3659053	2	.02	0
ELRC-3616-presscorner_covid	v1	QED	v2.0a	7293	482625	2	.02	0
ELRC-3616-presscorner_covid	v1	EMEA	v3	7293	343975	2	.02	0
ELRC-3616-presscorner_covid	v1	ELITR-ECA	v1	7293	257916	2	.02	0
ELRC-3616-presscorner_covid	v1	TED2013	v1.1	7293	148046	2	.02	0
ELRC-3616-presscorner_covid	v1	ELRC-1120-CORDIS_News	v1	7293	87745	2	.02	0
ELRC-3616-presscorner_covid	v1	ELRC-CORDIS_News	v1	7293	87745	2	.02	0
ELRC-3616-presscorner_covid	v1	Tatoeba	v2022-03-03	7293	54736	2	.02	0
ELRC-3616-presscorner_covid	v1	Tatoeba	v2021-07-22	7293	54279	2	.02	0
ELRC-3616-presscorner_covid	v1	Tatoeba	v2021-03-10	7293	54235	2	.02	0
ELRC-3616-presscorner_covid	v1	Tatoeba	v2020-11-09	7293	54179	2	.02	0
ELRC-3616-presscorner_covid	v1	GlobalVoices	v2018q4	7293	48868	2	.02	0
ELRC-3616-presscorner_covid	v1	ELRC-3502-Coronavirus_Law_Pola	v1	7293	4429	2	.02	.04
ELRC-3616-presscorner_covid	v1	ELRC-479-Polish_Food_2	v1	7293	2969	2	.02	.06
ELRC-3616-presscorner_covid	v1	ELRC-480-Polish_Food_3	v1	7293	2839	2	.02	.07
ELRC-3616-presscorner_covid	v1	LinguaTools-WikiTitles	v2014	7293	8003882	1	.01	0
ELRC-3616-presscorner_covid	v1	ELRC-5067-SciPar	v1	7293	862076	1	.01	0
ELRC-3616-presscorner_covid	v1	WikiMatrix	v1	7293	668647	1	.01	0
ELRC-3616-presscorner_covid	v1	Europarl	v8	7293	613356	1	.01	0
ELRC-3616-presscorner_covid	v1	EuroPat	v3	7293	332120	1	.01	0
ELRC-3616-presscorner_covid	v1	ELRC-1124-CORDIS_Results_Brief	v1	7293	201566	1	.01	0
ELRC-3616-presscorner_covid	v1	ELRC-CORDIS_Results	v1	7293	201566	1	.01	0
ELRC-3616-presscorner_covid	v1	EuroPat	v2	7293	88959	1	.01	0
ELRC-3616-presscorner_covid	v1	ECB	v1	7293	73127	1	.01	0
ELRC-3616-presscorner_covid	v1	ELRA-W0241	v1	7293	57206	1	.01	0
ELRC-3616-presscorner_covid	v1	Tatoeba	v2020-05-31	7293	54143	1	.01	0
ELRC-3616-presscorner_covid	v1	Tatoeba	v20190709	7293	53938	1	.01	0
ELRC-3616-presscorner_covid	v1	wikimedia	v20210402	7293	51386	1	.01	0
ELRC-3616-presscorner_covid	v1	OpenSubtitles	v1	7293	48573	1	.01	0
ELRC-3616-presscorner_covid	v1	GlobalVoices	v2017q3	7293	45318	1	.01	0
ELRC-3616-presscorner_covid	v1	GlobalVoices	v2015	7293	42295	1	.01	0
ELRC-3616-presscorner_covid	v1	ELRC-975-Science_Poland	v1	7293	28134	1	.01	0
ELRC-3616-presscorner_covid	v1	Tatoeba	v2	7293	21524	1	.01	0
ELRC-3616-presscorner_covid	v1	ELRC-1178-EUIPO_2017	v1	7293	17489	1	.01	0
ELRC-3616-presscorner_covid	v1	ELRC-EUIPO_2017	v1	7293	17489	1	.01	0
ELRC-3616-presscorner_covid	v1	ELRC-674-Polish_Investment_Tr	v1	7293	14736	1	.01	0
ELRC-3616-presscorner_covid	v1	ELRC-864-Chancellery_Prime_Mi	v1	7293	9385	1	.01	.01
ELRC-3616-presscorner_covid	v1	EUconst	v1	7293	6623	1	.01	.01
