corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-3856-PRESS	v1	CCMatrix	v1	35	48860900	11	31.42	0
ELRC-3856-PRESS	v1	NLLB	v1	35	48859850	11	31.42	0
ELRC-3856-PRESS	v1	ParaCrawl	v8	35	34585108	1	2.85	0
ELRC-3856-PRESS	v1	OpenSubtitles	v2018	35	33318146	1	2.85	0
ELRC-3856-PRESS	v1	ParaCrawl	v9	35	21402043	1	2.85	0
ELRC-3856-PRESS	v1	MultiParaCrawl	v7.1	35	9402609	1	2.85	0
ELRC-3856-PRESS	v1	MultiCCAligned	v1	35	8792897	1	2.85	0
ELRC-3856-PRESS	v1	CCAligned	v1	35	8792737	1	2.85	0
ELRC-3856-PRESS	v1	XLEnt	v1.1	35	2799832	1	2.85	0
ELRC-3856-PRESS	v1	XLEnt	v1.2	35	2799832	1	2.85	0
ELRC-3856-PRESS	v1	XLEnt	v1	35	2799832	1	2.85	0
ELRC-3856-PRESS	v1	LinguaTools-WikiTitles	v2014	35	1795210	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-EMEA	v1	35	774830	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-2711-EMEA	v1	35	774829	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-5067-SciPar	v1	35	742987	1	2.85	0
ELRC-3856-PRESS	v1	WikiMatrix	v1	35	620802	1	2.85	0
ELRC-3856-PRESS	v1	wikimedia	v20230407	35	549337	1	2.85	0
ELRC-3856-PRESS	v1	ELITR-ECA	v1	35	329071	1	2.85	0
ELRC-3856-PRESS	v1	TED2020	v1	35	262648	1	2.85	0
ELRC-3856-PRESS	v1	wikimedia	v20210402	35	229838	1	2.85	0
ELRC-3856-PRESS	v1	NeuLab-TedTalks	v1	35	149750	1	2.85	0
ELRC-3856-PRESS	v1	GlobalVoices	v2018q4	35	112880	1	2.85	0
ELRC-3856-PRESS	v1	Tatoeba	v2023-04-12	35	25970	1	2.85	0
ELRC-3856-PRESS	v1	Tatoeba	v2022-03-03	35	24112	1	2.85	0
ELRC-3856-PRESS	v1	Tatoeba	v2021-07-22	35	23813	1	2.85	0
ELRC-3856-PRESS	v1	Tatoeba	v2021-03-10	35	23365	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-3562-EUR_LEX_covid	v1	35	23018	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-EUR_LEX	v1	35	23018	1	2.85	0
ELRC-3856-PRESS	v1	Tatoeba	v2020-11-09	35	22908	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-1175-EUIPO_2017	v1	35	20025	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-EUIPO_2017	v1	35	20025	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-842-Quarterly_Reports_Pa	v1	35	16713	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-843-collection_reports_G	v1	35	16152	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-2872-EU_publications_medi	v1	35	13085	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-EU_publications	v1	35	13085	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-649-Greek_administration	v1	35	12510	1	2.85	0
ELRC-3856-PRESS	v1	ELRC-3603-presscorner_covid	v1	35	6626	1	2.85	.01
ELRC-3856-PRESS	v1	ELRC-presscorner_covid	v1	35	6626	1	2.85	.01
ELRC-3856-PRESS	v1	ELRC-Press_Releases	v1	35	6058	1	2.85	.01
ELRC-3856-PRESS	v1	ELRC-936-Prime_Minister_Helle	v1	35	5268	1	2.85	.01
ELRC-3856-PRESS	v1	ELRC-1787-Press_Releases_PIO	v1	35	5131	1	2.85	.01
ELRC-3856-PRESS	v1	ELRC-PIO_Publication	v1	35	3945	1	2.85	.02
ELRC-3856-PRESS	v1	ELRC-1984-Hellenic_Gaming_Comm	v1	35	3870	1	2.85	.02
ELRC-3856-PRESS	v1	ELRC-932-Hellenic_Foreign_Aff	v1	35	3428	1	2.85	.02
ELRC-3856-PRESS	v1	ELRC-1067-PIO_Publication_Wind	v1	35	2628	1	2.85	.03
ELRC-3856-PRESS	v1	ECDC	v2016-03-16	35	2431	1	2.85	.04
ELRC-3856-PRESS	v1	ELRC-3461-EC_EUROPA_covid	v1	35	2233	1	2.85	.04
ELRC-3856-PRESS	v1	ELRC-EC_EUROPA	v1	35	2233	1	2.85	.04
ELRC-3856-PRESS	v1	ELRC-1981-EQF_Referencing_Repo	v1	35	2100	1	2.85	.04
ELRC-3856-PRESS	v1	ELRC-652-Greek_law	v1	35	1980	1	2.85	.05
