corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-394-Danish_Higher_Educat	v1	ELRC-397-Danish_Higher_Educat	v1	3116	3392	624	20.02	18.39
ELRC-394-Danish_Higher_Educat	v1	ELRA-W0157	v1	3116	3391	622	19.96	18.34
ELRC-394-Danish_Higher_Educat	v1	ELRC-4248-NTEU_TierA	v1	3116	13598397	291	9.33	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-849-ufm.dk	v1	3116	10052	228	7.31	2.26
ELRC-394-Danish_Higher_Educat	v1	ELRC-892-slks.dk	v1	3116	4956	226	7.25	4.56
ELRC-394-Danish_Higher_Educat	v1	XLEnt	v1.1	3116	2832109	40	1.28	0
ELRC-394-Danish_Higher_Educat	v1	XLEnt	v1.2	3116	2832109	40	1.28	0
ELRC-394-Danish_Higher_Educat	v1	XLEnt	v1	3116	2832109	40	1.28	0
ELRC-394-Danish_Higher_Educat	v1	MultiCCAligned	v1	3116	10687333	34	1.09	0
ELRC-394-Danish_Higher_Educat	v1	CCAligned	v1	3116	10687146	34	1.09	0
ELRC-394-Danish_Higher_Educat	v1	EUbookshop	v2	3116	4495240	26	.83	0
ELRC-394-Danish_Higher_Educat	v1	DGT	v2019	3116	3567131	25	.80	0
ELRC-394-Danish_Higher_Educat	v1	LinguaTools-WikiTitles	v2014	3116	2968008	24	.77	0
ELRC-394-Danish_Higher_Educat	v1	DGT	v4	3116	1946755	23	.73	0
ELRC-394-Danish_Higher_Educat	v1	EMEA	v3	3116	355116	18	.57	0
ELRC-394-Danish_Higher_Educat	v1	KDE4	v2	3116	165984	18	.57	.01
ELRC-394-Danish_Higher_Educat	v1	ELRC-439-Danish_Higher_Educat	v1	3116	3665	18	.57	.49
ELRC-394-Danish_Higher_Educat	v1	ELRC-2716-EMEA	v1	3116	767928	15	.48	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-EMEA	v1	3116	767928	15	.48	0
ELRC-394-Danish_Higher_Educat	v1	ELRC_2682	v1	3116	767927	14	.44	0
ELRC-394-Danish_Higher_Educat	v1	JRC-Acquis	v3.0	3116	502171	12	.38	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-904-uk.fm.dk	v1	3116	6940	10	.32	.14
ELRC-394-Danish_Higher_Educat	v1	ECB	v1	3116	137975	9	.28	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-905-spillemyndigheden.dk	v1	3116	3355	9	.28	.26
ELRC-394-Danish_Higher_Educat	v1	CCMatrix	v1	3116	51996397	8	.25	0
ELRC-394-Danish_Higher_Educat	v1	NLLB	v1	3116	51995658	8	.25	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-850-www.dst.dk	v1	3116	22814	8	.25	.03
ELRC-394-Danish_Higher_Educat	v1	Europarl	v8	3116	1949878	7	.22	0
ELRC-394-Danish_Higher_Educat	v1	Europarl	v7	3116	1949502	7	.22	0
ELRC-394-Danish_Higher_Educat	v1	Europarl	v3	3116	1276675	7	.22	0
ELRC-394-Danish_Higher_Educat	v1	ELITR-ECA	v1	3116	117419	7	.22	0
ELRC-394-Danish_Higher_Educat	v1	EUconst	v1	3116	6685	7	.22	.10
ELRC-394-Danish_Higher_Educat	v1	ELRC-852-www.dma.dk	v1	3116	3010	7	.22	.23
ELRC-394-Danish_Higher_Educat	v1	ParaCrawl	v9	3116	34207153	6	.19	0
ELRC-394-Danish_Higher_Educat	v1	OpenSubtitles	v2018	3116	12095471	6	.19	0
ELRC-394-Danish_Higher_Educat	v1	MultiParaCrawl	v7.1	3116	10407633	6	.19	0
ELRC-394-Danish_Higher_Educat	v1	OpenSubtitles	v2016	3116	9378053	6	.19	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-1062-rigsrevisionen.dk	v1	3116	8234	6	.19	.07
ELRC-394-Danish_Higher_Educat	v1	ELRC-426-Danish_Higher_Educat	v1	3116	1546	6	.19	.38
ELRC-394-Danish_Higher_Educat	v1	ParaCrawl	v7.1	3116	10407632	5	.16	0
ELRC-394-Danish_Higher_Educat	v1	GlobalVoices	v2018q4	3116	6970	5	.16	.07
ELRC-394-Danish_Higher_Educat	v1	ParaCrawl	v8	3116	41939064	4	.12	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-2877-EU_publications_medi	v1	3116	13221	4	.12	.03
ELRC-394-Danish_Higher_Educat	v1	ELRC-EU_publications	v1	3116	13221	4	.12	.03
ELRC-394-Danish_Higher_Educat	v1	GlobalVoices	v2017q3	3116	6859	4	.12	.05
ELRC-394-Danish_Higher_Educat	v1	GlobalVoices	v2015	3116	6586	4	.12	.06
ELRC-394-Danish_Higher_Educat	v1	QED	v2.0a	3116	165595	3	.09	0
ELRC-394-Danish_Higher_Educat	v1	wikimedia	v20230407	3116	67071	3	.09	0
ELRC-394-Danish_Higher_Educat	v1	wikimedia	v20210402	3116	40624	3	.09	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-730-www.norden.org	v1	3116	36624	3	.09	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-www.norden.org	v1	3116	36624	3	.09	0
ELRC-394-Danish_Higher_Educat	v1	OpenSubtitles	v1	3116	23525	3	.09	.01
ELRC-394-Danish_Higher_Educat	v1	ELRC-848-laegemiddelstyrelsen	v1	3116	22502	3	.09	.01
ELRC-394-Danish_Higher_Educat	v1	ELRC-2013-EUIPO_2017	v1	3116	17269	3	.09	.01
ELRC-394-Danish_Higher_Educat	v1	ELRC-EUIPO_2017	v1	3116	17269	3	.09	.01
ELRC-394-Danish_Higher_Educat	v1	TildeMODEL	v2018	3116	4411	3	.09	.06
ELRC-394-Danish_Higher_Educat	v1	WikiMatrix	v1	3116	436050	2	.06	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-851-www.vikingeskibsmuse	v1	3116	12395	2	.06	.01
ELRC-394-Danish_Higher_Educat	v1	ELRC-899-Danish_FSA	v1	3116	1927	2	.06	.10
ELRC-394-Danish_Higher_Educat	v1	ParaCrawl	v5	3116	4569268	1	.03	0
ELRC-394-Danish_Higher_Educat	v1	ParaCrawl	v4	3116	2395328	1	.03	0
ELRC-394-Danish_Higher_Educat	v1	TED2020	v1	3116	70497	1	.03	0
ELRC-394-Danish_Higher_Educat	v1	NeuLab-TedTalks	v1	3116	47296	1	.03	0
ELRC-394-Danish_Higher_Educat	v1	ELRC-847-mst.dk	v1	3116	36733	1	.03	0
ELRC-394-Danish_Higher_Educat	v1	Tatoeba	v2023-04-12	3116	32727	1	.03	0
