corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-398-Portuguese_legislati	v1	ELRC-Portuguese_legislati	v1	2714	3010	2714	100.00	90.16
ELRC-398-Portuguese_legislati	v1	ELRC-422-Portuguese_legislati	v1	2714	2446	2150	79.21	87.89
ELRC-398-Portuguese_legislati	v1	ELRC-4144-NTEU_TierA	v1	2714	12470878	399	14.70	0
ELRC-398-Portuguese_legislati	v1	ELRC-4159-NTEU_TierA	v1	2714	11724160	399	14.70	0
ELRC-398-Portuguese_legislati	v1	UNPC	v1.0	2714	24410320	398	14.66	0
ELRC-398-Portuguese_legislati	v1	MultiParaCrawl	v7.1	2714	102000359	395	14.55	0
ELRC-398-Portuguese_legislati	v1	ParaCrawl	v7.1	2714	102000359	395	14.55	0
ELRC-398-Portuguese_legislati	v1	ELRC-4227-NTEU_TierA	v1	2714	7414675	392	14.44	0
ELRC-398-Portuguese_legislati	v1	ELRC-4250-NTEU_TierA	v1	2714	7092287	391	14.40	0
ELRC-398-Portuguese_legislati	v1	ELRC-4166-NTEU_TierA	v1	2714	9514731	390	14.36	0
ELRC-398-Portuguese_legislati	v1	ELRC-4212-NTEU_TierA	v1	2714	6955376	389	14.33	0
ELRC-398-Portuguese_legislati	v1	ELRC-4163-NTEU_TierA	v1	2714	6278278	389	14.33	0
ELRC-398-Portuguese_legislati	v1	MultiParaCrawl	v9	2714	187085885	380	14.00	0
ELRC-398-Portuguese_legislati	v1	MultiParaCrawl	v9b	2714	187085885	380	14.00	0
ELRC-398-Portuguese_legislati	v1	ParaCrawl	v9	2714	187085885	380	14.00	0
ELRC-398-Portuguese_legislati	v1	TildeMODEL	v2018	2714	5592948	371	13.66	0
ELRC-398-Portuguese_legislati	v1	MultiParaCrawl	v8	2714	199141573	369	13.59	0
ELRC-398-Portuguese_legislati	v1	ParaCrawl	v8	2714	199141573	369	13.59	0
ELRC-398-Portuguese_legislati	v1	JRC-Acquis	v3.0	2714	1956392	368	13.55	.01
ELRC-398-Portuguese_legislati	v1	ELRC-4241-NTEU_TierA	v1	2714	1665033	359	13.22	.02
ELRC-398-Portuguese_legislati	v1	MBS	v1	2714	2281253	356	13.11	.01
ELRC-398-Portuguese_legislati	v1	ParaCrawl	v1	2714	27422308	322	11.86	0
ELRC-398-Portuguese_legislati	v1	DGT	v4	2714	1884522	314	11.56	.01
ELRC-398-Portuguese_legislati	v1	ELRC-2481-Constituio_da_Repbli	v1	2714	3917	270	9.94	6.89
ELRC-398-Portuguese_legislati	v1	ECB	v1	2714	341341	240	8.84	.07
