corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-40-Information_Portal_C	v1	ELRC-Information_Portal	v1	1836	13072	1836	100.00	14.04
ELRC-40-Information_Portal_C	v1	ParaCrawl	v9	1836	877766608	872	47.49	0
ELRC-40-Information_Portal_C	v1	CCMatrix	v1	1836	1341614085	754	41.06	0
ELRC-40-Information_Portal_C	v1	CCAligned	v1	1836	405094222	125	6.80	0
ELRC-40-Information_Portal_C	v1	XLEnt	v1.1	1836	53628082	54	2.94	0
ELRC-40-Information_Portal_C	v1	XLEnt	v1	1836	53628082	54	2.94	0
ELRC-40-Information_Portal_C	v1	XLEnt	v1.2	1836	53628082	54	2.94	0
ELRC-40-Information_Portal_C	v1	LinguaTools-WikiTitles	v2014	1836	8265652	48	2.61	0
ELRC-40-Information_Portal_C	v1	UNPC	v1.0	1836	23776005	38	2.06	0
ELRC-40-Information_Portal_C	v1	StanfordNLP-NMT	v1.0	1836	14386355	37	2.01	0
ELRC-40-Information_Portal_C	v1	ELRC-4270-NTEU_TierA	v1	1836	7252413	35	1.90	0
ELRC-40-Information_Portal_C	v1	ELRC-4269-NTEU_TierA	v1	1836	7234848	35	1.90	0
ELRC-40-Information_Portal_C	v1	ELRC-4239-NTEU_TierA	v1	1836	11906559	34	1.85	0
ELRC-40-Information_Portal_C	v1	ELRC-4271-NTEU_TierA	v1	1836	7211577	31	1.68	0
ELRC-40-Information_Portal_C	v1	EUbookshop	v2	1836	46038769	30	1.63	0
ELRC-40-Information_Portal_C	v1	ELRC-4248-NTEU_TierA	v1	1836	12854274	30	1.63	0
ELRC-40-Information_Portal_C	v1	OpenSubtitles	v2018	1836	102548132	29	1.57	0
ELRC-40-Information_Portal_C	v1	ELRC-4268-NTEU_TierA	v1	1836	11782507	29	1.57	0
ELRC-40-Information_Portal_C	v1	wikimedia	v20210402	1836	11389460	29	1.57	0
ELRC-40-Information_Portal_C	v1	TildeMODEL	v2018	1836	5686357	26	1.41	0
ELRC-40-Information_Portal_C	v1	ELRC-4154-NTEU_TierA	v1	1836	7119873	25	1.36	0
ELRC-40-Information_Portal_C	v1	WikiTitles	v3	1836	2348300	24	1.30	0
ELRC-40-Information_Portal_C	v1	ELRC-4142-NTEU_TierA	v1	1836	2152367	23	1.25	0
ELRC-40-Information_Portal_C	v1	WikiMatrix	v1	1836	47707259	22	1.19	0
ELRC-40-Information_Portal_C	v1	giga-fren	v2	1836	20786998	18	.98	0
ELRC-40-Information_Portal_C	v1	Samanantar	v0.2	1836	16891660	16	.87	0
ELRC-40-Information_Portal_C	v1	JRC-Acquis	v3.0	1836	1923776	14	.76	0
ELRC-40-Information_Portal_C	v1	IITB	v2.0	1836	1105433	14	.76	0
ELRC-40-Information_Portal_C	v1	ELRC-396-Foreign_Affairs_Norw	v1	1836	669717	13	.70	0
ELRC-40-Information_Portal_C	v1	Wikipedia	v1.0	1836	7646905	11	.59	0
ELRC-40-Information_Portal_C	v1	ParIce	v1	1836	1364589	11	.59	0
ELRC-40-Information_Portal_C	v1	wikimedia	v20190628	1836	352711	11	.59	0
ELRC-40-Information_Portal_C	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	1836	279832	11	.59	0
ELRC-40-Information_Portal_C	v1	ELRC-2410-Portal_oficial_turis	v1	1836	185841	11	.59	0
ELRC-40-Information_Portal_C	v1	JParaCrawl	v3.0	1836	22179932	10	.54	0
ELRC-40-Information_Portal_C	v1	KFTT	v1.0	1836	433311	9	.49	0
ELRC-40-Information_Portal_C	v1	ECB	v1	1836	376581	9	.49	0
ELRC-40-Information_Portal_C	v1	SPC	v1	1836	59926	9	.49	.01
ELRC-40-Information_Portal_C	v1	SciELO	v1	1836	3061142	8	.43	0
