corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-416-Swedish_Social_Secur	v1	ELRC_416	v1	30	29	29	96.66	100.00
ELRC-416-Swedish_Social_Secur	v1	CCAligned	v1	30	8792737	2	6.66	0
ELRC-416-Swedish_Social_Secur	v1	XLEnt	v1.1	30	2799832	2	6.66	0
ELRC-416-Swedish_Social_Secur	v1	XLEnt	v1	30	2799832	2	6.66	0
ELRC-416-Swedish_Social_Secur	v1	OpenSubtitles	v2018	30	33318146	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ParaCrawl	v9	30	21402043	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-EMEA	v1	30	774830	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-2711-EMEA	v1	30	774829	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-5067-SciPar	v1	30	742987	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	WikiMatrix	v1	30	620802	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ELITR-ECA	v1	30	329071	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	TED2020	v1	30	262648	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	wikimedia	v20210402	30	229838	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	GlobalVoices	v2018q4	30	112880	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	Tatoeba	v2022-03-03	30	24112	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	Tatoeba	v2021-07-22	30	23813	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	Tatoeba	v2021-03-10	30	23365	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-3562-EUR_LEX_covid	v1	30	23018	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-EUR_LEX	v1	30	23018	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	Tatoeba	v2020-11-09	30	22908	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-1175-EUIPO_2017	v1	30	20025	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-EUIPO_2017	v1	30	20025	1	3.33	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-842-Quarterly_Reports_Pa	v1	30	16713	1	3.33	0
