corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-416-Swedish_Social_Secur	v1	ELRC_416	v1	482	482	482	100.00	100.00
ELRC-416-Swedish_Social_Secur	v1	MultiCCAligned	v1.1	482	88133854	78	16.18	0
ELRC-416-Swedish_Social_Secur	v1	CCAligned	v1	482	88133814	78	16.18	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-4168-NTEU_TierA	v1	482	8944148	64	13.27	0
ELRC-416-Swedish_Social_Secur	v1	MultiParaCrawl	v8	482	264638796	62	12.86	0
ELRC-416-Swedish_Social_Secur	v1	MultiParaCrawl	v9	482	227109648	61	12.65	0
ELRC-416-Swedish_Social_Secur	v1	MultiParaCrawl	v9b	482	227109648	61	12.65	0
ELRC-416-Swedish_Social_Secur	v1	ParaCrawl	v9	482	227109648	61	12.65	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-4140-NTEU_TierA	v1	482	11847174	61	12.65	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-4255-NTEU_TierA	v1	482	5518741	61	12.65	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-4207-NTEU_TierA	v1	482	5212322	61	12.65	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-4153-NTEU_TierA	v1	482	9409919	60	12.44	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-4233-NTEU_TierA	v1	482	5911242	60	12.44	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-4158-NTEU_TierA	v1	482	6001855	59	12.24	0
ELRC-416-Swedish_Social_Secur	v1	UNPC	v1.0	482	21411299	53	10.99	0
ELRC-416-Swedish_Social_Secur	v1	TildeMODEL	v2018	482	3824504	53	10.99	0
ELRC-416-Swedish_Social_Secur	v1	DOGC	v2	482	4535440	52	10.78	0
ELRC-416-Swedish_Social_Secur	v1	ELRC-4236-NTEU_TierA	v1	482	1385002	46	9.54	0
ELRC-416-Swedish_Social_Secur	v1	JRC-Acquis	v3.0	482	2003965	44	9.12	0
ELRC-416-Swedish_Social_Secur	v1	OpenSubtitles	v2018	482	74593385	42	8.71	0
ELRC-416-Swedish_Social_Secur	v1	DOGC	v3	482	8128208	39	8.09	0
ELRC-416-Swedish_Social_Secur	v1	Elhuyar	v1	482	584951	35	7.26	0
