corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-4168-NTEU_TierA	v1	ELRC-4239-NTEU_TierA	v1	8893468	12000033	8283279	93.13	69.02
ELRC-4168-NTEU_TierA	v1	ELRC-4166-NTEU_TierA	v1	8893468	9385448	8160082	91.75	86.94
ELRC-4168-NTEU_TierA	v1	ELRC-4147-NTEU_TierA	v1	8893468	9003388	8097892	91.05	89.94
ELRC-4168-NTEU_TierA	v1	ELRC-4196-NTEU_TierA	v1	8893468	8845645	8084190	90.90	91.39
ELRC-4168-NTEU_TierA	v1	ELRC-4272-NTEU_TierA	v1	8893468	8927012	8053689	90.55	90.21
ELRC-4168-NTEU_TierA	v1	ELRC-4275-NTEU_TierA	v1	8893468	8881307	8024824	90.23	90.35
ELRC-4168-NTEU_TierA	v1	ELRC-4249-NTEU_TierA	v1	8893468	10549680	7841227	88.16	74.32
ELRC-4168-NTEU_TierA	v1	ELRC-4258-NTEU_TierA	v1	8893468	10876529	7610158	85.57	69.96
ELRC-4168-NTEU_TierA	v1	ELRC-4259-NTEU_TierA	v1	8893468	7936890	7173588	80.66	90.38
ELRC-4168-NTEU_TierA	v1	ELRC-4252-NTEU_TierA	v1	8893468	5204694	4823953	54.24	92.68
ELRC-4168-NTEU_TierA	v1	ELRC-4141-NTEU_TierA	v1	8893468	5195405	4815672	54.14	92.69
ELRC-4168-NTEU_TierA	v1	ELRC-4267-NTEU_TierA	v1	8893468	5194297	4793766	53.90	92.28
ELRC-4168-NTEU_TierA	v1	ELRC-4187-NTEU_TierA	v1	8893468	5170398	4786789	53.82	92.58
ELRC-4168-NTEU_TierA	v1	ELRC-4221-NTEU_TierA	v1	8893468	5164055	4787043	53.82	92.69
ELRC-4168-NTEU_TierA	v1	ELRC-4156-NTEU_TierA	v1	8893468	5176540	4781729	53.76	92.37
ELRC-4168-NTEU_TierA	v1	ELRC-4179-NTEU_TierA	v1	8893468	5132906	4743570	53.33	92.41
ELRC-4168-NTEU_TierA	v1	ELRC-4134-NTEU_TierA	v1	8893468	5091076	4721903	53.09	92.74
ELRC-4168-NTEU_TierA	v1	ELRC-4263-NTEU_TierA	v1	8893468	3696037	3436388	38.63	92.97
ELRC-4168-NTEU_TierA	v1	ELRC-4261-NTEU_TierA	v1	8893468	3891187	3430730	38.57	88.16
ELRC-4168-NTEU_TierA	v1	ELRC-4287-NTEU_TierA	v1	8893468	3638039	3382894	38.03	92.98
ELRC-4168-NTEU_TierA	v1	Europarl	v8	8893468	2099912	1782754	20.04	84.89
ELRC-4168-NTEU_TierA	v1	EUbookshop	v2	8893468	2792450	1733231	19.48	62.06
ELRC-4168-NTEU_TierA	v1	ELRC-4150-NTEU_TierA	v1	8893468	1345552	1319484	14.83	98.06
ELRC-4168-NTEU_TierA	v1	CCMatrix	v1	8893468	90246740	521604	5.86	.57
ELRC-4168-NTEU_TierA	v1	ELRC-4167-NTEU_TierA	v1	8893468	261959	247713	2.78	94.56
ELRC-4168-NTEU_TierA	v1	TildeMODEL	v2018	8893468	3143956	223032	2.50	7.09
ELRC-4168-NTEU_TierA	v1	MultiParaCrawl	v9	8893468	23583749	158823	1.78	.67
ELRC-4168-NTEU_TierA	v1	MultiParaCrawl	v9b	8893468	23583749	158823	1.78	.67
ELRC-4168-NTEU_TierA	v1	ParaCrawl	v9	8893468	23583749	158823	1.78	.67
ELRC-4168-NTEU_TierA	v1	JRC-Acquis	v3.0	8893468	710235	159168	1.78	22.41
ELRC-4168-NTEU_TierA	v1	ECB	v1	8893468	315946	150486	1.69	47.63
ELRC-4168-NTEU_TierA	v1	MultiParaCrawl	v8	8893468	12121417	121164	1.36	.99
ELRC-4168-NTEU_TierA	v1	ELRC-5179-acts_Ukrainian	v1	8893468	124370	90335	1.01	72.63
ELRC-4168-NTEU_TierA	v1	EMEA	v3	8893468	337200	56937	.64	16.88
ELRC-4168-NTEU_TierA	v1	MultiCCAligned	v1.1	8893468	9512193	29429	.33	.30
ELRC-4168-NTEU_TierA	v1	CCAligned	v1	8893468	9512180	29429	.33	.30
ELRC-4168-NTEU_TierA	v1	Finlex	v2018	8893468	2112806	21074	.23	.99
ELRC-4168-NTEU_TierA	v1	XLEnt	v1.1	8893468	2221273	19964	.22	.89
ELRC-4168-NTEU_TierA	v1	XLEnt	v1	8893468	2221273	19964	.22	.89
ELRC-4168-NTEU_TierA	v1	OpenSubtitles	v2018	8893468	24825704	11704	.13	.04
ELRC-4168-NTEU_TierA	v1	ELRC-EMEA	v1	8893468	709935	7016	.07	.98
ELRC-4168-NTEU_TierA	v1	ELRC-2708-EMEA	v1	8893468	709934	7016	.07	.98
ELRC-4168-NTEU_TierA	v1	fiskmo	v2	8893468	1454469	4958	.05	.34
ELRC-4168-NTEU_TierA	v1	EUconst	v1	8893468	6593	4116	.04	62.42
ELRC-4168-NTEU_TierA	v1	KDE4	v2	8893468	79803	2863	.03	3.58
ELRC-4168-NTEU_TierA	v1	OpenSubtitles	v1	8893468	412095	1856	.02	.45
ELRC-4168-NTEU_TierA	v1	QED	v2.0a	8893468	144628	1003	.01	.69
ELRC-4168-NTEU_TierA	v1	Mozilla-I10n	v1	8893468	37271	1754	.01	4.70
ELRC-4168-NTEU_TierA	v1	DGT	v2019	8893468	950	914	.01	96.21
ELRC-4168-NTEU_TierA	v1	WikiMatrix	v1	8893468	5716013	551	0	0
ELRC-4168-NTEU_TierA	v1	ELRC-5067-SciPar	v1	8893468	457701	31	0	0
ELRC-4168-NTEU_TierA	v1	Tatoeba	v2022-03-03	8893468	141360	845	0	.59
ELRC-4168-NTEU_TierA	v1	Tatoeba	v2021-03-10	8893468	125553	803	0	.63
ELRC-4168-NTEU_TierA	v1	Tatoeba	v2021-07-22	8893468	122938	766	0	.62
ELRC-4168-NTEU_TierA	v1	Tatoeba	v2020-11-09	8893468	119686	782	0	.65
ELRC-4168-NTEU_TierA	v1	Tatoeba	v2020-05-31	8893468	116154	764	0	.65
ELRC-4168-NTEU_TierA	v1	Tatoeba	v20190709	8893468	99159	682	0	.68
ELRC-4168-NTEU_TierA	v1	wikimedia	v20210402	8893468	63896	511	0	.79
ELRC-4168-NTEU_TierA	v1	ELRA-W0220	v1	8893468	55335	623	0	1.12
ELRC-4168-NTEU_TierA	v1	ELRC-724-Hallituskausi_2007_2	v1	8893468	55335	623	0	1.12
ELRC-4168-NTEU_TierA	v1	TED2020	v1	8893468	49500	361	0	.72
ELRC-4168-NTEU_TierA	v1	ELRC-1769-valtioneuvosto.fi	v1	8893468	48802	425	0	.87
ELRC-4168-NTEU_TierA	v1	ELRC-valtioneuvosto.fi	v1	8893468	48802	425	0	.87
ELRC-4168-NTEU_TierA	v1	ELRC-735-www.norden.org	v1	8893468	42411	197	0	.46
ELRC-4168-NTEU_TierA	v1	ELRC-www.norden.org	v1	8893468	42411	197	0	.46
