corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-417-Swedish_Work_Environ	v1	CCAligned	v1	7028	405094222	329	4.68	0
ELRC-417-Swedish_Work_Environ	v1	ParaCrawl	v9	7028	877766608	325	4.62	0
ELRC-417-Swedish_Work_Environ	v1	ELRC-4248-NTEU_TierA	v1	7028	12854274	216	3.07	0
ELRC-417-Swedish_Work_Environ	v1	ELRC-4269-NTEU_TierA	v1	7028	7234848	207	2.94	0
ELRC-417-Swedish_Work_Environ	v1	ELRC-4268-NTEU_TierA	v1	7028	11782507	206	2.93	0
ELRC-417-Swedish_Work_Environ	v1	ELRC-4271-NTEU_TierA	v1	7028	7211577	206	2.93	0
ELRC-417-Swedish_Work_Environ	v1	ELRC-4270-NTEU_TierA	v1	7028	7252413	202	2.87	0
ELRC-417-Swedish_Work_Environ	v1	ELRC-4239-NTEU_TierA	v1	7028	11906559	201	2.85	0
ELRC-417-Swedish_Work_Environ	v1	ELRC-4154-NTEU_TierA	v1	7028	7119873	196	2.78	0
ELRC-417-Swedish_Work_Environ	v1	EUbookshop	v2	7028	46038769	172	2.44	0
ELRC-417-Swedish_Work_Environ	v1	StanfordNLP-NMT	v1.0	7028	14386355	171	2.43	0
ELRC-417-Swedish_Work_Environ	v1	ELRC-4142-NTEU_TierA	v1	7028	2152367	154	2.19	0
ELRC-417-Swedish_Work_Environ	v1	TildeMODEL	v2018	7028	5686357	153	2.17	0
ELRC-417-Swedish_Work_Environ	v1	UNPC	v1.0	7028	23776005	147	2.09	0
ELRC-417-Swedish_Work_Environ	v1	LinguaTools-WikiTitles	v2014	7028	8265652	147	2.09	0
ELRC-417-Swedish_Work_Environ	v1	JRC-Acquis	v3.0	7028	1923776	141	2.00	0
ELRC-417-Swedish_Work_Environ	v1	ParIce	v1	7028	1364589	139	1.97	.01
ELRC-417-Swedish_Work_Environ	v1	wikimedia	v20210402	7028	11389460	135	1.92	0
ELRC-417-Swedish_Work_Environ	v1	ELRC-396-Foreign_Affairs_Norw	v1	7028	669717	130	1.84	.01
ELRC-417-Swedish_Work_Environ	v1	giga-fren	v2	7028	20786998	119	1.69	0
ELRC-417-Swedish_Work_Environ	v1	XLEnt	v1.1	7028	53628082	115	1.63	0
ELRC-417-Swedish_Work_Environ	v1	XLEnt	v1.2	7028	53628082	115	1.63	0
ELRC-417-Swedish_Work_Environ	v1	XLEnt	v1	7028	53628082	115	1.63	0
ELRC-417-Swedish_Work_Environ	v1	IITB	v2.0	7028	1105433	115	1.63	.01
