corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-4210-NTEU_TierA	v1	ELRC-4163-NTEU_TierA	v1	5975576	6155441	5687008	95.17	92.38
ELRC-4210-NTEU_TierA	v1	ELRC-4199-NTEU_TierA	v1	5975576	6001391	5672287	94.92	94.51
ELRC-4210-NTEU_TierA	v1	ELRC-4133-NTEU_TierA	v1	5975576	6234288	5652739	94.59	90.67
ELRC-4210-NTEU_TierA	v1	ELRC-4186-NTEU_TierA	v1	5975576	6262905	5624095	94.11	89.80
ELRC-4210-NTEU_TierA	v1	ELRC-4158-NTEU_TierA	v1	5975576	5962071	5613740	93.94	94.15
ELRC-4210-NTEU_TierA	v1	ELRC-4218-NTEU_TierA	v1	5975576	5950940	5613126	93.93	94.32
ELRC-4210-NTEU_TierA	v1	ELRC-4138-NTEU_TierA	v1	5975576	6032328	5612391	93.92	93.03
ELRC-4210-NTEU_TierA	v1	ELRC-4246-NTEU_TierA	v1	5975576	5799265	5443405	91.09	93.86
ELRC-4210-NTEU_TierA	v1	ELRC-4280-NTEU_TierA	v1	5975576	5963160	5432587	90.91	91.10
ELRC-4210-NTEU_TierA	v1	ELRC-4271-NTEU_TierA	v1	5975576	7312708	5364688	89.77	73.36
ELRC-4210-NTEU_TierA	v1	ELRC-4240-NTEU_TierA	v1	5975576	6766037	5299068	88.67	78.31
ELRC-4210-NTEU_TierA	v1	ELRC-4148-NTEU_TierA	v1	5975576	5766863	5188798	86.83	89.97
ELRC-4210-NTEU_TierA	v1	ELRC-4206-NTEU_TierA	v1	5975576	5720488	5143431	86.07	89.91
ELRC-4210-NTEU_TierA	v1	ELRC-4257-NTEU_TierA	v1	5975576	5562975	5023493	84.06	90.30
ELRC-4210-NTEU_TierA	v1	ELRC-4173-NTEU_TierA	v1	5975576	5559965	5017732	83.97	90.24
ELRC-4210-NTEU_TierA	v1	ELRC-4252-NTEU_TierA	v1	5975576	5223229	4879268	81.65	93.41
ELRC-4210-NTEU_TierA	v1	ELRC-4225-NTEU_TierA	v1	5975576	5076042	4779904	79.99	94.16
ELRC-4210-NTEU_TierA	v1	ELRC-4230-NTEU_TierA	v1	5975576	4078050	3755038	62.83	92.07
ELRC-4210-NTEU_TierA	v1	ELRC-4231-NTEU_TierA	v1	5975576	4043422	3577428	59.86	88.47
ELRC-4210-NTEU_TierA	v1	ELRC-4285-NTEU_TierA	v1	5975576	3864008	3526519	59.01	91.26
ELRC-4210-NTEU_TierA	v1	DGT	v4	5975576	1841918	1752368	29.32	95.13
ELRC-4210-NTEU_TierA	v1	ELRC-4201-NTEU_TierA	v1	5975576	1370000	1325941	22.18	96.78
ELRC-4210-NTEU_TierA	v1	JRC-Acquis	v3.0	5975576	2127694	1048311	17.54	49.26
ELRC-4210-NTEU_TierA	v1	CCMatrix	v1	5975576	31007083	475994	7.96	1.53
ELRC-4210-NTEU_TierA	v1	NLLB	v1	5975576	30756250	475344	7.95	1.54
ELRC-4210-NTEU_TierA	v1	Europarl	v8	5975576	653015	454147	7.60	69.54
ELRC-4210-NTEU_TierA	v1	Europarl	v7	5975576	652638	454142	7.59	69.58
ELRC-4210-NTEU_TierA	v1	EUbookshop	v2	5975576	512391	339276	5.67	66.21
ELRC-4210-NTEU_TierA	v1	EOPC	v2022	5975576	1788396	304975	5.10	17.05
ELRC-4210-NTEU_TierA	v1	TildeMODEL	v2018	5975576	2074632	289351	4.84	13.94
ELRC-4210-NTEU_TierA	v1	EMEA	v3	5975576	299520	261231	4.37	87.21
ELRC-4210-NTEU_TierA	v1	ELRC-4164-NTEU_TierA	v1	5975576	233794	221775	3.71	94.85
ELRC-4210-NTEU_TierA	v1	MultiParaCrawl	v9	5975576	7032296	150824	2.52	2.14
ELRC-4210-NTEU_TierA	v1	MultiParaCrawl	v9b	5975576	7032296	150824	2.52	2.14
ELRC-4210-NTEU_TierA	v1	ParaCrawl	v9	5975576	7032296	150824	2.52	2.14
ELRC-4210-NTEU_TierA	v1	HPLT	v1	5975576	5498414	139613	2.33	2.53
ELRC-4210-NTEU_TierA	v1	MultiHPLT	v1	5975576	5498414	139613	2.33	2.53
ELRC-4210-NTEU_TierA	v1	MultiParaCrawl	v8	5975576	6718000	136463	2.28	2.03
ELRC-4210-NTEU_TierA	v1	ParaCrawl	v8	5975576	6718000	136463	2.28	2.03
ELRC-4210-NTEU_TierA	v1	ECB	v1	5975576	224522	100930	1.68	44.95
ELRC-4210-NTEU_TierA	v1	ELRC-5179-acts_Ukrainian	v1	5975576	125665	96718	1.61	76.96
ELRC-4210-NTEU_TierA	v1	ELRC_2682	v1	5975576	724177	76438	1.27	10.55
ELRC-4210-NTEU_TierA	v1	ELRC-2723-EMEA	v1	5975576	724177	76437	1.27	10.55
ELRC-4210-NTEU_TierA	v1	ELRC-EMEA	v1	5975576	724177	76438	1.27	10.55
ELRC-4210-NTEU_TierA	v1	CCAligned	v1	5975576	4354555	35577	.59	.81
ELRC-4210-NTEU_TierA	v1	MultiCCAligned	v1.1	5975576	4354555	35577	.59	.81
ELRC-4210-NTEU_TierA	v1	MultiCCAligned	v1	5975576	4354555	35577	.59	.81
ELRC-4210-NTEU_TierA	v1	MultiParaCrawl	v7.1	5975576	3052279	17244	.28	.56
ELRC-4210-NTEU_TierA	v1	ParaCrawl	v7.1	5975576	3052279	17244	.28	.56
ELRC-4210-NTEU_TierA	v1	XLEnt	v1.1	5975576	1445285	13593	.22	.94
ELRC-4210-NTEU_TierA	v1	XLEnt	v1.2	5975576	1445285	13593	.22	.94
ELRC-4210-NTEU_TierA	v1	XLEnt	v1	5975576	1445285	13593	.22	.94
ELRC-4210-NTEU_TierA	v1	OpenSubtitles	v2018	5975576	10653542	5841	.09	.05
ELRC-4210-NTEU_TierA	v1	OpenSubtitles	v2016	5975576	8829129	5188	.08	.05
ELRC-4210-NTEU_TierA	v1	OpenSubtitles	v2012	5975576	5042792	4094	.06	.08
ELRC-4210-NTEU_TierA	v1	EUconst	v1	5975576	6621	3595	.06	54.29
ELRC-4210-NTEU_TierA	v1	MultiParaCrawl	v5	5975576	1431163	3006	.05	.21
ELRC-4210-NTEU_TierA	v1	ParaCrawl	v5	5975576	1431163	3006	.05	.21
ELRC-4210-NTEU_TierA	v1	ParaCrawl	v4	5975576	928739	3403	.05	.36
ELRC-4210-NTEU_TierA	v1	ParaCrawl	v1	5975576	924839	3378	.05	.36
ELRC-4210-NTEU_TierA	v1	KDE4	v2	5975576	179302	3311	.05	1.84
ELRC-4210-NTEU_TierA	v1	OpenSubtitles	v2013	5975576	2566968	2972	.04	.11
ELRC-4210-NTEU_TierA	v1	ELRA-W0167	v1	5975576	45411	2052	.03	4.51
ELRC-4210-NTEU_TierA	v1	ELRC-429-Legal_Estonian_Justi	v1	5975576	45411	2052	.03	4.51
ELRC-4210-NTEU_TierA	v1	ECDC	v2016-03-16	5975576	2481	2304	.03	92.86
ELRC-4210-NTEU_TierA	v1	Mozilla-I10n	v1	5975576	23711	1209	.02	5.09
ELRC-4210-NTEU_TierA	v1	QED	v2.0a	5975576	302725	914	.01	.30
ELRC-4210-NTEU_TierA	v1	OpenSubtitles	v1	5975576	122443	633	.01	.51
ELRC-4210-NTEU_TierA	v1	ELRC-2457-Estonian_Classificat	v1	5975576	6383	852	.01	13.34
ELRC-4210-NTEU_TierA	v1	DGT	v2019	5975576	974	928	.01	95.27
ELRC-4210-NTEU_TierA	v1	WikiMatrix	v1	5975576	2014166	520	0	.02
ELRC-4210-NTEU_TierA	v1	ELRC-5067-SciPar	v1	5975576	83934	25	0	.02
ELRC-4210-NTEU_TierA	v1	wikimedia	v20230407	5975576	49809	419	0	.84
ELRC-4210-NTEU_TierA	v1	wikimedia	v20210402	5975576	37678	330	0	.87
ELRC-4210-NTEU_TierA	v1	ELRC-939-vp2006_2016.presiden	v1	5975576	28568	95	0	.33
ELRC-4210-NTEU_TierA	v1	ELRA-W0168	v1	5975576	26821	26	0	.09
ELRC-4210-NTEU_TierA	v1	ELRC-431-Estonian_Foreign_Aff	v1	5975576	26821	26	0	.09
ELRC-4210-NTEU_TierA	v1	TED2020	v1	5975576	26254	148	0	.56
ELRC-4210-NTEU_TierA	v1	ELRC-938-vp2001_2006.presiden	v1	5975576	24889	58	0	.23
ELRC-4210-NTEU_TierA	v1	ELRC-EUR_LEX	v1	5975576	21894	297	0	1.35
ELRC-4210-NTEU_TierA	v1	infopankki	v1	5975576	17375	250	0	1.43
ELRC-4210-NTEU_TierA	v1	ELRC-2016-EUIPO_2017	v1	5975576	16798	412	0	2.45
ELRC-4210-NTEU_TierA	v1	ELRC-EUIPO_2017	v1	5975576	16798	412	0	2.45
ELRC-4210-NTEU_TierA	v1	ELRC-937-vp1992_2001.presiden	v1	5975576	16507	37	0	.22
ELRC-4210-NTEU_TierA	v1	ELRC-411-Bank_Estonia	v1	5975576	15958	400	0	2.50
