corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-4241-NTEU_TierA	v1	ELRC-4142-NTEU_TierA	v1	1742195	2270641	1716732	98.53	75.60
ELRC-4241-NTEU_TierA	v1	ELRC-4198-NTEU_TierA	v1	1742195	1787413	1643389	94.32	91.94
ELRC-4241-NTEU_TierA	v1	ELRC-4219-NTEU_TierA	v1	1742195	1480464	1431390	82.16	96.68
ELRC-4241-NTEU_TierA	v1	ELRC-4152-NTEU_TierA	v1	1742195	1487037	1431044	82.14	96.23
ELRC-4241-NTEU_TierA	v1	ELRC-4201-NTEU_TierA	v1	1742195	1481224	1428914	82.01	96.46
ELRC-4241-NTEU_TierA	v1	ELRC-4236-NTEU_TierA	v1	1742195	1480700	1428761	82.00	96.49
ELRC-4241-NTEU_TierA	v1	ELRC-4254-NTEU_TierA	v1	1742195	1479052	1425613	81.82	96.38
ELRC-4241-NTEU_TierA	v1	ELRC-4185-NTEU_TierA	v1	1742195	1664644	1424258	81.75	85.55
ELRC-4241-NTEU_TierA	v1	ELRC-4193-NTEU_TierA	v1	1742195	1637947	1422832	81.66	86.86
ELRC-4241-NTEU_TierA	v1	ELRC-4260-NTEU_TierA	v1	1742195	1474564	1421717	81.60	96.41
ELRC-4241-NTEU_TierA	v1	ELRC-4229-NTEU_TierA	v1	1742195	1468849	1421718	81.60	96.79
ELRC-4241-NTEU_TierA	v1	ELRC-4174-NTEU_TierA	v1	1742195	1460366	1421572	81.59	97.34
ELRC-4241-NTEU_TierA	v1	ELRC-4209-NTEU_TierA	v1	1742195	1475737	1420748	81.54	96.27
ELRC-4241-NTEU_TierA	v1	ELRC-4266-NTEU_TierA	v1	1742195	1471464	1419606	81.48	96.47
ELRC-4241-NTEU_TierA	v1	ELRC-4197-NTEU_TierA	v1	1742195	1472103	1417800	81.38	96.31
ELRC-4241-NTEU_TierA	v1	ELRC-4180-NTEU_TierA	v1	1742195	1454907	1415411	81.24	97.28
ELRC-4241-NTEU_TierA	v1	ELRC-4283-NTEU_TierA	v1	1742195	1632859	1414841	81.21	86.64
ELRC-4241-NTEU_TierA	v1	ELRC-4192-NTEU_TierA	v1	1742195	1466894	1413948	81.15	96.39
ELRC-4241-NTEU_TierA	v1	ELRC-4170-NTEU_TierA	v1	1742195	1463163	1412347	81.06	96.52
ELRC-4241-NTEU_TierA	v1	ELRC-4150-NTEU_TierA	v1	1742195	1465451	1411235	81.00	96.30
ELRC-4241-NTEU_TierA	v1	ELRC-4277-NTEU_TierA	v1	1742195	1457471	1411192	81.00	96.82
ELRC-4241-NTEU_TierA	v1	TildeMODEL	v2018	1742195	772288	237146	13.61	30.70
ELRC-4241-NTEU_TierA	v1	CCMatrix	v1	1742195	20457760	171352	9.83	.83
ELRC-4241-NTEU_TierA	v1	NLLB	v1	1742195	20457686	171351	9.83	.83
ELRC-4241-NTEU_TierA	v1	ELRC-4242-NTEU_TierA	v1	1742195	170538	168712	9.68	98.92
ELRC-4241-NTEU_TierA	v1	MaCoCu	v2	1742195	2327636	90910	5.21	3.90
ELRC-4241-NTEU_TierA	v1	MultiMaCoCu	v2	1742195	2327636	90910	5.21	3.90
ELRC-4241-NTEU_TierA	v1	MultiParaCrawl	v8	1742195	8838591	76833	4.41	.86
ELRC-4241-NTEU_TierA	v1	ParaCrawl	v8	1742195	8838591	76833	4.41	.86
ELRC-4241-NTEU_TierA	v1	HPLT	v1	1742195	8309633	73269	4.20	.88
ELRC-4241-NTEU_TierA	v1	MultiHPLT	v1	1742195	8309633	73269	4.20	.88
ELRC-4241-NTEU_TierA	v1	MultiParaCrawl	v7.1	1742195	6600910	65961	3.78	.99
ELRC-4241-NTEU_TierA	v1	ParaCrawl	v7.1	1742195	6600910	65961	3.78	.99
ELRC-4241-NTEU_TierA	v1	ELRC-5179-acts_Ukrainian	v1	1742195	136054	62039	3.56	45.59
ELRC-4241-NTEU_TierA	v1	MultiParaCrawl	v9	1742195	2831458	48309	2.77	1.70
ELRC-4241-NTEU_TierA	v1	MultiParaCrawl	v9b	1742195	2831458	48309	2.77	1.70
ELRC-4241-NTEU_TierA	v1	ParaCrawl	v9	1742195	2831458	48309	2.77	1.70
ELRC-4241-NTEU_TierA	v1	MultiCCAligned	v1.1	1742195	8500546	14322	.82	.16
ELRC-4241-NTEU_TierA	v1	MultiCCAligned	v1	1742195	8500546	14322	.82	.16
ELRC-4241-NTEU_TierA	v1	CCAligned	v1	1742195	8500544	14322	.82	.16
ELRC-4241-NTEU_TierA	v1	XLEnt	v1.1	1742195	2264358	9524	.54	.42
ELRC-4241-NTEU_TierA	v1	XLEnt	v1	1742195	2264358	9524	.54	.42
ELRC-4241-NTEU_TierA	v1	XLEnt	v1.2	1742195	2264358	9524	.54	.42
ELRC-4241-NTEU_TierA	v1	EUbookshop	v2	1742195	7894	4953	.28	62.74
ELRC-4241-NTEU_TierA	v1	OpenSubtitles	v2018	1742195	39548183	3316	.19	0
ELRC-4241-NTEU_TierA	v1	MultiParaCrawl	v5	1742195	1931881	3023	.17	.15
ELRC-4241-NTEU_TierA	v1	ParaCrawl	v5	1742195	1931881	3023	.17	.15
ELRC-4241-NTEU_TierA	v1	ParaCrawl	v4	1742195	1116606	3067	.17	.27
ELRC-4241-NTEU_TierA	v1	OpenSubtitles	v2016	1742195	31276867	2932	.16	0
ELRC-4241-NTEU_TierA	v1	OpenSubtitles	v2012	1742195	13095899	1917	.11	.01
ELRC-4241-NTEU_TierA	v1	ELRC-2542-Agriculture	v1	1742195	68163	1974	.11	2.89
ELRC-4241-NTEU_TierA	v1	OpenSubtitles	v2013	1742195	11110397	1624	.09	.01
ELRC-4241-NTEU_TierA	v1	ELRC-2866-EU_publications_medi	v1	1742195	13680	1640	.09	11.98
ELRC-4241-NTEU_TierA	v1	ELRC-EU_publications	v1	1742195	13680	1640	.09	11.98
ELRC-4241-NTEU_TierA	v1	ELRC-2706-EMEA	v1	1742195	612827	1300	.07	.21
ELRC-4241-NTEU_TierA	v1	ELRC-EMEA	v1	1742195	612827	1300	.07	.21
ELRC-4241-NTEU_TierA	v1	KDE4	v2	1742195	58789	1367	.07	2.32
ELRC-4241-NTEU_TierA	v1	Mozilla-I10n	v1	1742195	36194	1110	.06	3.06
ELRC-4241-NTEU_TierA	v1	ELRC-4329-PRINCIPLE_MVEP_legal	v1	1742195	50614	881	.05	1.74
ELRC-4241-NTEU_TierA	v1	ELRC-3556-EUR_LEX_covid	v1	1742195	23554	797	.04	3.38
ELRC-4241-NTEU_TierA	v1	ELRC-EUR_LEX	v1	1742195	23554	797	.04	3.38
ELRC-4241-NTEU_TierA	v1	wikimedia	v20230407	1742195	77905	551	.03	.70
ELRC-4241-NTEU_TierA	v1	ELRC-1174-EUIPO_2017	v1	1742195	16844	570	.03	3.38
ELRC-4241-NTEU_TierA	v1	ELRC-EUIPO_2017	v1	1742195	16844	570	.03	3.38
