corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-485-Civil_Aviation_Regul	v1	ELRA-W0186	v1	2403	2462	1470	61.17	59.70
ELRC-485-Civil_Aviation_Regul	v1	CCAligned	v1	2403	405094222	100	4.16	0
ELRC-485-Civil_Aviation_Regul	v1	ParaCrawl	v9	2403	877766608	97	4.03	0
ELRC-485-Civil_Aviation_Regul	v1	JRC-Acquis	v3.0	2403	1923776	69	2.87	0
ELRC-485-Civil_Aviation_Regul	v1	giga-fren	v2	2403	20786998	66	2.74	0
ELRC-485-Civil_Aviation_Regul	v1	ELRC-4268-NTEU_TierA	v1	2403	11782507	61	2.53	0
ELRC-485-Civil_Aviation_Regul	v1	ELRC-4248-NTEU_TierA	v1	2403	12854274	60	2.49	0
ELRC-485-Civil_Aviation_Regul	v1	TildeMODEL	v2018	2403	5686357	60	2.49	0
ELRC-485-Civil_Aviation_Regul	v1	ELRC-396-Foreign_Affairs_Norw	v1	2403	669717	60	2.49	0
ELRC-485-Civil_Aviation_Regul	v1	ELRC-4271-NTEU_TierA	v1	2403	7211577	57	2.37	0
ELRC-485-Civil_Aviation_Regul	v1	EuroPat	v3	2403	79873063	56	2.33	0
ELRC-485-Civil_Aviation_Regul	v1	ELRC-4239-NTEU_TierA	v1	2403	11906559	56	2.33	0
ELRC-485-Civil_Aviation_Regul	v1	ELRC-4270-NTEU_TierA	v1	2403	7252413	56	2.33	0
ELRC-485-Civil_Aviation_Regul	v1	ELRC-4269-NTEU_TierA	v1	2403	7234848	56	2.33	0
ELRC-485-Civil_Aviation_Regul	v1	ELRC-4154-NTEU_TierA	v1	2403	7119873	56	2.33	0
ELRC-485-Civil_Aviation_Regul	v1	EuroPat	v2	2403	70531170	50	2.08	0
ELRC-485-Civil_Aviation_Regul	v1	EuroPat	v1	2403	22132306	50	2.08	0
ELRC-485-Civil_Aviation_Regul	v1	wikimedia	v20210402	2403	11389460	50	2.08	0
