corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-4993-Basque_Wikinews_MT	v1	Elhuyar	v1	1824	607763	10	.54	0
ELRC-4993-Basque_Wikinews_MT	v1	CCMatrix	v1	1824	10632154	2	.10	0
ELRC-4993-Basque_Wikinews_MT	v1	OpenSubtitles	v2018	1824	705759	2	.10	0
ELRC-4993-Basque_Wikinews_MT	v1	OpenSubtitles	v2016	1824	164147	2	.10	0
ELRC-4993-Basque_Wikinews_MT	v1	OpenSubtitles	v2013	1824	160950	2	.10	0
ELRC-4993-Basque_Wikinews_MT	v1	MultiParaCrawl	v9	1824	3296755	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	MultiParaCrawl	v9b	1824	3296755	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	ParaCrawl	v9	1824	3296755	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	MultiParaCrawl	v8	1824	2017421	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	ParaCrawl	v8	1824	2017421	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	WikiMatrix	v1	1824	1562084	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	EiTB-ParCC	v1	1824	636643	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	HPLT	v1	1824	599782	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	MultiHPLT	v1	1824	599782	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	EhuHac	v1	1824	593758	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	QED	v2.0a	1824	24639	1	.05	0
ELRC-4993-Basque_Wikinews_MT	v1	XLEnt	v1.1	1824	567369	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	XLEnt	v1	1824	567369	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	XLEnt	v1.2	1824	567369	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	MultiParaCrawl	v7.1	1824	525446	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	ParaCrawl	v7.1	1824	525446	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	wikimedia	v20230407	1824	290449	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	wikimedia	v20210402	1824	84372	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	KDE4	v2	1824	77050	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Mozilla-I10n	v1	1824	27710	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	TED2020	v1	1824	11647	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	bible-uedin	v1	1824	8487	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	NeuLab-TedTalks	v1	1824	6386	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Tatoeba	v2023-04-12	1824	6377	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Tatoeba	v2022-03-03	1824	6287	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Tatoeba	v2021-07-22	1824	6265	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Tatoeba	v2021-03-10	1824	6262	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Tatoeba	v2020-11-09	1824	6259	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Tatoeba	v2020-05-31	1824	6201	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Tatoeba	v20190709	1824	6150	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	GNOME	v1	1824	2762	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	wikimedia	v20190628	1824	2012	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Tatoeba	v2	1824	1749	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	OpenSubtitles	v2012	1824	657	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	ELRC_2922	v1	1824	327	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	ELRC-3042-wikipedia_health	v1	1824	327	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	ELRC-wikipedia_health	v1	1824	327	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	Ubuntu	v14.10	1824	45	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	ELRC-2612-Artigos_visitportuga	v1	1824	1	0	0	0
ELRC-4993-Basque_Wikinews_MT	v1	ELRC-Artigos_visitportuga	v1	1824	1	0	0	0
