corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-502-Icelandic_Financial_	v1	ParaCrawl	v9	1507	877766608	84	5.57	0
ELRC-502-Icelandic_Financial_	v1	CCMatrix	v1	1507	1341614085	75	4.97	0
ELRC-502-Icelandic_Financial_	v1	CCAligned	v1	1507	405094222	24	1.59	0
ELRC-502-Icelandic_Financial_	v1	ELRC-4239-NTEU_TierA	v1	1507	11906559	18	1.19	0
ELRC-502-Icelandic_Financial_	v1	ELRC-4270-NTEU_TierA	v1	1507	7252413	18	1.19	0
ELRC-502-Icelandic_Financial_	v1	ELRC-4248-NTEU_TierA	v1	1507	12854274	17	1.12	0
ELRC-502-Icelandic_Financial_	v1	ELRC-4268-NTEU_TierA	v1	1507	11782507	17	1.12	0
ELRC-502-Icelandic_Financial_	v1	ELRC-4269-NTEU_TierA	v1	1507	7234848	17	1.12	0
ELRC-502-Icelandic_Financial_	v1	ELRC-4271-NTEU_TierA	v1	1507	7211577	17	1.12	0
ELRC-502-Icelandic_Financial_	v1	ELRC-4154-NTEU_TierA	v1	1507	7119873	17	1.12	0
ELRC-502-Icelandic_Financial_	v1	StanfordNLP-NMT	v1.0	1507	14386355	14	.92	0
ELRC-502-Icelandic_Financial_	v1	TildeMODEL	v2018	1507	5686357	14	.92	0
ELRC-502-Icelandic_Financial_	v1	ELRC-4142-NTEU_TierA	v1	1507	2152367	14	.92	0
ELRC-502-Icelandic_Financial_	v1	giga-fren	v2	1507	20786998	13	.86	0
ELRC-502-Icelandic_Financial_	v1	JRC-Acquis	v3.0	1507	1923776	13	.86	0
ELRC-502-Icelandic_Financial_	v1	ParIce	v1	1507	1364589	13	.86	0
ELRC-502-Icelandic_Financial_	v1	ELRC-396-Foreign_Affairs_Norw	v1	1507	669717	13	.86	0
ELRC-502-Icelandic_Financial_	v1	wikimedia	v20210402	1507	11389460	12	.79	0
ELRC-502-Icelandic_Financial_	v1	OpenSubtitles	v2018	1507	102548132	11	.72	0
ELRC-502-Icelandic_Financial_	v1	EuroPat	v3	1507	79873063	11	.72	0
ELRC-502-Icelandic_Financial_	v1	EuroPat	v2	1507	70531170	11	.72	0
ELRC-502-Icelandic_Financial_	v1	Wikipedia	v1.0	1507	7646905	11	.72	0
ELRC-502-Icelandic_Financial_	v1	SciELO	v1	1507	3061142	11	.72	0
ELRC-502-Icelandic_Financial_	v1	GoURMET	v1	1507	1541708	11	.72	0
ELRC-502-Icelandic_Financial_	v1	GlobalVoices	v2018q4	1507	1154583	11	.72	0
ELRC-502-Icelandic_Financial_	v1	IITB	v2.0	1507	1105433	11	.72	0
ELRC-502-Icelandic_Financial_	v1	GlobalVoices	v2017q3	1507	1091521	11	.72	0
ELRC-502-Icelandic_Financial_	v1	MIZAN	v1	1507	1016854	11	.72	0
ELRC-502-Icelandic_Financial_	v1	EhuHac	v1	1507	596213	11	.72	0
ELRC-502-Icelandic_Financial_	v1	ELRC-EUIPO_law	v1	1507	485617	11	.72	0
ELRC-502-Icelandic_Financial_	v1	ELRC-1806-Norwegian_Bokml_Ames	v1	1507	279832	11	.72	0
ELRC-502-Icelandic_Financial_	v1	ELRC-1077-EUIPO_law	v1	1507	249932	11	.72	0
ELRC-502-Icelandic_Financial_	v1	ELRC-425-Lithuanian_legislati	v1	1507	126666	11	.72	0
ELRC-502-Icelandic_Financial_	v1	ELRC-768-corpora_State_Admini	v1	1507	49864	11	.72	.02
ELRC-502-Icelandic_Financial_	v1	ELRC-government_websites	v1	1507	43383	11	.72	.02
ELRC-502-Icelandic_Financial_	v1	ELRC-591-www.lb.lt	v1	1507	31709	11	.72	.03
ELRC-502-Icelandic_Financial_	v1	ELRA-W0204	v1	1507	21255	11	.72	.05
ELRC-502-Icelandic_Financial_	v1	ELRC-651-government_websites_	v1	1507	21255	11	.72	.05
ELRC-502-Icelandic_Financial_	v1	ELRC-1084-Agencia_Tributaria	v1	1507	17477	11	.72	.06
ELRC-502-Icelandic_Financial_	v1	ELRC-Regional_Development	v1	1507	9296	11	.72	.11
ELRC-502-Icelandic_Financial_	v1	JParaCrawl	v3.0	1507	22179932	10	.66	0
ELRC-502-Icelandic_Financial_	v1	EuroPat	v1	1507	22132306	10	.66	0
ELRC-502-Icelandic_Financial_	v1	Samanantar	v0.2	1507	16891660	10	.66	0
ELRC-502-Icelandic_Financial_	v1	ELRC-5067-SciPar	v1	1507	9198848	10	.66	0
ELRC-502-Icelandic_Financial_	v1	Anuvaad	v1	1507	1950854	10	.66	0
ELRC-502-Icelandic_Financial_	v1	GlobalVoices	v2015	1507	954153	10	.66	0
ELRC-502-Icelandic_Financial_	v1	wikimedia	v20190628	1507	352711	10	.66	0
ELRC-502-Icelandic_Financial_	v1	ELRC-2410-Portal_oficial_turis	v1	1507	185841	10	.66	0
ELRC-502-Icelandic_Financial_	v1	ELRC-5179-acts_Ukrainian	v1	1507	125843	10	.66	0
ELRC-502-Icelandic_Financial_	v1	ELRC-1076-EUIPO_law	v1	1507	114632	10	.66	0
ELRC-502-Icelandic_Financial_	v1	ELRC-Government_Offices	v1	1507	56387	10	.66	.01
ELRC-502-Icelandic_Financial_	v1	ELRC-4329-PRINCIPLE_MVEP_legal	v1	1507	41525	10	.66	.02
ELRC-502-Icelandic_Financial_	v1	ELRC-4327-Government_Offices_I	v1	1507	37820	10	.66	.02
ELRC-502-Icelandic_Financial_	v1	ELRA-W0243	v1	1507	12537	10	.66	.07
ELRC-502-Icelandic_Financial_	v1	ELRC-842-Quarterly_Reports_Pa	v1	1507	12537	10	.66	.07
ELRC-502-Icelandic_Financial_	v1	ELITR-ECA	v1	1507	11446	10	.66	.08
ELRC-502-Icelandic_Financial_	v1	ELRA-W0234	v1	1507	7172	10	.66	.13
ELRC-502-Icelandic_Financial_	v1	ELRC-1819-EIR	v1	1507	5206	10	.66	.19
ELRC-502-Icelandic_Financial_	v1	ELRC-899-Danish_FSA	v1	1507	2008	10	.66	.49
ELRC-502-Icelandic_Financial_	v1	ELRC-412-EJTN_Handbook	v1	1507	1818	10	.66	.55
ELRC-502-Icelandic_Financial_	v1	ELRA-W0282	v1	1507	1354	10	.66	.73
ELRC-502-Icelandic_Financial_	v1	ELRC-962-Regional_Development	v1	1507	1354	10	.66	.73
ELRC-502-Icelandic_Financial_	v1	LinguaTools-WikiTitles	v2014	1507	8265652	9	.59	0
ELRC-502-Icelandic_Financial_	v1	QED	v2.0a	1507	7299297	9	.59	0
ELRC-502-Icelandic_Financial_	v1	Europarl	v8	1507	2375417	9	.59	0
ELRC-502-Icelandic_Financial_	v1	Nunavut_Hansard	v3.0.1	1507	744551	9	.59	0
ELRC-502-Icelandic_Financial_	v1	Joshua-IPC	v1	1507	198174	9	.59	0
ELRC-502-Icelandic_Financial_	v1	memat	v1	1507	145098	9	.59	0
ELRC-502-Icelandic_Financial_	v1	ELRA-W0138	v1	1507	90058	9	.59	0
ELRC-502-Icelandic_Financial_	v1	ELRC-1075-EUIPO_law	v1	1507	90058	9	.59	0
ELRC-502-Icelandic_Financial_	v1	pmindia	v1	1507	80655	9	.59	.01
ELRC-502-Icelandic_Financial_	v1	ELRC-534-www.norges_bank.no	v1	1507	71682	9	.59	.01
ELRC-502-Icelandic_Financial_	v1	ELRC-2542-Agriculture	v1	1507	66597	9	.59	.01
ELRC-502-Icelandic_Financial_	v1	ELRC-847-mst.dk	v1	1507	37397	9	.59	.02
ELRC-502-Icelandic_Financial_	v1	ELRC-863-government_websites_	v1	1507	20646	9	.59	.04
ELRC-502-Icelandic_Financial_	v1	ELRA-W0244	v1	1507	14622	9	.59	.06
ELRC-502-Icelandic_Financial_	v1	ELRC-843-collection_reports_G	v1	1507	14622	9	.59	.06
ELRC-502-Icelandic_Financial_	v1	ELRC-Polish_Foreign	v1	1507	13183	9	.59	.06
ELRC-502-Icelandic_Financial_	v1	ELRA-W0203	v1	1507	12527	9	.59	.07
ELRC-502-Icelandic_Financial_	v1	ELRC-649-Greek_administration	v1	1507	12527	9	.59	.07
ELRC-502-Icelandic_Financial_	v1	ELRC-427-Electronic_Exchange_	v1	1507	9513	9	.59	.09
ELRC-502-Icelandic_Financial_	v1	ELRC-Swedish_Migration	v1	1507	8318	9	.59	.10
ELRC-502-Icelandic_Financial_	v1	ELRA-W0239	v1	1507	8092	9	.59	.11
ELRC-502-Icelandic_Financial_	v1	ELRC-829-Swedish_Migration_Bo	v1	1507	8092	9	.59	.11
