corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-5067-SciPar	v1	ParaCrawl	v9	890185	278310902	80220	9.01	.02
ELRC-5067-SciPar	v1	CCMatrix	v1	890185	245958729	915	.10	0
ELRC-5067-SciPar	v1	EuroPat	v3	890185	19734743	2	0	0
ELRC-5067-SciPar	v1	OpenSubtitles	v2018	890185	18698900	13	0	0
ELRC-5067-SciPar	v1	EuroPat	v2	890185	15571045	2	0	0
ELRC-5067-SciPar	v1	CCAligned	v1	890185	15192790	27	0	0
ELRC-5067-SciPar	v1	EuroPat	v1	890185	12614161	1	0	0
ELRC-5067-SciPar	v1	EUbookshop	v2	890185	8268818	13	0	0
ELRC-5067-SciPar	v1	TildeMODEL	v2018	890185	4184303	11	0	0
ELRC-5067-SciPar	v1	XLEnt	v1.1	890185	3802840	2	0	0
ELRC-5067-SciPar	v1	XLEnt	v1	890185	3802840	2	0	0
ELRC-5067-SciPar	v1	DGT	v2019	890185	3598219	7	0	0
ELRC-5067-SciPar	v1	Wikipedia	v1.0	890185	2413702	1	0	0
ELRC-5067-SciPar	v1	Europarl	v8	890185	1916512	4	0	0
ELRC-5067-SciPar	v1	WikiMatrix	v1	890185	1573421	4	0	0
ELRC-5067-SciPar	v1	WikiTitles	v3	890185	1386531	4	0	0
ELRC-5067-SciPar	v1	ELRC-2714-EMEA	v1	890185	752887	5	0	0
ELRC-5067-SciPar	v1	ELRC-EMEA	v1	890185	752887	5	0	0
ELRC-5067-SciPar	v1	ELRC_2682	v1	890185	620450	4	0	0
ELRC-5067-SciPar	v1	Tanzil	v1	890185	516835	0	0	0
ELRC-5067-SciPar	v1	JRC-Acquis	v3.0	890185	503393	1	0	0
ELRC-5067-SciPar	v1	QED	v2.0a	890185	492321	2	0	0
ELRC-5067-SciPar	v1	EMEA	v3	890185	357190	0	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2022-03-03	890185	313068	3	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2021-07-22	890185	307276	3	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2021-03-10	890185	302363	3	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2020-11-09	890185	299698	3	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2020-05-31	890185	294740	2	0	0
ELRC-5067-SciPar	v1	TED2020	v1	890185	289362	2	0	0
ELRC-5067-SciPar	v1	Tatoeba	v20190709	890185	289207	2	0	0
ELRC-5067-SciPar	v1	News-Commentary	v16	890185	285720	2	0	0
ELRC-5067-SciPar	v1	News-Commentary	v14	890185	285704	2	0	0
ELRC-5067-SciPar	v1	ELITR-ECA	v1	890185	252015	2	0	0
ELRC-5067-SciPar	v1	ELRC-1077-EUIPO_law	v1	890185	233271	1	0	0
ELRC-5067-SciPar	v1	ELRC-EUIPO_law	v1	890185	233271	1	0	0
ELRC-5067-SciPar	v1	News-Commentary	v11	890185	222749	1	0	0
ELRC-5067-SciPar	v1	News-Commentary	v9.0	890185	200304	1	0	0
ELRC-5067-SciPar	v1	News-Commentary	v9.1	890185	200304	1	0	0
ELRC-5067-SciPar	v1	KDE4	v2	890185	187849	2	0	0
ELRC-5067-SciPar	v1	ELRC-1121-CORDIS_Results_Brief	v1	890185	182066	1	0	0
ELRC-5067-SciPar	v1	ELRC-CORDIS_Results	v1	890185	182066	1	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2	890185	142996	2	0	0
ELRC-5067-SciPar	v1	TED2013	v1.1	890185	142758	0	0	0
ELRC-5067-SciPar	v1	MultiUN	v1	890185	127300	0	0	0
ELRC-5067-SciPar	v1	ECB	v1	890185	113033	1	0	0
ELRC-5067-SciPar	v1	ELRC-1117-CORDIS_News	v1	890185	111275	1	0	0
ELRC-5067-SciPar	v1	ELRC-CORDIS_News	v1	890185	111275	1	0	0
ELRC-5067-SciPar	v1	wikimedia	v20210402	890185	103209	2	0	0
ELRC-5067-SciPar	v1	GlobalVoices	v2018q4	890185	70537	2	0	0
ELRC-5067-SciPar	v1	OpenSubtitles	v1	890185	66867	0	0	0
ELRC-5067-SciPar	v1	GlobalVoices	v2017q3	890185	65711	1	0	0
ELRC-5067-SciPar	v1	bible-uedin	v1	890185	61579	0	0	0
ELRC-5067-SciPar	v1	GlobalVoices	v2015	890185	56630	1	0	0
ELRC-5067-SciPar	v1	ELRC-642-Federal_Foreign_Berl	v1	890185	53842	1	0	0
ELRC-5067-SciPar	v1	Books	v1	890185	51106	0	0	0
ELRC-5067-SciPar	v1	ELRA-W0201	v1	890185	35973	0	0	0
ELRC-5067-SciPar	v1	ELRC-638-Luxembourg.lu	v1	890185	35970	1	0	0
ELRC-5067-SciPar	v1	OpenOffice	v2	890185	35117	1	0	0
ELRC-5067-SciPar	v1	WMT-News	v2019	890185	34727	0	0	0
ELRC-5067-SciPar	v1	ELRC-1092-EUIPO_list	v1	890185	30484	1	0	0
ELRC-5067-SciPar	v1	ELRC-EUIPO_list	v1	890185	30484	1	0	0
ELRC-5067-SciPar	v1	ELRA-W0143	v1	890185	30483	0	0	0
ELRC-5067-SciPar	v1	ELRC-1089-German_Foreign_Offic	v1	890185	24725	1	0	0
ELRC-5067-SciPar	v1	ELRC-3565-EUR_LEX_covid	v1	890185	23300	1	0	0
ELRC-5067-SciPar	v1	ELRC-EUR_LEX	v1	890185	23300	1	0	0
ELRC-5067-SciPar	v1	ELRC-1090-German_Foreign_Offic	v1	890185	20549	1	0	0
ELRC-5067-SciPar	v1	WMT-News	v2014	890185	19565	0	0	0
ELRC-5067-SciPar	v1	ELRC-2014-EUIPO_2017	v1	890185	17145	1	0	0
ELRC-5067-SciPar	v1	ELRC-EUIPO_2017	v1	890185	17145	1	0	0
ELRC-5067-SciPar	v1	MPC1	v1	890185	16703	0	0	0
ELRC-5067-SciPar	v1	ELRC-774-Presidency	v1	890185	16475	1	0	0
ELRC-5067-SciPar	v1	ELRC-2875-EU_publications_medi	v1	890185	13280	2	0	.01
ELRC-5067-SciPar	v1	ELRC-EU_publications	v1	890185	13280	2	0	.01
ELRC-5067-SciPar	v1	Ubuntu	v14.10	890185	13116	0	0	0
ELRC-5067-SciPar	v1	ELRC-1088-German_Foreign_Offic	v1	890185	12554	1	0	0
ELRC-5067-SciPar	v1	PHP	v1	890185	12281	0	0	0
ELRC-5067-SciPar	v1	ELRC-630-BMVI_Publications	v1	890185	11541	2	0	.01
ELRC-5067-SciPar	v1	ELRC-1086-Information_Portal_G	v1	890185	11281	1	0	0
ELRC-5067-SciPar	v1	ELRC-Information_Portal	v1	890185	11281	1	0	0
ELRC-5067-SciPar	v1	ELRC-3606-presscorner_covid	v1	890185	10233	1	0	0
ELRC-5067-SciPar	v1	ELRC-presscorner_covid	v1	890185	10233	1	0	0
ELRC-5067-SciPar	v1	ELRC-by_Presidency	v1	890185	9023	1	0	.01
ELRC-5067-SciPar	v1	ELRC-634-BMI_Brochures_2011	v1	890185	8395	1	0	.01
ELRC-5067-SciPar	v1	GNOME	v1	890185	7515	1	0	.01
ELRC-5067-SciPar	v1	EUconst	v1	890185	6308	0	0	0
ELRC-5067-SciPar	v1	ELRC_3382	v1	890185	6228	0	0	0
ELRC-5067-SciPar	v1	ELRC-637-SIP	v1	890185	5687	1	0	.01
ELRC-5067-SciPar	v1	ELRC-776-by_Presidency_Counci	v1	890185	4545	1	0	.02
ELRC-5067-SciPar	v1	ELRC-775-by_Presidency_Counci	v1	890185	4479	1	0	.02
ELRC-5067-SciPar	v1	ELRC-621-Federal_Constitution	v1	890185	3971	1	0	.02
ELRC-5067-SciPar	v1	ELRC-631-BMVI_Website	v1	890185	2718	1	0	.03
ELRC-5067-SciPar	v1	ELRC-1240-Austrian_Research_Te	v1	890185	2709	1	0	.03
ELRC-5067-SciPar	v1	ELRC-3464-EC_EUROPA_covid	v1	890185	2555	2	0	.07
ELRC-5067-SciPar	v1	ELRC-EC_EUROPA	v1	890185	2555	2	0	.07
ELRC-5067-SciPar	v1	ELRC-2638-monumentos_2007	v1	890185	2474	1	0	.04
ELRC-5067-SciPar	v1	ELRC-1243-Vienna_Environmental	v1	890185	2222	1	0	.04
ELRC-5067-SciPar	v1	ELRC-3063-wikipedia_health	v1	890185	2098	1	0	.04
ELRC-5067-SciPar	v1	ELRC-wikipedia_health	v1	890185	2098	1	0	.04
ELRC-5067-SciPar	v1	ELRC_2922	v1	890185	2097	0	0	0
ELRC-5067-SciPar	v1	ELRC-4992-Customer_Support_MT	v1	890185	1365	1	0	.07
ELRC-5067-SciPar	v1	ELRC-2614-Localidades_2007	v1	890185	1355	1	0	.07
ELRC-5067-SciPar	v1	ELRC-Localidades_2007	v1	890185	1355	1	0	.07
ELRC-5067-SciPar	v1	Salome	v1	890185	1217	0	0	0
ELRC-5067-SciPar	v1	ELRC-633-BMI_Brochures_2016	v1	890185	1155	1	0	.08
ELRC-5067-SciPar	v1	ELRC-2612-Artigos_visitportuga	v1	890185	1058	1	0	.09
ELRC-5067-SciPar	v1	ELRC-Artigos_visitportuga	v1	890185	1058	1	0	.09
ELRC-5067-SciPar	v1	ELRC-1241-2017_Activity_Report	v1	890185	1020	1	0	.09
ELRC-5067-SciPar	v1	ELRC-3202-antibiotic	v1	890185	895	1	0	.11
ELRC-5067-SciPar	v1	ELRC-antibiotic	v1	890185	895	1	0	.11
ELRC-5067-SciPar	v1	ELRC-2616-Museus_2007	v1	890185	794	1	0	.12
ELRC-5067-SciPar	v1	ELRC-Museus_2007	v1	890185	794	1	0	.12
ELRC-5067-SciPar	v1	ELRC-3293-EUROPARL_covid	v1	890185	720	1	0	.13
ELRC-5067-SciPar	v1	ELRC-EUROPARL_covid	v1	890185	720	1	0	.13
ELRC-5067-SciPar	v1	ELRC-2410-Portal_oficial_turis	v1	890185	565	1	0	.17
ELRC-5067-SciPar	v1	ELRC-2641-Praias_2007	v1	890185	556	1	0	.17
ELRC-5067-SciPar	v1	ELRC-Praias_2007	v1	890185	556	1	0	.17
ELRC-5067-SciPar	v1	ELRC-2736-vaccination	v1	890185	489	1	0	.20
ELRC-5067-SciPar	v1	ELRC-vaccination	v1	890185	489	1	0	.20
ELRC-5067-SciPar	v1	ELRC-1238-Energy_Report_City	v1	890185	482	1	0	.20
ELRC-5067-SciPar	v1	ELRC_2923	v1	890185	431	0	0	0
ELRC-5067-SciPar	v1	ELRC-Swedish_Labour	v1	890185	322	1	0	.31
ELRC-5067-SciPar	v1	ELRC-416-Swedish_Social_Secur	v1	890185	263	1	0	.38
ELRC-5067-SciPar	v1	ELRC_416	v1	890185	262	0	0	0
ELRC-5067-SciPar	v1	RF	v1	890185	177	0	0	0
ELRC-5067-SciPar	v1	ELRC-632-BMI_Brochure_Civil	v1	890185	176	1	0	.56
ELRC-5067-SciPar	v1	ELRC-401-Swedish_Labour_Part2	v1	890185	167	1	0	.59
