corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-5067-SciPar	v1	ParaCrawl	v9	31315288	457342	54566	11.93	.17
ELRC-5067-SciPar	v1	CCMatrix	v1	35804134	457342	1793	.39	0
ELRC-5067-SciPar	v1	bible-uedin	v1	61310	457342	0	0	0
ELRC-5067-SciPar	v1	Books	v1	3634	457342	0	0	0
ELRC-5067-SciPar	v1	CCAligned	v1	9646025	457342	12	0	0
ELRC-5067-SciPar	v1	DGT	v2019	3624390	457342	3	0	0
ELRC-5067-SciPar	v1	ECB	v1	157318	457342	1	0	0
ELRC-5067-SciPar	v1	ELITR-ECA	v1	321871	457342	1	0	0
ELRC-5067-SciPar	v1	ELRA-W0217	v1	9940	457342	0	0	0
ELRC-5067-SciPar	v1	ELRA-W0220	v1	53843	457342	0	0	0
ELRC-5067-SciPar	v1	ELRA-W0305	v1	15	457342	0	0	0
ELRC-5067-SciPar	v1	ELRC-1127-www.vtv.fi	v1	42629	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-1128-www.visitestonia.com	v1	14606	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-1769-valtioneuvosto.fi	v1	49316	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-1771-vnk.fi	v1	31527	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-2017-EUIPO_2017	v1	16802	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-2032-www.turku.fi	v1	17670	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-2036-www.vero.fi	v1	21285	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-2708-EMEA	v1	746684	457342	2	0	0
ELRC-5067-SciPar	v1	ELRC-2739-vaccination	v1	471	457342	1	0	.21
ELRC-5067-SciPar	v1	ELRC-2869-EU_publications_medi	v1	12933	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC_2922	v1	333	457342	0	0	0
ELRC-5067-SciPar	v1	ELRC_2923	v1	396	457342	0	0	0
ELRC-5067-SciPar	v1	ELRC-3045-wikipedia_health	v1	334	457342	1	0	.29
ELRC-5067-SciPar	v1	ELRC-3196-antibiotic	v1	882	457342	1	0	.11
ELRC-5067-SciPar	v1	ELRC-3287-EUROPARL_covid	v1	695	457342	1	0	.14
ELRC-5067-SciPar	v1	ELRC_3382	v1	3355	457342	0	0	0
ELRC-5067-SciPar	v1	ELRC-3458-EC_EUROPA_covid	v1	2598	457342	1	0	.03
ELRC-5067-SciPar	v1	ELRC-3559-EUR_LEX_covid	v1	21735	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-3600-presscorner_covid	v1	6752	457342	1	0	.01
ELRC-5067-SciPar	v1	ELRC-401-Swedish_Labour_Part2	v1	171	457342	1	0	.58
ELRC-5067-SciPar	v1	ELRC-406-Swedish_Labour_Part1	v1	41	457342	1	0	2.43
ELRC-5067-SciPar	v1	ELRC-416-Swedish_Social_Secur	v1	488	457342	1	0	.20
ELRC-5067-SciPar	v1	ELRC_416	v1	487	457342	0	0	0
ELRC-5067-SciPar	v1	ELRC-4239-NTEU_TierA	v1	12577938	457342	13	0	0
ELRC-5067-SciPar	v1	ELRC-436-Swedish_Food	v1	16	457342	1	0	6.25
ELRC-5067-SciPar	v1	ELRC-4995-Finnish_Financial_MT	v1	1001	457342	1	0	.09
ELRC-5067-SciPar	v1	ELRC-716-Finnish_Information_	v1	9941	457342	1	0	.01
ELRC-5067-SciPar	v1	ELRC-724-Hallituskausi_2007_2	v1	53844	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-725-Hallituskausi_2011_2	v1	31351	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-735-www.norden.org	v1	42742	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-antibiotic	v1	882	457342	1	0	.11
ELRC-5067-SciPar	v1	ELRC-EC_EUROPA	v1	2598	457342	1	0	.03
ELRC-5067-SciPar	v1	ELRC-EMEA	v1	746684	457342	2	0	0
ELRC-5067-SciPar	v1	ELRC-EUIPO_2017	v1	16802	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-EU_publications	v1	12933	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-EUR_LEX	v1	21735	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-EUROPARL_covid	v1	695	457342	1	0	.14
ELRC-5067-SciPar	v1	ELRC-Finnish_Information	v1	9941	457342	1	0	.01
ELRC-5067-SciPar	v1	ELRC-presscorner_covid	v1	6752	457342	1	0	.01
ELRC-5067-SciPar	v1	ELRC-Swedish_Labour	v1	211	457342	1	0	.47
ELRC-5067-SciPar	v1	ELRC-vaccination	v1	471	457342	1	0	.21
ELRC-5067-SciPar	v1	ELRC-valtioneuvosto.fi	v1	49316	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-vnk.fi	v1	31527	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-wikipedia_health	v1	334	457342	1	0	.29
ELRC-5067-SciPar	v1	ELRC-www.norden.org	v1	42742	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-www.turku.fi	v1	17670	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-www.vero.fi	v1	21285	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-www.visitestonia.com	v1	14606	457342	1	0	0
ELRC-5067-SciPar	v1	ELRC-www.vtv.fi	v1	42629	457342	1	0	0
ELRC-5067-SciPar	v1	EMEA	v3	352115	457342	0	0	0
ELRC-5067-SciPar	v1	EUbookshop	v2	1828277	457342	3	0	0
ELRC-5067-SciPar	v1	EUconst	v1	6609	457342	0	0	0
ELRC-5067-SciPar	v1	Europarl	v8	1920092	457342	4	0	0
ELRC-5067-SciPar	v1	GNOME	v1	13430	457342	0	0	0
ELRC-5067-SciPar	v1	infopankki	v1	21264	457342	0	0	0
ELRC-5067-SciPar	v1	JRC-Acquis	v3.0	13077	457342	0	0	0
ELRC-5067-SciPar	v1	KDE4	v2	97623	457342	0	0	0
ELRC-5067-SciPar	v1	OpenSubtitles	v1	103215	457342	2	0	0
ELRC-5067-SciPar	v1	OpenSubtitles	v2018	23382097	457342	6	0	0
ELRC-5067-SciPar	v1	PHP	v1	916	457342	0	0	0
