corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-5067-SciPar	v1	ParaCrawl	v9	31280	96975992	1460	4.66	0
ELRC-5067-SciPar	v1	CCMatrix	v1	31280	145080018	30	.09	0
ELRC-5067-SciPar	v1	NLLB	v1	31280	145077265	30	.09	0
ELRC-5067-SciPar	v1	MultiCCAligned	v1	31280	57577191	12	.03	0
ELRC-5067-SciPar	v1	CCAligned	v1	31280	14341296	11	.03	0
ELRC-5067-SciPar	v1	ParaCrawl	v8	31280	120118828	4	.01	0
ELRC-5067-SciPar	v1	OpenSubtitles	v2018	31280	28718593	5	.01	0
ELRC-5067-SciPar	v1	ParaCrawl	v1	31280	8279864	6	.01	0
ELRC-5067-SciPar	v1	EUbookshop	v2	31280	5801342	5	.01	0
ELRC-5067-SciPar	v1	XLEnt	v1.1	31280	5645064	4	.01	0
ELRC-5067-SciPar	v1	XLEnt	v1.2	31280	5645064	4	.01	0
ELRC-5067-SciPar	v1	XLEnt	v1	31280	5645064	4	.01	0
ELRC-5067-SciPar	v1	TildeMODEL	v2018	31280	3693634	4	.01	0
ELRC-5067-SciPar	v1	MultiParaCrawl	v7.1	31280	40798275	2	0	0
ELRC-5067-SciPar	v1	ParaCrawl	v7.1	31280	40798274	1	0	0
ELRC-5067-SciPar	v1	ParaCrawl	v5	31280	21939518	0	0	0
ELRC-5067-SciPar	v1	OpenSubtitles	v2016	31280	21818449	3	0	0
ELRC-5067-SciPar	v1	ParaCrawl	v4	31280	12085749	0	0	0
ELRC-5067-SciPar	v1	LinguaTools-WikiTitles	v2014	31280	11048442	3	0	0
ELRC-5067-SciPar	v1	DGT	v2019	31280	3638405	3	0	0
ELRC-5067-SciPar	v1	WikiMatrix	v1	31280	2126084	3	0	0
ELRC-5067-SciPar	v1	DGT	v4	31280	1985734	3	0	0
ELRC-5067-SciPar	v1	Europarl	v8	31280	1906929	0	0	0
ELRC-5067-SciPar	v1	Europarl	v7	31280	1906482	0	0	0
ELRC-5067-SciPar	v1	Europarl	v3	31280	1229621	0	0	0
ELRC-5067-SciPar	v1	Wikipedia	v1.0	31280	944270	0	0	0
ELRC-5067-SciPar	v1	ELRC-2710-EMEA	v1	31280	771346	2	0	0
ELRC-5067-SciPar	v1	ELRC-EMEA	v1	31280	771346	2	0	0
ELRC-5067-SciPar	v1	QED	v2.0a	31280	542823	2	0	0
ELRC-5067-SciPar	v1	wikimedia	v20230407	31280	520955	3	0	0
ELRC-5067-SciPar	v1	JRC-Acquis	v3.0	31280	504433	1	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2023-04-12	31280	502190	1	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2022-03-03	31280	492666	1	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2021-07-22	31280	490263	1	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2021-03-10	31280	486354	1	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2020-11-09	31280	482896	1	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2020-05-31	31280	480007	0	0	0
