corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-5067-SciPar	v1	MultiParaCrawl	v9	358273	226869093	55225	15.41	.02
ELRC-5067-SciPar	v1	MultiParaCrawl	v9b	358273	226869093	55225	15.41	.02
ELRC-5067-SciPar	v1	ParaCrawl	v9	358273	226869093	55225	15.41	.02
ELRC-5067-SciPar	v1	MultiParaCrawl	v8	358273	264377956	4645	1.29	0
ELRC-5067-SciPar	v1	ParaCrawl	v8	358273	264377956	4645	1.29	0
ELRC-5067-SciPar	v1	CCMatrix	v1	358273	859439207	4579	1.27	0
ELRC-5067-SciPar	v1	NLLB	v1	358273	857517045	4575	1.27	0
ELRC-5067-SciPar	v1	MultiParaCrawl	v7.1	358273	80856973	2516	.70	0
ELRC-5067-SciPar	v1	ParaCrawl	v7.1	358273	80856973	2516	.70	0
ELRC-5067-SciPar	v1	MultiParaCrawl	v5	358273	38478003	1895	.52	0
ELRC-5067-SciPar	v1	ParaCrawl	v5	358273	38478003	1895	.52	0
ELRC-5067-SciPar	v1	MultiCCAligned	v1.1	358273	87772506	644	.17	0
ELRC-5067-SciPar	v1	MultiCCAligned	v1	358273	87772506	644	.17	0
ELRC-5067-SciPar	v1	CCAligned	v1	358273	87772466	644	.17	0
ELRC-5067-SciPar	v1	ParaCrawl	v4	358273	23511028	576	.16	0
ELRC-5067-SciPar	v1	ParaCrawl	v1	358273	16428932	452	.12	0
ELRC-5067-SciPar	v1	ELRC-4140-NTEU_TierA	v1	358273	11705042	300	.08	0
ELRC-5067-SciPar	v1	ELRC-4153-NTEU_TierA	v1	358273	9300988	300	.08	0
ELRC-5067-SciPar	v1	UNPC	v1.0	358273	21391207	269	.07	0
ELRC-5067-SciPar	v1	ELRC-4168-NTEU_TierA	v1	358273	8832028	286	.07	0
ELRC-5067-SciPar	v1	ELRC-4158-NTEU_TierA	v1	358273	5936845	270	.07	0
ELRC-5067-SciPar	v1	ELRC-4233-NTEU_TierA	v1	358273	5856590	269	.07	0
ELRC-5067-SciPar	v1	ELRC-4255-NTEU_TierA	v1	358273	5469855	261	.07	0
ELRC-5067-SciPar	v1	ELRC-4207-NTEU_TierA	v1	358273	5162061	269	.07	0
ELRC-5067-SciPar	v1	EuroPat	v3	358273	48256036	230	.06	0
ELRC-5067-SciPar	v1	WikiMatrix	v1	358273	15180179	217	.06	0
ELRC-5067-SciPar	v1	wikimedia	v20230407	358273	3894558	247	.06	0
ELRC-5067-SciPar	v1	wikimedia	v20210402	358273	2575869	218	.06	0
ELRC-5067-SciPar	v1	OpenSubtitles	v2018	358273	73554496	181	.05	0
ELRC-5067-SciPar	v1	EuroPat	v2	358273	41979278	212	.05	0
ELRC-5067-SciPar	v1	DOGC	v2	358273	4523454	195	.05	0
ELRC-5067-SciPar	v1	TildeMODEL	v2018	358273	3810888	195	.05	0
ELRC-5067-SciPar	v1	ELRC-4236-NTEU_TierA	v1	358273	1381523	201	.05	.01
ELRC-5067-SciPar	v1	OpenSubtitles	v2016	358273	62803566	173	.04	0
ELRC-5067-SciPar	v1	OpenSubtitles	v2012	358273	33156044	149	.04	0
ELRC-5067-SciPar	v1	DOGC	v3	358273	8104246	175	.04	0
ELRC-5067-SciPar	v1	OpenSubtitles	v2013	358273	22632732	118	.03	0
ELRC-5067-SciPar	v1	XLEnt	v1.1	358273	7570294	115	.03	0
ELRC-5067-SciPar	v1	XLEnt	v1.2	358273	7570294	115	.03	0
ELRC-5067-SciPar	v1	XLEnt	v1	358273	7570294	115	.03	0
ELRC-5067-SciPar	v1	EUbookshop	v2	358273	6643561	112	.03	0
ELRC-5067-SciPar	v1	LinguaTools-WikiTitles	v2014	358273	2395569	132	.03	0
ELRC-5067-SciPar	v1	JRC-Acquis	v3.0	358273	1984923	143	.03	0
ELRC-5067-SciPar	v1	Wikipedia	v1.0	358273	1818211	127	.03	0
ELRC-5067-SciPar	v1	Elhuyar	v1	358273	584148	141	.03	.02
ELRC-5067-SciPar	v1	DGT	v4	358273	1863560	92	.02	0
ELRC-5067-SciPar	v1	QED	v2.0a	358273	1690880	72	.02	0
ELRC-5067-SciPar	v1	GlobalVoices	v2018q4	358273	940312	73	.02	0
ELRC-5067-SciPar	v1	WikiTitles	v3	358273	812938	89	.02	.01
ELRC-5067-SciPar	v1	ELRC-2722-EMEA	v1	358273	734279	72	.02	0
ELRC-5067-SciPar	v1	ELRC-EMEA	v1	358273	734279	72	.02	0
ELRC-5067-SciPar	v1	SciELO	v1	358273	426045	82	.02	.01
ELRC-5067-SciPar	v1	ELRC-5179-acts_Ukrainian	v1	358273	127708	77	.02	.06
ELRC-5067-SciPar	v1	Europarl	v8	358273	2106751	39	.01	0
ELRC-5067-SciPar	v1	Europarl	v7	358273	2106618	39	.01	0
ELRC-5067-SciPar	v1	OpenSubtitles	v1	358273	1395666	53	.01	0
ELRC-5067-SciPar	v1	GlobalVoices	v2017q3	358273	872253	69	.01	0
ELRC-5067-SciPar	v1	GlobalVoices	v2015	358273	730552	69	.01	0
ELRC-5067-SciPar	v1	EiTB-ParCC	v1	358273	632391	62	.01	0
ELRC-5067-SciPar	v1	EhuHac	v1	358273	604105	55	.01	0
ELRC-5067-SciPar	v1	ECB	v1	358273	363319	38	.01	.01
ELRC-5067-SciPar	v1	EMEA	v3	358273	338628	69	.01	.02
ELRC-5067-SciPar	v1	ELRC_2682	v1	358273	235152	42	.01	.01
ELRC-5067-SciPar	v1	ELRC-2410-Portal_oficial_turis	v1	358273	205294	71	.01	.03
ELRC-5067-SciPar	v1	KDE4	v2	358273	176261	64	.01	.03
ELRC-5067-SciPar	v1	ELRC-EUIPO_law	v1	358273	110411	36	.01	.03
ELRC-5067-SciPar	v1	ELRC-1076-EUIPO_law	v1	358273	110401	36	.01	.03
ELRC-5067-SciPar	v1	Mozilla-I10n	v1	358273	54369	54	.01	.09
ELRC-5067-SciPar	v1	ELRC-government_websites	v1	358273	38531	53	.01	.13
ELRC-5067-SciPar	v1	ELRC-863-government_websites_	v1	358273	20525	40	.01	.19
ELRC-5067-SciPar	v1	MultiUN	v1	358273	9831955	0	0	0
ELRC-5067-SciPar	v1	Europarl	v3	358273	1429920	33	0	0
ELRC-5067-SciPar	v1	News-Commentary	v16	358273	486499	22	0	0
ELRC-5067-SciPar	v1	TED2020	v1	358273	442808	26	0	0
ELRC-5067-SciPar	v1	News-Commentary	v14	358273	412122	20	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2023-04-12	358273	394961	13	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2022-03-03	358273	376698	13	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2021-03-10	358273	339108	13	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2020-11-09	358273	330661	13	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2021-07-22	358273	325739	13	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2020-05-31	358273	325156	13	0	0
ELRC-5067-SciPar	v1	Tatoeba	v20190709	358273	315932	13	0	0
ELRC-5067-SciPar	v1	News-Commentary	v11	358273	287713	18	0	0
ELRC-5067-SciPar	v1	News-Commentary	v9.0	358273	275065	17	0	0
ELRC-5067-SciPar	v1	News-Commentary	v9.1	358273	275065	17	0	0
ELRC-5067-SciPar	v1	ELRC-1126-CORDIS_Results_Brief	v1	358273	242952	4	0	0
ELRC-5067-SciPar	v1	ELRC-CORDIS_Results	v1	358273	242952	4	0	0
ELRC-5067-SciPar	v1	NeuLab-TedTalks	v1	358273	237850	19	0	0
ELRC-5067-SciPar	v1	Tatoeba	v2	358273	201181	9	0	0
ELRC-5067-SciPar	v1	TED2013	v1.1	358273	156347	5	0	0
ELRC-5067-SciPar	v1	ELRC-2503-Descripciones_vulner	v1	358273	134437	0	0	0
ELRC-5067-SciPar	v1	ELRC-1125-CORDIS_News	v1	358273	114609	5	0	0
ELRC-5067-SciPar	v1	ELRC-CORDIS_News	v1	358273	114609	5	0	0
ELRC-5067-SciPar	v1	Books	v1	358273	105388	20	0	.01
ELRC-5067-SciPar	v1	UN	v20090831	358273	60390	10	0	.01
ELRC-5067-SciPar	v1	ELRC-EUIPO_list	v1	358273	54143	4	0	0
ELRC-5067-SciPar	v1	OpenOffice	v3	358273	47981	32	0	.06
ELRC-5067-SciPar	v1	ELRA-W0151	v1	358273	45016	2	0	0
ELRC-5067-SciPar	v1	ELRC-1102-EUIPO_list	v1	358273	45016	2	0	0
ELRC-5067-SciPar	v1	ELRA-W0148	v1	358273	44426	4	0	0
ELRC-5067-SciPar	v1	ELRC-1098-EUIPO_list	v1	358273	44426	4	0	0
ELRC-5067-SciPar	v1	bible-uedin	v1	358273	43140	0	0	0
ELRC-5067-SciPar	v1	OpenOffice	v2	358273	32886	23	0	.06
ELRC-5067-SciPar	v1	ELRA-W0147	v1	358273	32158	4	0	.01
ELRC-5067-SciPar	v1	ELRC-1096-EUIPO_list	v1	358273	32158	4	0	.01
ELRC-5067-SciPar	v1	ELRA-W0144	v1	358273	29828	1	0	0
