corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-510-Harpa_Reykjavik_Conc	v1	MultiParaCrawl	v8	1210	3304048	252	20.82	0
ELRC-510-Harpa_Reykjavik_Conc	v1	ParaCrawl	v8	1210	3304048	252	20.82	0
ELRC-510-Harpa_Reykjavik_Conc	v1	MultiCCAligned	v1.1	1210	1387027	178	14.71	.01
ELRC-510-Harpa_Reykjavik_Conc	v1	MultiCCAligned	v1	1210	1387027	178	14.71	.01
ELRC-510-Harpa_Reykjavik_Conc	v1	CCAligned	v1	1210	1387023	178	14.71	.01
ELRC-510-Harpa_Reykjavik_Conc	v1	MultiParaCrawl	v9	1210	2285212	177	14.62	0
ELRC-510-Harpa_Reykjavik_Conc	v1	MultiParaCrawl	v9b	1210	2285212	177	14.62	0
ELRC-510-Harpa_Reykjavik_Conc	v1	ParaCrawl	v9	1210	2285212	177	14.62	0
ELRC-510-Harpa_Reykjavik_Conc	v1	CCMatrix	v1	1210	5160413	125	10.33	0
ELRC-510-Harpa_Reykjavik_Conc	v1	NLLB	v1	1210	5107989	124	10.24	0
ELRC-510-Harpa_Reykjavik_Conc	v1	HPLT	v1	1210	1832489	24	1.98	0
ELRC-510-Harpa_Reykjavik_Conc	v1	MultiHPLT	v1	1210	1832489	24	1.98	0
ELRC-510-Harpa_Reykjavik_Conc	v1	MultiParaCrawl	v7.1	1210	1948710	20	1.65	0
ELRC-510-Harpa_Reykjavik_Conc	v1	ParaCrawl	v7.1	1210	1948710	20	1.65	0
ELRC-510-Harpa_Reykjavik_Conc	v1	OpenSubtitles	v2018	1210	1280339	10	.82	0
ELRC-510-Harpa_Reykjavik_Conc	v1	OpenSubtitles	v2016	1210	1144483	10	.82	0
ELRC-510-Harpa_Reykjavik_Conc	v1	OpenSubtitles	v2013	1210	630804	10	.82	0
ELRC-510-Harpa_Reykjavik_Conc	v1	ParIce	v1	1210	1397746	9	.74	0
ELRC-510-Harpa_Reykjavik_Conc	v1	OpenSubtitles	v2012	1210	514646	9	.74	0
ELRC-510-Harpa_Reykjavik_Conc	v1	MaCoCu	v2	1210	275951	9	.74	0
ELRC-510-Harpa_Reykjavik_Conc	v1	MultiMaCoCu	v2	1210	275951	9	.74	0
ELRC-510-Harpa_Reykjavik_Conc	v1	ELRC-2718-EMEA	v1	1210	500805	8	.66	0
ELRC-510-Harpa_Reykjavik_Conc	v1	ELRC-EMEA	v1	1210	500805	8	.66	0
ELRC-510-Harpa_Reykjavik_Conc	v1	KDE4	v2	1210	64530	7	.57	.01
ELRC-510-Harpa_Reykjavik_Conc	v1	WikiTitles	v3	1210	45747	7	.57	.01
ELRC-510-Harpa_Reykjavik_Conc	v1	wikimedia	v20230407	1210	7669	7	.57	.09
ELRC-510-Harpa_Reykjavik_Conc	v1	wikimedia	v20210402	1210	4447	7	.57	.15
ELRC-510-Harpa_Reykjavik_Conc	v1	TildeMODEL	v2018	1210	419438	6	.49	0
ELRC-510-Harpa_Reykjavik_Conc	v1	ELRC-4327-Government_Offices_I	v1	1210	36548	6	.49	.01
