corpus A	release A	corpus B	release B	size A	size B	A∩B	A∩B/A	A∩B/B
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-5123-2020_Annual_Report	v1	947	766	29	3.06	3.78
ELRC-5149-Tuarascil_Bhliantil_	v1	EUconst	v1	947	6718	26	2.74	.38
ELRC-5149-Tuarascil_Bhliantil_	v1	KDE4	v2	947	98693	22	2.32	.02
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-2497-Tuarascil_Bhliantil_	v1	947	2645	21	2.21	.79
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-2439-Ritis_Airgeadais_Oll	v1	947	677	15	1.58	2.21
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-2442-_Chonradh_Ginearlta	v1	947	7563	8	.84	.10
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-5136-Tuarasclacha_Bliantl	v1	947	1037	7	.73	.67
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-5145-Roinn_an_Dl	v1	947	285	7	.73	2.45
ELRC-5149-Tuarascil_Bhliantil_	v1	ParaCrawl	v9	947	3245616	5	.52	0
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-5060-A_mix_annual	v1	947	6588	5	.52	.07
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-5124-Government_Ireland_P	v1	947	512	5	.52	.97
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-2414-Tuarasclaca_Bliantla	v1	947	2954	4	.42	.13
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-2441-_Chonradh_don	v1	947	1998	3	.31	.15
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-2469-Ritis_Airgeadais_Oif	v1	947	488	3	.31	.61
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-2440-Polsas_ar_Fheinilach	v1	947	178	3	.31	1.68
ELRC-5149-Tuarascil_Bhliantil_	v1	GNOME	v1	947	15602	2	.21	.01
ELRC-5149-Tuarascil_Bhliantil_	v1	wikimedia	v20210402	947	9931	2	.21	.02
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-5086-Intellectual_Propert	v1	947	1136	2	.21	.17
ELRC-5149-Tuarascil_Bhliantil_	v1	ELRC-5150-Language_Scheme_Cust	v1	947	491	2	.21	.40
ELRC-5149-Tuarascil_Bhliantil_	v1	XLEnt	v1.1	947	170416	1	.10	0
ELRC-5149-Tuarascil_Bhliantil_	v1	XLEnt	v1.2	947	170416	1	.10	0
ELRC-5149-Tuarascil_Bhliantil_	v1	XLEnt	v1	947	170416	1	.10	0
